# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-07	3	0			
2020-03-09	5	0			
2020-03-11	7	0			
2020-03-12	7	0			
2020-03-13	26	0			
2020-03-14	38	1			
2020-03-16	77	1			
2020-03-17	81	1			
2020-03-18	140	1			
2020-03-19	210	2			
2020-03-20	345	4			
2020-03-21	484	5			
2020-03-22	670	8			
2020-03-23	798	8			
2020-03-24	875	8			
2020-03-25	1099	8			
2020-03-26	1333	8			
2020-03-27	1453	9			
2020-03-28	1605	15			
2020-03-29	1831	18			
2020-03-30	1950	21			
2020-03-31	1988	22			
2020-04-01	2178	23			
2020-04-02	2319	29			
2020-04-03	2487	30			
2020-04-04	2612	31			
2020-04-05	2729	31			
2020-04-06	2804	36			
2020-04-07	2843	41			
2020-04-08	2970	44			
2020-04-09	3034	46			
2020-04-10	3115	52			
2020-04-11	3223	54			
2020-04-12	3270	62			
2020-04-13	3281	66			
2020-04-14	3292	67			
2020-04-15	3307	67			
2020-04-16	3373	69			
2020-04-17	3444	69			
2020-04-18	3480	72			
2020-04-19	3537	72			
2020-04-20	3550	73			
2020-04-21	3558	75			
2020-04-22	3618	78			
2020-04-23	3654	80			
2020-04-24	3665	83			
2020-04-25	3695	85			
2020-04-26	3711	85			
2020-04-27	3723	88			
2020-04-28	3729	88			
2020-04-29	3741	89			
2020-04-30	3769	89			
2020-05-01	3784	90			
2020-05-02	3802	92			
2020-05-03	3812	92			
2020-05-04	3824	96			
2020-05-05	3828	96			
2020-05-06	3840	96			
2020-05-07	3851	98			
2020-05-08	3859	100			
2020-05-09	3871	100			
2020-05-10	3877	101			
2020-05-11	3886	101			
2020-05-12	3888	101			
2020-05-13	3894	102			
2020-05-14	3904	103			
2020-05-15	3915	103			
2020-05-16	3923	104			
2020-05-17	3930	104			
2020-05-18	3945	107			
2020-05-19	3947	107			
2020-05-20	3958	109			
2020-05-21	3971	109			
2020-05-22	3980	109			
2020-05-23	3981	109			
2020-05-24	3990	109			
2020-05-25	3992	110			
2020-05-26	3993	110			
2020-05-27	3995	110			
2020-05-28	4001	110			
2020-05-29	4008	110			
2020-05-30	4012	110			
2020-05-31	4016	110			
2020-06-01	4018	110			
2020-06-02	4019	110			
2020-06-03	4020	110			
2020-06-04	4020	110			
2020-06-05	4027	110			
2020-06-06	4032	110			
2020-06-07	4035	110			
2020-06-08	4039	110			
2020-06-09	4040	110			
2020-06-10	4046	110			
2020-06-11	4049	110			
2020-06-12	4052	110			
2020-06-13	4055	110			
2020-06-14	4063	110			
2020-06-15	4070	110			
2020-06-16	4072	110			
2020-06-17	4075	110			
2020-06-18	4085	110			
2020-06-19	4091	110			
2020-06-20	4099	110			
2020-06-21	4105	110			
2020-06-22	4120	110			
2020-06-23	4121	110			
2020-06-24	4133	110			
2020-06-25	4140	110			
2020-06-26	4151	110			
2020-06-27	4173	110			
2020-06-28	4217	110			
2020-06-29	4242	110			
2020-06-30	4256	110			
2020-07-01	4299	110			
2020-07-02	4345	110			
2020-07-03	4395	110			
2020-07-04	4447	110			
2020-07-05	4476	110			
2020-07-06	4522	110			
2020-07-07	4542	110			
2020-07-08	4603	110			
2020-07-09	4650	110			
2020-07-10	4719	110			
2020-07-11	4777	110			
2020-07-12	4842	110			
2020-07-13	4925	111			
2020-07-14	4956	111			
2020-07-15	5056	111			
2020-07-16	5056	111			
