# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-26	2	0			
2020-03-27	4	0			
2020-03-28	4	0			
2020-03-29	9	0			
2020-03-30	18	0			
2020-03-31	18	0			
2020-04-01	18	1			
2020-04-02	28	1			
2020-04-03	36	3			
2020-04-04	39	3			
2020-04-05	41	3			
2020-04-06	45	5			
2020-04-07	47	5			
2020-04-08	56	5			
2020-04-09	59	7			
2020-04-10	59	7			
2020-04-11	87	7			
2020-04-12	105	9			
2020-04-13	116	9			
2020-04-14	123	10			
2020-04-15	144	13			
2020-04-16	148	13			
2020-04-17	171	13			
2020-04-18	190	13			
2020-04-19	216	13			
2020-04-20	224	14			
2020-04-21	246	14			
2020-04-22	258	14			
2020-04-23	293	17			
2020-04-24	309	21			
2020-04-25	325	21			
2020-04-26	370	21			
2020-04-27	389	23			
2020-04-28	408	23			
2020-04-29	424	24			
2020-04-30	482	25			
2020-05-01	490	26			
2020-05-02	508	26			
2020-05-03	544	26			
2020-05-04	563	27			
2020-05-05	580	29			
2020-05-06	612	32			
2020-05-07	631	32			
2020-05-08	650	32			
2020-05-09	668	35			
2020-05-10	692	37			
2020-05-11	704	38			
2020-05-12	712	39			
2020-05-13	730	40			
2020-05-14	758	44			
2020-05-15	779	46			
2020-05-16	806	46			
2020-05-17	835	48			
2020-05-18	860	52			
2020-05-19	874	52			
2020-05-20	901	53			
2020-05-21	931	55			
2020-05-22	947	60			
2020-05-23	969	62			
2020-05-24	1015	63			
2020-05-25	1030	65			
2020-05-26	1059	67			
2020-05-27	1077	70			
2020-05-28	1116	70			
2020-05-29	1194	72			
2020-05-30	1226	73			
2020-05-31	1250	76			
2020-06-01	1265	77			
2020-06-02	1315	78			
2020-06-03	1351	78			
2020-06-04	1351	78			
2020-06-05	1461	85			
2020-06-06	1485	87			
2020-06-07	1523	90			
2020-06-08	1533	92			
2020-06-09	1547	92			
2020-06-10	1586	94			
2020-06-11	1667	96			
2020-06-12	1722	97			
2020-06-13	1752	101			
2020-06-14	1776	104			
2020-06-15	1809	104			
2020-06-16	1860	104			
2020-06-17	1885	106			
2020-06-18	1890	107			
2020-06-19	1906	107			
2020-06-20	1923	108			
2020-06-21	1933	109			
2020-06-22	1961	111			
2020-06-23	1961	111			
2020-06-24	1978	111			
2020-06-25	2001	112			
2020-06-26	2007	113			
2020-06-27	2039	113			
2020-06-28	2118	113			
2020-06-29	2147	114			
2020-06-30	2173	115			
2020-07-01	2181	116			
2020-07-02	2202	116			
2020-07-03	2260	117			
2020-07-04	2285	117			
2020-07-05	2303	118			
2020-07-06	2330	119			
2020-07-07	2331	119			
2020-07-08	2348	119			
2020-07-09	2358	120			
2020-07-10	2358	120			
2020-07-11	2404	121			
2020-07-12	2406	121			
2020-07-13	2411	121			
2020-07-14	2412	121			
2020-07-15	2423	121			
2020-07-16	2433	121			
