# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	1	0			
2020-03-08	3	0			
2020-03-09	3	0			
2020-03-10	5	0			
2020-03-11	6	0			
2020-03-12	7	0			
2020-03-13	8	0			
2020-03-14	18	0			
2020-03-15	19	0			
2020-03-16	30	0			
2020-03-17	38	0			
2020-03-18	48	0			
2020-03-19	52	0			
2020-03-20	64	0			
2020-03-21	73	0			
2020-03-22	90	0			
2020-03-23	107	0			
2020-03-24	114	0			
2020-03-25	129	0			
2020-03-26	134	0			
2020-03-27	139	0			
2020-03-28	149	0			
2020-03-29	151	0			
2020-03-30	156	0			
2020-03-31	169	0			
2020-04-01	188	0			
2020-04-02	195	0			
2020-04-03	202	0			
2020-04-04	213	0			
2020-04-05	227	0			
2020-04-06	241	0			
2020-04-07	293	0			
2020-04-08	299	0			
2020-04-09	337	1			
2020-04-10	350	2			
2020-04-11	370	2			
2020-04-12	378	3			
2020-04-13	384	3			
2020-04-14	393	3			
2020-04-15	399	3			
2020-04-16	412	3			
2020-04-17	422	3			
2020-04-18	426	3			
2020-04-19	427	3			
2020-04-20	431	3			
2020-04-21	443	3			
2020-04-22	444	3			
2020-04-23	444	3			
2020-04-24	446	3			
2020-04-25	447	3			
2020-04-26	449	4			
2020-04-27	449	4			
2020-04-28	457	4			
2020-04-29	462	4			
2020-04-30	464	4			
2020-05-01	466	4			
2020-05-02	467	4			
2020-05-03	476	4			
2020-05-04	479	4			
2020-05-05	480	4			
2020-05-06	483	5			
2020-05-07	485	5			
2020-05-08	488	5			
2020-05-09	489	5			
2020-05-10	495	5			
2020-05-11	502	5			
2020-05-12	505	5			
2020-05-13	507	6			
2020-05-14	521	6			
2020-05-15	531	6			
2020-05-16	545	6			
2020-05-17	552	6			
2020-05-18	557	6			
2020-05-19	568	6			
2020-05-20	583	6			
2020-05-21	598	6			
2020-05-22	599	6			
2020-05-23	608	6			
2020-05-24	609	6			
2020-05-25	610	6			
2020-05-26	610	6			
2020-05-27	611	6			
2020-05-28	615	7			
2020-05-29	615	7			
2020-05-30	617	9			
2020-05-31	617	9			
2020-06-01	618	9			
2020-06-02	619	9			
2020-06-03	621	9			
2020-06-04	621	9			
2020-06-05	624	9			
2020-06-06	626	9			
2020-06-07	628	9			
2020-06-08	629	9			
2020-06-09	631	9			
2020-06-10	634	9			
2020-06-11	639	9			
2020-06-12	644	9			
2020-06-13	645	9			
2020-06-14	647	9			
2020-06-15	649	9			
2020-06-16	655	9			
2020-06-17	661	9			
2020-06-18	662	9			
2020-06-19	662	9			
2020-06-20	663	9			
2020-06-21	664	9			
2020-06-22	664	9			
2020-06-23	664	9			
2020-06-24	664	9			
2020-06-25	667	9			
2020-06-26	669	9			
2020-06-27	669	9			
2020-06-28	669	9			
2020-06-29	669	9			
2020-06-30	669	9			
2020-07-01	670	9			
2020-07-02	670	9			
2020-07-03	671	9			
2020-07-04	671	9			
2020-07-05	671	9			
2020-07-06	671	9			
2020-07-07	672	9			
2020-07-08	672	9			
2020-07-09	673	9			
2020-07-10	673	9			
2020-07-11	673	9			
2020-07-12	673	9			
2020-07-13	673	9			
2020-07-14	673	9			
2020-07-15	673	9			
2020-07-16	673	9			
2020-07-17	673	9			
2020-07-18	674	9			
2020-07-19	674	9			
2020-07-20	675	9			
2020-07-21	675	9			
2020-07-22	677	9			
2020-07-23	678	9			
2020-07-24	680	9			
2020-07-25	684	9			
2020-07-26	698	9			
2020-07-27	699	9			
2020-07-28	705	9			
