# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	2	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	2	0			
2020-03-24	2	0			
2020-03-25	2	0			
2020-03-26	2	0			
2020-03-27	3	0			
2020-03-28	3	0			
2020-03-29	5	0			
2020-03-30	5	0			
2020-03-31	5	0			
2020-04-01	5	0			
2020-04-02	5	0			
2020-04-03	6	1			
2020-04-04	6	1			
2020-04-05	6	1			
2020-04-06	6	1			
2020-04-07	6	1			
2020-04-08	6	1			
2020-04-09	6	1			
2020-04-10	7	1			
2020-04-11	7	1			
2020-04-12	7	1			
2020-04-13	7	1			
2020-04-14	7	1			
2020-04-15	7	1			
2020-04-16	7	1			
2020-04-17	7	1			
2020-04-18	7	1			
2020-04-19	7	1			
2020-04-20	7	1			
2020-04-21	7	1			
2020-04-22	7	1			
2020-04-23	7	1			
2020-04-24	7	1			
2020-04-25	7	1			
2020-04-26	7	1			
2020-04-27	7	1			
2020-04-28	7	1			
2020-04-29	7	1			
2020-04-30	7	1			
2020-05-01	8	1			
2020-05-02	8	1			
2020-05-03	8	1			
2020-05-04	8	1			
2020-05-05	8	1			
2020-05-06	8	1			
2020-05-07	8	1			
2020-05-08	8	1			
2020-05-09	8	1			
2020-05-10	8	1			
2020-05-11	8	1			
2020-05-12	8	1			
2020-05-13	8	1			
2020-05-14	9	2			
2020-05-15	16	2			
2020-05-16	29	3			
2020-05-17	29	3			
2020-05-18	62	4			
2020-05-19	81	4			
2020-05-20	81	4			
2020-05-21	131	4			
2020-05-22	173	5			
2020-05-23	173	5			
2020-05-24	227	6			
2020-05-25	237	6			
2020-05-26	237	6			
2020-05-27	262	9			
2020-05-28	292	16			
2020-05-29	292	16			
2020-05-30	423	20			
2020-05-31	483	21			
2020-06-01	530	23			
2020-06-02	530	23			
2020-06-03	668	31			
2020-06-04	668	31			
2020-06-05	784	39			
2020-06-06	883	43			
2020-06-07	947	43			
2020-06-08	947	43			
2020-06-09	947	43			
2020-06-10	1162	61			
2020-06-11	1162	61			
2020-06-12	1162	61			
2020-06-13	1439	74			
2020-06-14	1439	74			
2020-06-15	1783	87			
2020-06-16	1887	91			
2020-06-17	2057	93			
2020-06-18	2057	93			
2020-06-19	2223	95			
2020-06-20	2223	95			
2020-06-21	2813	108			
2020-06-22	2813	108			
2020-06-23	2984	111			
2020-06-24	2984	111			
2020-06-25	3292	114			
2020-06-26	3739	119			
2020-06-27	3739	119			
2020-06-28	3907	120			
2020-06-29	3907	120			
2020-06-30	4149	126			
2020-07-01	4149	126			
2020-07-02	4149	126			
2020-07-03	4472	129			
2020-07-04	4472	129			
2020-07-05	4827	129			
2020-07-06	4879	130			
2020-07-07	4879	130			
2020-07-08	4879	130			
2020-07-09	5024	135			
2020-07-10	5087	139			
2020-07-11	5126	144			
2020-07-12	5126	144			
2020-07-13	5126	144			
2020-07-14	5355	147			
2020-07-15	5446	149			
2020-07-16	5446	149			
2020-07-17	5446	149			
2020-07-18	5446	149			
2020-07-19	5446	149			
2020-07-20	5873	155			
2020-07-21	5923	155			
2020-07-22	5923	155			
2020-07-23	5923	155			
2020-07-24	6027	155			
2020-07-25	6067	156			
2020-07-26	6067	156			
2020-07-27	6171	156			
2020-07-28	6171	156			
2020-07-29	6171	156			
2020-07-30	6249	156			
2020-07-31	6270	156			
2020-08-01	6295	157			
2020-08-02	6310	157			
2020-08-03	6310	157			
2020-08-04	6323	157			
2020-08-05	6382	157			
2020-08-06	6382	157			
2020-08-07	6382	157			
2020-08-08	6382	157			
2020-08-09	6498	157			
2020-08-10	6498	157			
2020-08-11	6498	157			
2020-08-12	6550	157			
2020-08-13	6598	157			
2020-08-14	6622	157			
2020-08-15	6622	157			
2020-08-16	6622	157			
2020-08-17	6701	157			
2020-08-18	6701	157			
2020-08-19	6789	157			
2020-08-20	6829	158			
2020-08-21	6829	158			
2020-08-22	6885	158			
2020-08-23	6885	158			
2020-08-24	6885	158			
2020-08-25	6905	158			
2020-08-26	6928	158			
2020-08-27	6960	158			
2020-08-28	6977	158			
2020-08-29	6977	158			
2020-08-30	7012	158			
2020-08-31	7022	159			
2020-09-01	7048	159			
2020-09-02	7075	159			
2020-09-03	7089	160			
2020-09-04	7106	160			
2020-09-05	7126	160			
2020-09-06	7134	160			
2020-09-07	7134	160			
2020-09-08	7142	160			
2020-09-09	7149	160			
2020-09-10	7164	160			
2020-09-11	7202	161			
2020-09-12	7222	161			
2020-09-13	7266	161			
2020-09-14	7276	161			
2020-09-15	7295	161			
2020-09-16	7319	161			
2020-09-17	7319	161			
2020-09-18	7332	161			
2020-09-19	7361	161			
2020-09-20	7361	161			
2020-09-21	7368	161			
2020-09-22	7384	161			
2020-09-23	7384	161			
2020-09-24	7425	161			
2020-09-25	7433	161			
2020-09-26	7433	161			
2020-09-27	7457	161			
2020-09-28	7462	161			
2020-09-29	7464	161			
2020-09-30	7474	161			
2020-10-01	7488	161			
2020-10-02	7502	161			
2020-10-03	7505	161			
2020-10-04	7511	161			
2020-10-05	7520	161			
2020-10-06	7523	162			
2020-10-07	7523	162			
2020-10-08	7523	162			
2020-10-09	7523	162			
2020-10-10	7523	162			
2020-10-11	7523	162			
2020-10-12	7550	163			
2020-10-13	7550	163			
2020-10-14	7554	163			
2020-10-15	7565	163			
2020-10-16	7565	163			
2020-10-17	7585	163			
2020-10-18	7603	163			
2020-10-19	7603	163			
2020-10-20	7608	163			
2020-10-21	7621	163			
2020-10-22	7634	163			
2020-10-23	7638	163			
2020-10-24	7638	163			
2020-10-25	7662	163			
2020-10-26	7662	163			
2020-10-27	7663	163			
2020-10-28	7677	163			
2020-10-29	7677	163			
2020-10-30	7677	163			
2020-10-31	7677	163			
2020-11-01	7717	163			
2020-11-02	7717	163			
2020-11-03	7725	163			
2020-11-04	7725	163			
2020-11-05	7744	164			
2020-11-06	7763	165			
2020-11-07	7790	165			
2020-11-08	7800	165			
2020-11-09	7806	165			
2020-11-10	7820	165			
