# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	1	0			
2020-01-15	1	0			
2020-01-16	1	0			
2020-01-17	1	0			
2020-01-18	1	0			
2020-01-19	1	0			
2020-01-20	1	0			
2020-01-21	1	0			
2020-01-22	1	0			
2020-01-23	1	0			
2020-01-24	1	0			
2020-01-25	1	0			
2020-01-26	1	0			
2020-01-27	1	0			
2020-01-28	1	0			
2020-01-29	1	0			
2020-01-30	2	0			
2020-01-31	2	0			
2020-02-01	2	0			
2020-02-02	2	0			
2020-02-03	2	0			
2020-02-04	2	0			
2020-02-05	2	0			
2020-02-06	2	0			
2020-02-07	2	0			
2020-02-08	2	0			
2020-02-09	2	0			
2020-02-10	2	0			
2020-02-11	3	0			
2020-02-12	3	0			
2020-02-13	3	0			
2020-02-14	3	0			
2020-02-15	3	0			
2020-02-16	3	0			
2020-02-17	3	0			
2020-02-18	3	0			
2020-02-19	3	0			
2020-02-20	3	0			
2020-02-21	3	0			
2020-02-22	3	0			
2020-02-23	4	0			
2020-02-24	4	0			
2020-02-25	6	0			
2020-02-26	6	0			
2020-02-27	6	0			
2020-02-28	11	0			
2020-02-29	14	0			
2020-03-01	15	0			
2020-03-02	15	0			
2020-03-03	16	0			
2020-03-04	19	0			
2020-03-05	22	0			
2020-03-06	24	0			
2020-03-07	24	0			
2020-03-08	25	0			
2020-03-09	29	0			
2020-03-10	31	0			
2020-03-11	42	0			
2020-03-12	70	0			
2020-03-13	98	0			
2020-03-14	159	0			
2020-03-15	209	0			
2020-03-16	245	0			
2020-03-17	314	0			
2020-03-18	411	0			
2020-03-19	516	0			
2020-03-20	664	0			
2020-03-21	782	2			
2020-03-22	850	2			
2020-03-23	899	2			
2020-03-24	1034	4			
2020-03-25	1222	5			
2020-03-26	1377	5			
2020-03-27	1580	8			
2020-03-28	1803	12			
2020-03-29	1974	16			
2020-03-30	2120	20			
2020-03-31	2446	28			
2020-04-01	2732	29			
2020-04-02	3069	37			
2020-04-03	3390	50			
2020-04-04	3737	60			
2020-04-05	3966	79			
2020-04-06	4203	94			
2020-04-07	4776	125			
2020-04-08	5249	141			
2020-04-09	5783	174			
2020-04-10	6212	194			
2020-04-11	6726	233			
2020-04-12	7152	273			
2020-04-13	7589	296			
2020-04-14	8477	332			
2020-04-15	9343	406			
2020-04-16	10255	449			
2020-04-17	11194	486			
2020-04-18	12270	546			
2020-04-19	13025	650			
2020-04-20	13730	686			
2020-04-21	15162	712			
2020-04-22	16547	857			
2020-04-23	17850	970			
2020-04-24	19241	1069			
2020-04-25	20838	1221			
2020-04-26	21873	1305			
2020-04-27	22865	1351			
2020-04-28	24670	1434			
2020-04-29	26467	1569			
2020-04-30	28222	1732			
2020-05-01	29987	1859			
2020-05-02	31366	1972			
2020-05-03	32718	2061			
2020-05-04	33959	2154			
2020-05-05	36466	2271			
2020-05-06	38548	2507			
2020-05-07	40813	2704			
2020-05-08	43187	2961			
2020-05-09	45580	3160			
2020-05-10	47093	3353			
2020-05-11	48495	3465			
2020-05-12	51437	3573			
2020-05-13	54340	3926			
2020-05-14	57435	4220			
2020-05-15	60485	4477			
2020-05-16	63934	4767			
2020-05-17	66085	5045			
2020-05-18	67708	5177			
2020-05-19	71706	5332			
2020-05-20	75253	5666			
2020-05-21	79147	6090			
2020-05-22	83125	6510			
2020-05-23	87088	6989			
2020-05-24	89344	7179			
2020-05-25	91205	7394			
2020-05-26	95798	7633			
2020-05-27	100112	8134			
2020-05-28	104569	8597			
2020-05-29	108772	9044			
2020-05-30	113116	9415			
2020-05-31	115829	9779			
2020-06-01	117890	9930			
2020-06-02	123139	10167			
2020-06-03	127855	10637			
2020-06-04	132771	11728			
2020-06-05	137641	12545			
2020-06-06	142654	13170			
2020-06-07	145637	13511			
2020-06-08	147960	13699			
2020-06-09	154088	14053			
2020-06-10	159821	14649			
2020-06-11	165511	15357			
2020-06-12	170874	15944			
2020-06-13	176460	16448			
2020-06-14	179511	16872			
2020-06-15	182078	17141			
2020-06-16	188602	17580			
2020-06-17	194976	18310			
2020-06-18	201070	19080			
2020-06-19	207092	19747			
2020-06-20	213165	20394			
2020-06-21	216701	20781			
2020-06-22	219132	21825			
2020-06-23	225964	22584			
2020-06-24	232538	23377			
2020-06-25	238802	24342			
2020-06-26	245033	25060			
2020-06-27	251502	25779			
2020-06-28	255131	26381			
2020-06-29	258048	26648			
2020-06-30	265510	27121			
2020-07-01	272653	27769			
2020-07-02	280196	28510			
2020-07-03	287196	29189			
2020-07-04	294212	29843			
2020-07-05	297835	30366			
2020-07-06	300788	30639			
2020-07-07	308574	31119			
2020-07-08	316401	32014			
2020-07-09	323802	32796			
2020-07-10	330896	33526			
2020-07-11	338046	34191			
2020-07-12	341865	34730			
2020-07-13	345041	35006			
2020-07-14	353833	35449			
2020-07-15	362245	36327			
2020-07-16	370983	36906			
2020-07-17	379162	37574			
2020-07-18	387053	38310			
2020-07-19	391397	38888			
2020-07-20	394786	39184			
2020-07-21	403830	39485			
2020-07-22	412440	40400			
2020-07-23	420716	41190			
2020-07-24	428704	41908			
2020-07-25	436653	42645			
2020-07-26	440766	43374			
2020-07-27	443731	43680			
2020-07-28	452144	44022			
2020-07-29	460254	44876			
2020-07-30	467871	45361			
2020-07-31	475395	46000			
2020-08-01	482055	46688			
2020-08-02	485776	47472			
2020-08-03	488250	47746			
2020-08-04	495680	48012			
2020-08-05	502966	48869			
2020-08-06	510037	49698			
2020-08-07	516654	50517			
2020-08-08	523193	51311			
2020-08-09	526809	52006			
2020-08-10	529186	52298			
2020-08-11	536272	53003			
2020-08-12	543055	53929			
2020-08-13	549361	54666			
2020-08-14	555610	55293			
2020-08-15	561659	55908			
2020-08-16	564803	56543			
2020-08-17	567066	56757			
2020-08-18	573775	57023			
2020-08-19	580336	57774			
2020-08-20	586484	58481			
2020-08-21	592323	59106			
2020-08-22	598441	59610			
2020-08-23	601469	60254			
2020-08-24	603739	60480			
2020-08-25	610590	60800			
2020-08-26	616993	61450			
2020-08-27	623847	62076			
2020-08-28	630095	62594			
2020-08-29	636301	63146			
2020-08-30	639318	63819			
2020-08-31	641442	64158			
2020-09-01	648171	64414			
2020-09-02	655107	65241			
2020-09-03	661865	65816			
2020-09-04	668013	66329			
2020-09-05	673906	66851			
2020-09-06	676655	67554			
2020-09-07	678635	67558			
2020-09-08	684823	67781			
2020-09-09	691226	68484			
2020-09-10	697108	69095			
2020-09-11	702590	69649			
2020-09-12	707898	70183			
2020-09-13	710567	70604			
2020-09-14	712370	70821			
2020-09-15	718355	71049			
2020-09-16	722453	71678			
2020-09-17	724535	71978			
2020-09-18	730535	72179			
2020-09-19	736086	72803			
2020-09-20	738744	73258			
2020-09-21	740445	73493			
2020-09-22	746476	73697			
2020-09-23	752415	74348			
2020-09-24	757910	74949			
2020-09-25	763066	75439			
2020-09-26	768145	75844			
2020-09-27	770680	76243			
2020-09-28	772381	76430			
2020-09-29	778333	76603			
2020-09-30	784074	77163			
2020-10-01	789286	77646			
2020-10-02	794241	78078			
2020-10-03	798940	78492			
2020-10-04	801206	78880			
2020-10-05	802786	79088			
2020-10-06	808033	79268			
2020-10-07	813438	79714			
2020-10-08	818613	80083			
2020-10-09	823549	83096			
2020-10-10	828558	83507			
2020-10-11	830993	83642			
2020-10-12	832743	83642			
2020-10-13	838069	83945			
2020-10-14	842617	84420			
2020-10-15	845257	84898			
2020-10-16	846727	85285			
2020-10-17	847107	85704			
2020-10-18	849907	86059			
2020-10-19	851227	86167			
2020-10-20	854926	86338			
2020-10-21	860714	86893			
2020-10-22	867559	87415			
2020-10-23	874171	87894			
2020-10-24	880775	88312			
2020-10-25	886800	88743			
2020-10-26	891160	88924			
2020-10-27	895326	89171			
2020-10-28	901268	89814			
2020-10-29	906863	90309			
2020-10-30	912811	90773			
2020-10-31	918811	91289			
2020-11-01	924962	91753			
2020-11-02	929392	91895			
2020-11-03	933155	92100			
2020-11-04	938405	92593			
2020-11-05	943630	93228			
2020-11-06	949197	93772			
2020-11-07	955128	94323			
2020-11-08	961938	94808			
2020-11-09	967825	95027			
2020-11-10	972785	95225			
2020-11-11	978531	95842			
2020-11-12	986177	96430			
2020-11-13	991835	97056			
2020-11-14	997393	97624			
2020-11-15	1003253	98259			
2020-11-16	1006522	98542			
2020-11-17	1009396	98861			
2020-11-18	1011153	99026			
2020-11-19	1015071	99528			
2020-11-20	1019543	100104			
2020-11-21	1025969	100823			
2020-11-22	1032688	101373			
2020-11-23	1041875	101676			
2020-11-24	1049358	101926			
