# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-08	1	0			
2020-03-11	3	0			
2020-03-12	4	0			
2020-03-13	6	0			
2020-03-14	8	0			
2020-03-15	20	0			
2020-03-16	23	0			
2020-03-17	29	0			
2020-03-18	30	0			
2020-03-19	36	1			
2020-03-20	49	1			
2020-03-21	66	1			
2020-03-22	80	1			
2020-03-23	94	1			
2020-03-24	109	1			
2020-03-25	125	1			
2020-03-26	149	1			
2020-03-27	177	1			
2020-03-28	199	2			
2020-03-29	231	2			
2020-03-30	263	2			
2020-03-31	298	2			
2020-04-01	353	4			
2020-04-02	423	5			
2020-04-03	505	6			
2020-04-04	591	8			
2020-04-05	752	12			
2020-04-06	864	15			
2020-04-07	965	19			
2020-04-08	1056	22			
2020-04-09	1174	27			
2020-04-10	1289	29			
2020-04-11	1438	29			
2020-04-12	1560	30			
2020-04-13	1662	32			
2020-04-14	1712	36			
2020-04-15	1934	40			
2020-04-16	2049	46			
2020-04-17	2154	54			
2020-04-18	2264	56			
2020-04-19	2351	60			
2020-04-20	2472	67			
2020-04-21	2548	70			
2020-04-22	2614	73			
2020-04-23	2778	76			
2020-04-24	2926	80			
2020-04-25	3110	87			
2020-04-26	3304	94			
2020-04-27	3408	96			
2020-04-28	3481	102			
2020-04-29	3638	107			
2020-04-30	3771	111			
2020-05-01	3897	119			
