# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	1	0			
2020-03-15	1	0			
2020-03-18	4	0			
2020-03-19	5	0			
2020-03-20	5	0			
2020-03-21	6	0			
2020-03-22	10	0			
2020-03-23	10	0			
2020-03-24	10	0			
2020-03-25	10	0			
2020-03-26	10	0			
2020-03-27	11	0			
2020-03-28	11	0			
2020-03-29	12	0			
2020-03-30	12	0			
2020-03-31	12	0			
2020-04-01	12	0			
2020-04-02	14	0			
2020-04-03	14	0			
2020-04-04	14	0			
2020-04-05	14	0			
2020-04-06	14	0			
2020-04-07	15	0			
2020-04-08	15	0			
2020-04-09	16	0			
2020-04-10	16	0			
2020-04-11	16	0			
2020-04-12	16	0			
2020-04-13	16	0			
2020-04-14	16	0			
2020-04-15	30	0			
2020-04-16	30	0			
2020-04-17	31	0			
2020-04-18	31	0			
2020-04-19	31	0			
2020-04-20	32	0			
2020-04-21	34	0			
2020-04-22	35	0			
2020-04-23	35	0			
2020-04-24	36	0			
2020-04-25	36	0			
2020-04-26	38	0			
2020-04-27	38	0			
2020-04-28	38	0			
2020-04-29	38	0			
2020-04-30	38	0			
2020-05-01	38	0			
