# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	2	0			
2020-03-19	8	0			
2020-03-20	13	0			
2020-03-21	14	0			
2020-03-22	14	0			
2020-03-23	21	0			
2020-03-24	27	0			
2020-03-25	47	0			
2020-03-26	53	0			
2020-03-27	67	1			
2020-03-28	75	1			
2020-03-29	84	1			
2020-03-30	85	1			
2020-03-31	91	1			
2020-04-01	109	1			
2020-04-02	123	1			
2020-04-03	144	2			
2020-04-04	174	2			
2020-04-05	201	2			
2020-04-06	214	2			
2020-04-07	233	2			
2020-04-08	241	2			
2020-04-09	249	2			
2020-04-10	252	2			
2020-04-11	257	2			
2020-04-12	263	2			
2020-04-13	272	3			
2020-04-14	274	3			
2020-04-15	283	4			
2020-04-16	288	4			
2020-04-17	303	4			
2020-04-18	303	4			
2020-04-19	307	5			
2020-04-20	308	5			
2020-04-21	312	5			
2020-04-22	313	5			
2020-04-23	315	5			
2020-04-24	319	5			
2020-04-25	319	6			
2020-04-26	320	6			
2020-04-27	321	7			
2020-04-28	321	7			
2020-04-29	321	7			
2020-04-30	322	7			
2020-05-01	322	7			
2020-05-02	322	7			
2020-05-03	322	7			
2020-05-04	322	8			
2020-05-05	323	8			
2020-05-06	324	8			
2020-05-07	324	8			
2020-05-08	324	8			
2020-05-09	324	8			
2020-05-10	324	8			
2020-05-11	324	9			
2020-05-12	324	9			
2020-05-13	324	9			
2020-05-14	324	9			
2020-05-15	324	9			
2020-05-16	324	9			
2020-05-17	324	9			
2020-05-18	324	9			
2020-05-19	324	9			
2020-05-20	324	9			
2020-05-21	324	9			
2020-05-22	324	9			
2020-05-23	324	9			
2020-05-24	324	9			
2020-05-25	324	9			
2020-05-26	324	9			
2020-05-27	324	9			
2020-05-28	324	9			
2020-05-29	324	9			
2020-05-30	324	9			
2020-05-31	324	9			
2020-06-01	324	9			
2020-06-02	324	9			
2020-06-03	324	9			
2020-06-04	324	9			
2020-06-05	324	9			
2020-06-06	324	9			
2020-06-07	324	9			
2020-06-08	324	9			
2020-06-09	324	9			
2020-06-10	324	9			
2020-06-11	324	9			
2020-06-12	324	9			
2020-06-13	324	9			
2020-06-14	324	9			
2020-06-15	325	9			
2020-06-16	326	9			
2020-06-17	326	9			
2020-06-18	333	9			
2020-06-19	337	9			
2020-06-20	355	9			
2020-06-21	359	9			
2020-06-22	362	9			
2020-06-23	367	9			
2020-06-24	378	9			
2020-06-25	389	9			
2020-06-26	414	9			
2020-06-27	439	9			
2020-06-28	469	9			
2020-06-29	481	11			
2020-06-30	501	11			
2020-07-01	548	12			
2020-07-02	576	12			
2020-07-03	616	13			
2020-07-04	663	13			
2020-07-05	720	14			
2020-07-06	781	14			
2020-07-07	841	14			
2020-07-08	907	17			
2020-07-09	960	17			
2020-07-10	1019	19			
2020-07-11	1077	19			
2020-07-12	1164	23			
2020-07-13	1221	23			
2020-07-14	1453	24			
2020-07-15	1522	25			
2020-07-16	1582	25			
2020-07-17	1618	26			
2020-07-18	1618	26			
2020-07-19	1664	28			
2020-07-20	1771	30			
2020-07-21	1861	32			
2020-07-22	1920	35			
2020-07-23	1937	35			
2020-07-24	2261	39			
2020-07-25	2569	40			
2020-07-26	2569	40			
2020-07-27	2569	40			
2020-07-28	2893	43			
2020-07-29	2949	45			
2020-07-30	3016	47			
2020-07-31	3073	48			
2020-08-01	3112	49			
2020-08-02	3198	50			
2020-08-03	3258	51			
2020-08-04	3301	52			
2020-08-05	3361	53			
2020-08-06	3411	57			
2020-08-07	3480	60			
2020-08-08	3549	61			
2020-08-09	3588	62			
2020-08-10	3618	64			
2020-08-11	3696	68			
2020-08-12	3748	71			
2020-08-13	3813	73			
2020-08-14	3857	73			
2020-08-15	3930	73			
2020-08-16	3960	75			
2020-08-17	4035	77			
2020-08-18	4085	80			
2020-08-19	4132	80			
2020-08-20	4174	80			
2020-08-21	4229	81			
2020-08-22	4277	82			
2020-08-23	4311	84			
2020-08-24	4343	84			
2020-08-25	4378	84			
2020-08-26	4444	87			
2020-08-27	4499	88			
2020-08-28	4558	89			
2020-08-29	4663	92			
2020-08-30	4727	93			
2020-08-31	4790	98			
2020-09-01	4835	100			
2020-09-02	4917	102			
2020-09-03	5019	104			
2020-09-04	5165	104			
2020-09-05	5275	106			
2020-09-06	5422	107			
2020-09-07	5553	108			
2020-09-08	5659	109			
2020-09-09	5875	112			
2020-09-10	6094	114			
