# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	1	0			
2020-02-29	2	0			
2020-03-01	7	0			
2020-03-02	13	0			
2020-03-03	18	0			
2020-03-04	28	0			
2020-03-05	38	0			
2020-03-06	82	0			
2020-03-07	128	1			
2020-03-08	188	1			
2020-03-09	265	3			
2020-03-10	321	3			
2020-03-11	382	4			
2020-03-12	503	5			
2020-03-13	614	5			
2020-03-14	804	5			
2020-03-15	959	12			
2020-03-16	1135	20			
2020-03-17	1413	24			
2020-03-18	1705	43			
2020-03-19	2051	58			
2020-03-20	2460	76			
2020-03-21	2994	106			
2020-03-22	3631	136			
2020-03-23	4204	179			
2020-03-24	4749	213			
2020-03-25	5560	276			
2020-03-26	6412	356			
2020-03-27	7431	434			
2020-03-28	8603	546			
2020-03-29	9762	639			
2020-03-30	10866	771			
2020-03-31	11750	864			
2020-04-01	12595	1039			
2020-04-02	13614	1173			
2020-04-03	14697	1339			
2020-04-04	15723	1487			
2020-04-05	16627	1651			
2020-04-06	17851	1766			
2020-04-07	18803	1867			
2020-04-08	19580	2101			
2020-04-09	20549	2248			
2020-04-10	21762	2396			
2020-04-11	23097	2511			
2020-04-12	24413	2643			
2020-04-13	25587	2737			
2020-04-14	26551	2823			
2020-04-15	27419	2945			
2020-04-16	28153	3134			
2020-04-17	29214	3315			
2020-04-18	30449	3459			
2020-04-19	31589	3601			
2020-04-20	32655	3684			
2020-04-21	33405	3751			
2020-04-22	34134	3916			
2020-04-23	34842	4054			
2020-04-24	35729	4177			
2020-04-25	36535	4289			
2020-04-26	37190	4409			
2020-04-27	37845	4475			
2020-04-28	38245	4518			
2020-04-29	38416	4566			
2020-04-30	38802	4711			
2020-05-01	39316	4795			
