# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	2	0			
2020-03-25	7	1			
2020-03-26	7	1			
2020-03-27	10	1			
2020-03-28	10	1			
2020-03-29	10	1			
2020-03-30	10	1			
2020-03-31	20	3			
2020-04-01	20	3			
2020-04-02	74	5			
2020-04-03	74	5			
2020-04-04	98	5			
2020-04-05	120	5			
2020-04-06	184	10			
2020-04-07	253	10			
2020-04-08	278	11			
2020-04-09	342	11			
2020-04-10	410	11			
2020-04-11	438	11			
2020-04-12	491	11			
2020-04-13	529	12			
2020-04-14	548	13			
2020-04-15	570	14			
2020-04-16	584	14			
2020-04-17	609	15			
2020-04-18	627	18			
2020-04-19	639	19			
2020-04-20	648	20			
2020-04-21	655	20			
2020-04-22	655	20			
2020-04-23	662	22			
2020-04-24	671	24			
2020-04-25	681	24			
2020-04-26	684	27			
2020-04-27	696	29			
2020-04-28	701	29			
2020-04-29	709	31			
2020-04-30	713	32			
2020-05-01	719	32			
