# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-31	2	0			
2020-04-01	6	0			
2020-04-02	6	1			
2020-04-03	8	1			
2020-04-04	8	1			
2020-04-05	8	1			
2020-04-06	8	1			
2020-04-07	8	1			
2020-04-08	8	2			
2020-04-09	11	2			
2020-04-10	11	2			
2020-04-11	11	2			
2020-04-12	11	2			
2020-04-13	11	2			
2020-04-14	11	2			
2020-04-15	13	2			
2020-04-16	13	2			
2020-04-17	13	2			
2020-04-18	14	2			
2020-04-19	14	2			
2020-04-20	14	2			
2020-04-21	14	2			
2020-04-22	14	2			
2020-04-23	14	2			
2020-04-24	14	2			
2020-04-25	14	2			
2020-04-26	14	2			
2020-04-27	14	2			
2020-04-28	14	2			
2020-04-29	14	2			
2020-04-30	14	2			
2020-05-01	14	2			
