# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	1	0			
2020-03-16	5	0			
2020-03-17	5	0			
2020-03-18	7	0			
2020-03-19	11	0			
2020-03-20	11	0			
2020-03-21	17	0			
2020-03-22	17	0			
2020-03-23	19	0			
2020-03-24	36	0			
2020-03-25	40	0			
2020-03-26	41	0			
2020-03-27	50	0			
2020-03-28	54	0			
2020-03-29	60	0			
2020-03-30	70	0			
2020-03-31	70	0			
2020-04-01	75	0			
2020-04-02	82	0			
2020-04-03	82	0			
2020-04-04	89	0			
2020-04-05	102	0			
2020-04-06	104	0			
2020-04-07	105	0			
2020-04-08	105	0			
2020-04-09	110	0			
2020-04-10	113	0			
2020-04-11	118	0			
2020-04-12	120	0			
2020-04-13	126	0			
2020-04-14	127	0			
2020-04-15	134	0			
2020-04-16	136	0			
2020-04-17	138	0			
2020-04-18	143	0			
2020-04-19	144	0			
2020-04-20	147	0			
2020-04-21	147	0			
2020-04-22	150	0			
2020-04-23	153	0			
2020-04-24	154	0			
2020-04-25	176	0			
2020-04-26	183	0			
2020-04-27	191	0			
2020-04-28	207	0			
2020-04-29	212	0			
2020-04-30	225	0			
2020-05-01	243	0			
2020-05-02	249	0			
2020-05-03	255	0			
2020-05-04	259	0			
2020-05-05	261	0			
2020-05-06	261	0			
2020-05-07	268	0			
2020-05-08	271	0			
2020-05-09	273	0			
2020-05-10	280	0			
2020-05-11	284	0			
2020-05-12	285	0			
2020-05-13	286	0			
2020-05-14	287	0			
2020-05-15	287	0			
2020-05-16	287	0			
2020-05-17	289	0			
2020-05-18	292	0			
2020-05-19	297	0			
2020-05-20	308	0			
2020-05-21	314	0			
2020-05-22	320	0			
2020-05-23	321	0			
2020-05-24	325	0			
2020-05-25	327	0			
2020-05-26	336	0			
2020-05-27	339	0			
2020-05-28	346	0			
2020-05-29	349	0			
2020-05-30	355	0			
2020-05-31	359	1			
2020-06-01	370	1			
2020-06-02	377	1			
2020-06-03	384	2			
2020-06-04	397	2			
2020-06-05	410	2			
2020-06-06	420	2			
2020-06-07	431	2			
2020-06-08	439	2			
2020-06-09	451	2			
2020-06-10	463	2			
2020-06-11	476	2			
2020-06-12	494	2			
2020-06-13	510	2			
2020-06-14	541	2			
2020-06-15	582	2			
2020-06-16	612	2			
2020-06-17	636	2			
2020-06-18	639	2			
2020-06-19	646	2			
2020-06-20	661	2			
2020-06-21	702	2			
2020-06-22	728	2			
2020-06-23	787	2			
2020-06-24	798	2			
2020-06-25	830	2			
2020-06-26	850	2			
2020-06-27	858	2			
2020-06-28	878	2			
