# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-26	2	0			
2020-03-27	2	0			
2020-03-28	2	0			
2020-03-29	2	0			
2020-03-30	7	0			
2020-03-31	7	0			
2020-04-01	8	0			
2020-04-02	8	0			
2020-04-03	8	0			
2020-04-04	9	0			
2020-04-05	10	0			
2020-04-06	10	0			
2020-04-07	11	0			
2020-04-08	11	0			
2020-04-09	11	0			
2020-04-10	11	0			
2020-04-11	12	0			
2020-04-12	12	0			
2020-04-13	12	0			
2020-04-14	12	0			
2020-04-15	14	0			
2020-04-16	14	0			
2020-04-17	14	0			
2020-04-18	14	0			
2020-04-19	14	0			
2020-04-20	15	0			
2020-04-21	15	0			
2020-04-22	15	0			
2020-04-23	15	0			
2020-04-24	15	0			
2020-04-25	15	0			
2020-04-26	15	0			
2020-04-27	15	0			
2020-04-28	15	0			
2020-04-29	15	0			
2020-04-30	15	0			
2020-05-01	15	0			
2020-05-02	15	0			
2020-05-03	15	0			
2020-05-04	15	0			
2020-05-05	15	0			
2020-05-06	15	0			
2020-05-07	15	0			
2020-05-08	15	0			
2020-05-09	15	0			
2020-05-10	15	0			
2020-05-11	15	0			
2020-05-12	15	0			
2020-05-13	15	0			
2020-05-14	15	0			
2020-05-15	15	0			
2020-05-16	15	0			
2020-05-17	15	0			
2020-05-18	15	0			
2020-05-19	15	0			
2020-05-20	15	0			
2020-05-21	15	0			
2020-05-22	15	0			
2020-05-23	15	0			
2020-05-24	15	0			
2020-05-25	15	0			
2020-05-26	15	0			
2020-05-27	15	0			
2020-05-28	15	0			
2020-05-29	15	0			
2020-05-30	15	0			
2020-05-31	15	0			
2020-06-01	15	0			
2020-06-02	15	0			
2020-06-03	15	0			
2020-06-04	15	0			
2020-06-05	15	0			
2020-06-06	15	0			
2020-06-07	15	0			
2020-06-08	15	0			
2020-06-09	15	0			
2020-06-10	15	0			
2020-06-11	15	0			
2020-06-12	15	0			
2020-06-13	15	0			
2020-06-14	15	0			
2020-06-15	15	0			
2020-06-16	15	0			
2020-06-17	15	0			
2020-06-18	15	0			
2020-06-19	15	0			
2020-06-20	15	0			
2020-06-21	15	0			
2020-06-22	15	0			
2020-06-23	15	0			
2020-06-24	15	0			
2020-06-25	15	0			
2020-06-26	15	0			
2020-06-27	15	0			
2020-06-28	15	0			
2020-06-29	15	0			
2020-06-30	15	0			
2020-07-01	15	0			
2020-07-02	15	0			
2020-07-03	15	0			
2020-07-04	15	0			
2020-07-05	16	0			
2020-07-06	16	0			
2020-07-07	16	0			
2020-07-08	16	0			
2020-07-09	16	0			
2020-07-10	16	0			
2020-07-11	17	0			
2020-07-12	17	0			
2020-07-13	17	0			
2020-07-14	17	0			
2020-07-15	17	0			
2020-07-16	17	0			
2020-07-17	17	0			
2020-07-18	17	0			
2020-07-19	17	0			
2020-07-20	17	0			
2020-07-21	17	0			
2020-07-22	17	0			
2020-07-23	17	0			
2020-07-24	17	0			
2020-07-25	17	0			
2020-07-26	17	0			
2020-07-27	17	0			
2020-07-28	17	0			
2020-07-29	17	0			
2020-07-30	17	0			
2020-07-31	17	0			
2020-08-01	17	0			
2020-08-02	17	0			
2020-08-03	17	0			
2020-08-04	17	0			
2020-08-05	17	0			
2020-08-06	17	0			
2020-08-07	17	0			
2020-08-08	17	0			
2020-08-09	17	0			
2020-08-10	17	0			
2020-08-11	17	0			
2020-08-12	17	0			
2020-08-13	17	0			
2020-08-14	17	0			
2020-08-15	17	0			
2020-08-16	17	0			
2020-08-17	17	0			
2020-08-18	17	0			
2020-08-19	17	0			
2020-08-20	17	0			
2020-08-21	17	0			
2020-08-22	17	0			
2020-08-23	17	0			
2020-08-24	17	0			
2020-08-25	17	0			
2020-08-26	17	0			
2020-08-27	17	0			
2020-08-28	17	0			
2020-08-29	17	0			
2020-08-30	17	0			
2020-08-31	17	0			
2020-09-01	17	0			
2020-09-02	17	0			
2020-09-03	17	0			
2020-09-04	17	0			
2020-09-05	17	0			
2020-09-06	17	0			
2020-09-07	17	0			
2020-09-08	17	0			
2020-09-09	17	0			
2020-09-10	17	0			
2020-09-11	17	0			
2020-09-12	17	0			
2020-09-13	17	0			
2020-09-14	17	0			
2020-09-15	17	0			
2020-09-16	17	0			
2020-09-17	17	0			
2020-09-18	17	0			
2020-09-19	17	0			
2020-09-20	17	0			
2020-09-21	17	0			
2020-09-22	19	0			
