# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-03	1	0			
2020-03-06	5	0			
2020-03-08	7	0			
2020-03-09	11	0			
2020-03-10	15	0			
2020-03-11	20	0			
2020-03-12	45	0			
2020-03-13	62	0			
2020-03-14	86	0			
2020-03-15	86	0			
2020-03-16	118	0			
2020-03-17	133	0			
2020-03-18	133	0			
2020-03-19	171	0			
2020-03-20	238	0			
2020-03-21	274	0			
2020-03-22	392	0			
2020-03-23	511	0			
2020-03-24	562	0			
2020-03-25	767	1			
2020-03-26	900	2			
2020-03-27	1012	3			
2020-03-28	1104	3			
2020-03-29	1203	4			
2020-03-30	1229	8			
2020-03-31	1453	8			
2020-04-01	1563	10			
2020-04-02	1720	16			
2020-04-03	1885	21			
2020-04-04	1885	21			
2020-04-05	2179	29			
2020-04-06	2385	34			
