# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-03	1	0			
2020-03-05	3	0			
2020-03-06	4	0			
2020-03-13	6	0			
2020-03-14	19	0			
2020-03-15	21	0			
2020-03-16	26	0			
2020-03-17	27	0			
2020-03-18	31	0			
2020-03-19	36	0			
2020-03-20	36	0			
2020-03-21	47	0			
2020-03-22	56	0			
2020-03-23	67	0			
2020-03-24	79	0			
2020-03-25	86	0			
2020-03-26	99	0			
2020-03-27	105	0			
2020-03-28	119	0			
2020-03-29	130	0			
2020-03-30	142	0			
2020-03-31	162	0			
2020-04-01	175	0			
2020-04-02	190	1			
2020-04-03	195	1			
2020-04-04	207	1			
2020-04-05	219	2			
2020-04-06	222	2			
2020-04-07	226	2			
2020-04-08	237	2			
2020-04-09	244	2			
2020-04-10	250	2			
2020-04-11	265	2			
2020-04-12	278	2			
2020-04-13	280	2			
2020-04-14	291	2			
2020-04-15	299	2			
2020-04-16	314	2			
2020-04-17	335	2			
2020-04-18	342	3			
2020-04-19	350	3			
2020-04-20	367	4			
2020-04-21	377	5			
2020-04-22	412	5			
2020-04-23	442	6			
2020-04-24	479	6			
2020-04-25	545	7			
2020-04-26	614	7			
2020-04-27	671	9			
2020-04-28	735	9			
2020-04-29	823	9			
2020-04-30	882	9			
2020-05-01	933	9			
