# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	1	0			
2020-03-08	3	0			
2020-03-09	5	0			
2020-03-11	7	0			
2020-03-12	10	0			
2020-03-13	21	0			
2020-03-14	30	0			
2020-03-15	44	0			
2020-03-16	61	0			
2020-03-17	84	0			
2020-03-18	97	0			
2020-03-19	107	0			
2020-03-20	123	0			
2020-03-21	137	0			
2020-03-22	178	0			
2020-03-23	185	0			
2020-03-24	191	0			
2020-03-25	204	0			
2020-03-26	216	0			
2020-03-27	226	0			
2020-03-28	295	0			
2020-03-29	295	0			
2020-03-30	336	0			
2020-03-31	336	0			
2020-04-01	363	0			
2020-04-02	400	0			
2020-04-03	426	0			
2020-04-04	450	0			
2020-04-05	471	0			
2020-04-06	485	0			
2020-04-07	534	2			
2020-04-08	581	2			
2020-04-09	682	2			
2020-04-10	701	2			
2020-04-11	715	2			
2020-04-12	728	2			
2020-04-13	742	2			
2020-04-14	769	2			
2020-04-15	835	2			
2020-04-16	863	6			
2020-04-17	977	8			
2020-04-18	1049	9			
2020-04-19	1089	11			
2020-04-20	1161	12			
2020-04-21	1173	13			
2020-04-22	1199	14			
2020-04-23	1244	14			
2020-04-24	1325	15			
2020-04-25	1360	17			
2020-04-26	1373	17			
2020-04-27	1379	18			
2020-04-28	1381	18			
2020-04-29	1384	20			
2020-04-30	1391	22			
2020-05-01	1396	23			
