# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-10-16	2	0			
2020-10-17	3	0			
2020-10-18	3	0			
2020-10-19	3	0			
2020-10-20	3	0			
2020-10-21	3	0			
2020-10-22	3	0			
2020-10-23	3	0			
2020-10-24	3	0			
2020-10-25	4	0			
2020-10-26	4	0			
2020-10-27	4	0			
2020-10-28	8	0			
2020-10-29	8	0			
2020-10-30	8	0			
2020-10-31	8	0			
2020-11-01	8	0			
2020-11-02	8	0			
2020-11-03	8	0			
2020-11-04	13	0			
2020-11-05	13	0			
2020-11-06	13	0			
2020-11-07	13	0			
2020-11-08	13	0			
2020-11-09	13	0			
2020-11-10	13	0			
2020-11-11	16	0			
2020-11-12	16	0			
2020-11-13	16	0			
2020-11-14	16	0			
2020-11-15	16	0			
2020-11-16	16	0			
2020-11-17	16	0			
2020-11-18	16	0			
2020-11-19	16	0			
2020-11-20	16	0			
2020-11-21	16	0			
2020-11-22	16	0			
2020-11-23	16	0			
2020-11-24	16	0			
