# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	1	0			
2020-03-27	2	0			
2020-03-28	3	0			
2020-03-29	3	0			
2020-03-30	3	0			
2020-03-31	3	0			
2020-04-01	3	0			
2020-04-02	5	0			
2020-04-03	5	0			
2020-04-04	5	0			
2020-04-05	7	0			
2020-04-06	7	0			
2020-04-07	7	0			
2020-04-08	8	0			
2020-04-09	8	0			
2020-04-10	12	1			
2020-04-11	21	1			
2020-04-12	21	1			
2020-04-13	25	2			
2020-04-14	25	2			
2020-04-15	60	2			
2020-04-16	80	5			
2020-04-17	80	5			
2020-04-18	116	5			
2020-04-19	135	7			
2020-04-20	164	7			
2020-04-21	237	8			
2020-04-22	286	8			
2020-04-23	286	14			
2020-04-24	328	14			
2020-04-25	328	16			
2020-04-26	390	18			
2020-04-27	436	23			
2020-04-28	480	26			
2020-04-29	528	28			
2020-04-30	582	28			
2020-05-01	601	28			
2020-05-02	601	28			
2020-05-03	671	31			
2020-05-04	722	32			
2020-05-05	756	35			
2020-05-06	835	38			
2020-05-07	873	39			
2020-05-08	928	44			
2020-05-09	928	44			
2020-05-10	997	48			
2020-05-11	1054	51			
2020-05-12	1089	52			
2020-05-13	1170	52			
2020-05-14	1219	52			
2020-05-15	1284	53			
2020-05-16	1284	53			
2020-05-17	1357	55			
2020-05-18	1421	56			
2020-05-19	1455	57			
2020-05-20	1502	59			
2020-05-21	1573	61			
2020-05-22	1594	61			
2020-05-23	1594	61			
2020-05-24	1594	61			
2020-05-25	1594	61			
2020-05-26	1689	66			
2020-05-27	1711	67			
2020-05-28	1731	67			
2020-05-29	1828	72			
2020-05-30	1828	72			
2020-05-31	1916	73			
2020-06-01	1976	78			
2020-06-02	2023	79			
2020-06-03	2089	79			
2020-06-04	2146	79			
2020-06-05	2204	79			
2020-06-06	2204	79			
2020-06-07	2289	82			
2020-06-08	2334	83			
2020-06-09	2368	84			
2020-06-10	2416	85			
2020-06-11	2452	85			
2020-06-12	2513	85			
2020-06-13	2513	85			
2020-06-14	2579	87			
2020-06-15	2603	88			
2020-06-16	2642	88			
2020-06-17	2658	88			
2020-06-18	2696	88			
2020-06-19	2719	88			
2020-06-20	2719	88			
2020-06-21	2755	88			
2020-06-22	2779	90			
2020-06-23	2812	90			
2020-06-24	2835	90			
2020-06-25	2860	90			
2020-06-26	2878	90			
2020-06-27	2878	90			
2020-06-28	2878	90			
2020-06-29	2894	90			
2020-06-30	2904	90			
2020-07-01	2924	90			
2020-07-02	2924	90			
2020-07-03	2944	90			
2020-07-04	2944	90			
2020-07-05	2961	92			
2020-07-06	2997	92			
2020-07-07	3006	92			
2020-07-08	3015	92			
2020-07-09	3028	92			
2020-07-10	3038	92			
2020-07-11	3038	92			
2020-07-12	3051	92			
2020-07-13	3059	93			
2020-07-14	3059	93			
2020-07-15	3076	93			
2020-07-16	3083	93			
