# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	1	0			
2020-02-02	1	0			
2020-02-03	1	0			
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	2	0			
2020-02-11	2	0			
2020-02-12	2	0			
2020-02-13	2	0			
2020-02-14	2	0			
2020-02-15	2	0			
2020-02-16	2	0			
2020-02-17	2	0			
2020-02-18	2	0			
2020-02-19	2	0			
2020-02-20	2	0			
2020-02-21	2	0			
2020-02-22	2	0			
2020-02-23	2	0			
2020-02-24	2	0			
2020-02-25	3	0			
2020-02-26	9	0			
2020-02-27	17	0			
2020-02-28	35	0			
2020-02-29	54	0			
2020-03-01	82	0			
2020-03-02	136	0			
2020-03-03	192	0			
2020-03-04	267	0			
2020-03-05	348	1			
2020-03-06	531	3			
2020-03-07	764	5			
2020-03-08	1094	5			
2020-03-09	1527	5			
2020-03-10	2299	28			
2020-03-11	3274	35			
2020-03-12	4427	47			
2020-03-13	5958	84			
2020-03-14	7641	121			
2020-03-15	9785	136			
2020-03-16	11491	288			
2020-03-17	13994	309			
2020-03-18	17688	491			
2020-03-19	21735	598			
2020-03-20	26304	767			
2020-03-21	31750	1002			
2020-03-22	36616	1326			
2020-03-23	41262	1720			
2020-03-24	48953	2182			
2020-03-25	57506	2696			
2020-03-26	66460	3434			
2020-03-27	75641	4089			
2020-03-28	83885	4858			
2020-03-29	90309	5690			
2020-03-30	96122	6528			
2020-03-31	104267	7340			
2020-04-01	111680	8189			
2020-04-02	119263	9053			
2020-04-03	126535	10003			
2020-04-04	133198	10935			
2020-04-05	138731	11744			
2020-04-06	142398	12418			
2020-04-07	147607	13055			
2020-04-08	153190	13798			
2020-04-09	158935	14555			
2020-04-10	163472	15238			
2020-04-11	168022	15843			
2020-04-12	171921	16353			
2020-04-13	174951	16972			
2020-04-14	178067	17489			
2020-04-15	182491	18276			
2020-04-16	186311	18893			
2020-04-17	190129	19478			
2020-04-18	193965	20043			
2020-04-19	193252	20453			
2020-04-20	195470	20852			
2020-04-21	198421	21282			
2020-04-22	200733	21717			
2020-04-23	203649	22157			
2020-04-24	205763	22524			
2020-04-25	208269	22902			
2020-04-26	209910	23190			
2020-04-27	211570	23190			
2020-04-28	213095	23822			
2020-04-29	213942	24275			
2020-04-30	215183	24543			
2020-05-01	216570	24824			
2020-05-02	217804	25100			
2020-05-03	218739	25264			
2020-05-04	219205	25428			
2020-05-05	220244	25613			
2020-05-06	221124	25857			
2020-05-07	222045	26070			
2020-05-08	223218	26251			
2020-05-09	223961	26478			
2020-05-10	227377	26621			
2020-05-11	227770	26744			
2020-05-12	228252	26920			
2020-05-13	228691	27104			
2020-05-14	229540	27321			
2020-05-15	230183	27459			
2020-05-16	230698	27563			
2020-05-17	231350	27650			
2020-05-18	231606	27709			
2020-05-19	232037	27778			
2020-05-20	232555	27888			
2020-05-21	233037	27940			
2020-05-22	234824	28628			
2020-05-23	235290	28678			
2020-05-24	235772	28752			
2020-05-25	235400	26834			
2020-05-26	236259	27117			
2020-05-27	236769	27118			
2020-05-28	237906	27119			
2020-05-29	238564	27121			
2020-05-30	239228	27125			
2020-05-31	239429	27127			
2020-06-01	239638	27127			
2020-06-02	239932	27127			
2020-06-03	240326	27128			
2020-06-04	240660	27133			
2020-06-05	240978	27134			
2020-06-06	241310	27135			
2020-06-07	241550	27136			
2020-06-08	241717	27136			
2020-06-09	241966	27136			
2020-06-10	242280	27136			
2020-06-11	242707	27136			
2020-06-12	243209	27136			
2020-06-13	243605	27136			
2020-06-14	243928	27136			
2020-06-15	244109	27136			
2020-06-16	244328	27136			
2020-06-17	244683	27136			
2020-06-18	245268	27136			
2020-06-19	245575	28315			
2020-06-20	245938	28322			
2020-06-21	246272	28323			
2020-06-22	246504	28324			
2020-06-23	246752	28325			
2020-06-24	247086	28327			
2020-06-25	247486	28330			
2020-06-26	247905	28338			
2020-06-27	248469	28341			
2020-06-28	248770	28343			
2020-06-29	248970	28346			
2020-06-30	249271	28355			
2020-07-01	249659	28363			
2020-07-02	250103	28368			
2020-07-03	250545	28385			
2020-07-04	250545	28385			
2020-07-05	250545	28385			
2020-07-06	251789	28388			
2020-07-07	252130	28392			
2020-07-08	252513	28396			
2020-07-09	253056	28401			
2020-07-10	253908	28403			
2020-07-11	253908	28403			
2020-07-12	253908	28403			
2020-07-13	255953	28406			
2020-07-14	256619	28409			
2020-07-15	257494	28413			
2020-07-16	258855	28416			
2020-07-17	260255	28420			
2020-07-18	260255	28420			
2020-07-19	260255	28420			
2020-07-20	264836	28422			
2020-07-21	266194	28424			
2020-07-22	267551	28426			
2020-07-23	270166	28429			
2020-07-24	272421	28432			
2020-07-25	272421	28432			
2020-07-26	272421	28432			
2020-07-27	278782	28434			
2020-07-28	280610	28436			
2020-07-29	282641	28441			
2020-07-30	285430	28443			
2020-07-31	288522	28445			
2020-08-01	288522	28445			
2020-08-02	288522	28445			
2020-08-03	297054	28472			
2020-08-04	302814	28498			
2020-08-05	305767	28499			
2020-08-06	309855	28500			
2020-08-07	314362	28503			
2020-08-08	314362	28503			
2020-08-09	314362	28503			
2020-08-10	322980	28576			
2020-08-11	326612	28581			
2020-08-12	329784	28579			
2020-08-13	337334	28605			
2020-08-14	342813	28617			
2020-08-15	342813	28617			
2020-08-16	342813	28617			
2020-08-17	359082	28646			
2020-08-18	364196	28670			
2020-08-19	370867	28797			
2020-08-20	377906	28813			
2020-08-21	386054	28838			
2020-08-22	386054	28838			
2020-08-23	386054	28838			
2020-08-24	405436	28872			
2020-08-25	412553	28924			
2020-08-26	419849	28971			
2020-08-27	429507	28996			
2020-08-28	439286	29011			
2020-08-29	439286	29011			
2020-08-30	439286	29011			
2020-08-31	462858	29094			
2020-09-01	470973	29152			
2020-09-02	479554	29194			
2020-09-03	488513	29234			
2020-09-04	498989	29418			
2020-09-05	498989	29418			
2020-09-06	498989	29418			
2020-09-07	525549	29516			
2020-09-08	534513	29594			
2020-09-09	543379	29628			
2020-09-10	554143	29699			
2020-09-11	566326	29747			
2020-09-12	566326	29747			
2020-09-13	566326	29747			
2020-09-14	593730	29848			
2020-09-15	603167	30004			
2020-09-16	614360	30243			
2020-09-17	625651	30405			
2020-09-18	640040	30495			
2020-09-19	640040	30495			
2020-09-20	640040	30495			
2020-09-21	671468	30663			
2020-09-22	682267	30904			
2020-09-23	693556	31034			
2020-09-24	704209	31118			
2020-09-25	716481	31232			
2020-09-26	716481	31232			
2020-09-27	716481	31232			
2020-09-28	748266	31411			
2020-09-29	758172	31614			
2020-09-30	769188	31791			
2020-10-01	778607	31973			
2020-10-02	789932	32086			
2020-10-03	789932	32086			
2020-10-04	789932	32086			
2020-10-05	813412	32225			
2020-10-06	825410	32486			
2020-10-07	835901	32562			
2020-10-08	848324	32688			
2020-10-09	861112	32929			
2020-10-10	861112	32929			
2020-10-11	861112	32929			
2020-10-12	888968	33124			
2020-10-13	896086	33204			
2020-10-14	908056	33413			
2020-10-15	921374	33553			
2020-10-16	936560	33775			
2020-10-17	936560	33775			
2020-10-18	936560	33775			
2020-10-19	974449	33992			
2020-10-20	988322	34210			
2020-10-21	1005295	34366			
2020-10-22	1026281	34521			
2020-10-23	1046132	34752			
2020-10-24	1046132	34752			
2020-10-25	1046132	34752			
2020-10-26	1098320	35031			
2020-10-27	1116738	35298			
2020-10-28	1136503	35466			
2020-10-29	1160083	35639			
2020-10-30	1185678	35878			
2020-10-31	1185678	35878			
2020-11-01	1185678	35878			
2020-11-02	1240697	36257			
2020-11-03	1259366	36495			
2020-11-04	1284408	38118			
2020-11-05	1306316	38486			
2020-11-06	1328832	38833			
2020-11-07	1328832	38833			
2020-11-08	1328832	38833			
2020-11-09	1381218	39345			
