# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	8	0			
2020-02-29	12	0			
2020-03-01	18	0			
2020-03-02	24	0			
2020-03-03	30	0			
2020-03-04	37	0			
2020-03-05	57	0			
2020-03-06	87	1			
2020-03-07	209	1			
2020-03-08	264	1			
2020-03-09	332	2			
2020-03-10	374	2			
2020-03-11	490	3			
2020-03-12	642	4			
2020-03-13	854	4			
2020-03-14	1121	7			
2020-03-15	1359	11			
2020-03-16	2200	13			
2020-03-17	2200	14			
2020-03-18	2650	19			
2020-03-19	3003	25			
2020-03-20	3863	33			
2020-03-21	4806	43			
2020-03-22	6077	56			
2020-03-23	6971	60			
2020-03-24	8015	66			
2020-03-25	8789	86			
2020-03-26	9714	103			
2020-03-27	10714	161			
2020-03-28	12104	197			
2020-03-29	13152	235			
2020-03-30	14274	257			
2020-03-31	15412	295			
2020-04-01	16108	373			
2020-04-02	17070	378			
2020-04-03	18194	432			
2020-04-04	19227	484			
2020-04-05	20201	540			
2020-04-06	21022	559			
2020-04-07	21574	584			
2020-04-08	22164	641			
2020-04-09	22710	705			
2020-04-10	23495	756			
2020-04-11	24228	805			
2020-04-12	24820	831			
2020-04-13	25220	858			
2020-04-14	25499	858			
2020-04-15	25753	900			
2020-04-16	26336	973			
2020-04-17	26651	1016			
2020-04-18	26997	1058			
2020-04-19	27322	1110			
2020-04-20	27658	1134			
2020-04-21	27826	1141			
2020-04-22	27981	1186			
2020-04-23	28186	1216			
2020-04-24	28414	1267			
2020-04-25	28595	1308			
2020-04-26	28811	1328			
2020-04-27	28978	1336			
2020-04-28	29081	1352			
2020-04-29	29181	1379			
2020-04-30	29324	1407			
2020-05-01	29503	1422			
2020-05-02	29622	1434			
2020-05-03	29734	1466			
2020-05-04	29822	1472			
2020-05-05	29898	1476			
2020-05-06	29926	1482			
2020-05-07	29977	1504			
2020-05-08	30043	1517			
2020-05-09	30124	1525			
2020-05-10	30168	1531			
2020-05-11	30222	1537			
2020-05-12	30261	1542			
2020-05-13	30297	1560			
2020-05-14	30330	1563			
2020-05-15	30380	1588			
2020-05-16	30431	1594			
2020-05-17	30489	1601			
2020-05-18	30504	1602			
2020-05-19	30514	1602			
2020-05-20	30535	1613			
2020-05-21	30575	1629			
2020-05-22	30611	1637			
2020-05-23	30624	1637			
2020-05-24	30642	1641			
2020-05-25	30653	1641			
2020-05-26	30663	1641			
2020-05-27	30678	1647			
2020-05-28	30678	1647			
2020-05-29	30713	1654			
2020-05-30	30745	1656			
2020-05-31	30762	1656			
2020-06-01	30779	1656			
2020-06-02	30788	1656			
2020-06-03	30791	1656			
2020-06-04	30810	1659			
2020-06-05	30830	1659			
2020-06-06	30853	1659			
2020-06-07	30873	1660			
2020-06-08	30882	1660			
2020-06-09	30889	1660			
2020-06-10	30905	1662			
2020-06-11	30928	1674			
2020-06-12	30961	1674			
2020-06-13	30980	1676			
2020-06-14	31011	1676			
2020-06-15	31034	1676			
2020-06-16	31048	1676			
2020-06-17	31063	1677			
2020-06-18	31100	1677			
2020-06-19	31117	1677			
2020-06-20	31209	1677			
2020-06-21	31209	1677			
2020-06-22	31209	1679			
2020-06-23	31227	1679			
2020-06-24	31249	1679			
2020-06-25	31293	1681			
2020-06-26	31345	1681			
2020-06-27	31403	1681			
2020-06-28	31472	1681			
2020-06-29	31534	1681			
2020-06-30	31569	1681			
2020-07-01	31631	1683			
2020-07-02	31851	1684			
2020-07-03	31884	1685			
2020-07-04	32017	1685			
2020-07-05	32114	1685			
2020-07-06	32184	1685			
2020-07-07	32230	1685			
2020-07-08	32284	1685			
2020-07-09	32413	1685			
2020-07-10	32501	1685			
2020-07-11	32605	1685			
2020-07-12	32713	1685			
2020-07-13	32798	1685			
2020-07-14	32861	1685			
2020-07-15	32931	1687			
2020-07-16	33063	1687			
2020-07-17	33205	1687			
2020-07-18	33296	1687			
2020-07-19	33406	1687			
2020-07-20	33504	1687			
2020-07-21	33547	1687			
2020-07-22	33655	1690			
2020-07-23	33796	1692			
2020-07-24	33913	1693			
2020-07-25	34067	1699			
2020-07-26	34215	1699			
2020-07-27	34325	1700			
2020-07-28	34390	1700			
2020-07-29	34522	1702			
2020-07-30	34714	1702			
2020-07-31	34933	1703			
2020-08-01	35070	1703			
2020-08-02	35412	1705			
2020-08-03	35461	1705			
2020-08-04	35527	1705			
2020-08-05	35657	1705			
2020-08-06	35838	1705			
2020-08-07	36019	1708			
2020-08-08	36180	1711			
2020-08-09	36362	1711			
2020-08-10	36514	1711			
2020-08-11	36619	1711			
2020-08-12	36806	1712			
2020-08-13	37079	1713			
2020-08-14	37312	1714			
2020-08-15	37580	1714			
2020-08-16	37831	1714			
2020-08-17	38031	1715			
2020-08-18	38156	1715			
2020-08-19	38352	1716			
2020-08-20	38662	1718			
2020-08-21	38926	1718			
2020-08-22	39232	1718			
2020-08-23	39526	1719			
2020-08-24	39802	1719			
2020-08-25	39959	1720			
2020-08-26	40161	1722			
2020-08-27	40540	1722			
2020-08-28	40900	1723			
2020-08-29	41240	1724			
2020-08-30	41615	1724			
2020-08-31	41906	1724			
2020-09-01	42069	1725			
2020-09-02	42285	1726			
2020-09-03	42655	1726			
2020-09-04	43127	1730			
2020-09-05	43424	1731			
2020-09-06	43849	1731			
2020-09-07	44293	1732			
2020-09-08	44484	1734			
2020-09-09	44729	1734			
2020-09-10	45197	1734			
2020-09-11	45602	1736			
2020-09-12	46130	1739			
2020-09-13	46595	1742			
2020-09-14	47068	1746			
2020-09-15	47325	1746			
2020-09-16	47640	1747			
2020-09-17	48154	1754			
2020-09-18	48684	1762			
2020-09-19	49171	1764			
2020-09-20	49171	1764			
2020-09-21	49171	1764			
2020-09-22	50264	1769			
2020-09-23	50548	1772			
2020-09-24	50984	1772			
2020-09-25	51492	1776			
2020-09-26	51747	1777			
2020-09-27	51864	1778			
2020-09-28	51864	1778			
2020-09-29	52528	1779			
2020-09-30	52751	1781			
2020-10-01	53162	1782			
2020-10-02	53712	1783			
2020-10-03	54263	1783			
2020-10-04	54263	1783			
2020-10-05	54263	1783			
2020-10-06	55803	1786			
2020-10-07	56502	1786			
2020-10-08	56502	1786			
2020-10-09	58745	1790			
2020-10-10	60230	1793			
2020-10-11	60230	1793			
2020-10-12	60230	1793			
2020-10-13	64287	1800			
2020-10-14	65726	1807			
2020-10-15	68450	1814			
2020-10-16	71140	1817			
2020-10-17	74227	1822			
2020-10-18	74227	1822			
2020-10-19	74422	1823			
2020-10-20	83159	1837			
2020-10-21	86167	1844			
2020-10-22	91763	1855			
2020-10-23	96731	1866			
2020-10-24	103323	1876			
2020-10-25	103323	1876			
2020-10-26	103323	1876			
2020-10-27	120680	1913			
2020-10-28	127042	1929			
2020-10-29	135197	1953			
2020-10-30	144558	1984			
2020-10-31	153728	2035			
2020-11-01	153728	2035			
2020-11-02	153728	2035			
2020-11-03	175570	2128			
2020-11-04	181660	2200			
2020-11-05	191703	2272			
2020-11-06	201801	2334			
2020-11-07	211160	2404			
2020-11-08	211160	2404			
2020-11-09	211160	2404			
2020-11-10	228405	2573			
