# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	3	0			
2020-03-20	3	0			
2020-03-21	3	0			
2020-03-22	6	0			
2020-03-23	12	0			
2020-03-24	12	0			
2020-03-25	12	0			
2020-03-26	12	0			
2020-03-27	13	0			
2020-03-28	13	0			
2020-03-29	13	1			
2020-03-30	14	1			
2020-03-31	19	1			
2020-04-01	19	1			
2020-04-02	20	1			
2020-04-03	21	1			
2020-04-04	21	1			
2020-04-05	21	1			
2020-04-06	22	1			
2020-04-07	24	1			
2020-04-08	24	1			
2020-04-09	25	1			
2020-04-10	25	1			
2020-04-11	32	3			
2020-04-12	32	3			
2020-04-13	32	3			
2020-04-14	46	3			
2020-04-15	53	3			
2020-04-16	88	4			
2020-04-17	94	4			
2020-04-18	147	5			
2020-04-19	148	5			
2020-04-20	170	5			
2020-04-21	170	5			
2020-04-22	254	8			
2020-04-23	285	10			
2020-04-24	285	10			
2020-04-25	300	10			
2020-04-26	300	10			
2020-04-27	300	10			
2020-04-28	300	10			
2020-04-29	306	10			
2020-04-30	480	16			
2020-05-01	480	16			
2020-05-02	480	16			
2020-05-03	480	16			
2020-05-04	480	16			
2020-05-05	480	18			
2020-05-06	480	18			
2020-05-07	480	18			
2020-05-08	509	21			
2020-05-09	509	21			
2020-05-10	509	21			
2020-05-11	509	21			
2020-05-12	509	21			
2020-05-13	509	21			
2020-05-14	509	21			
2020-05-15	509	21			
2020-05-16	509	21			
2020-05-17	509	21			
2020-05-18	509	21			
2020-05-19	509	21			
2020-05-20	509	21			
2020-05-21	509	21			
2020-05-22	509	21			
2020-05-23	509	21			
2020-05-24	509	21			
2020-05-25	509	21			
2020-05-26	509	21			
2020-05-27	509	21			
2020-05-28	509	21			
2020-05-29	509	21			
2020-05-30	509	21			
2020-05-31	509	21			
2020-06-01	509	21			
2020-06-02	509	21			
2020-06-03	509	21			
2020-06-04	509	21			
2020-06-05	509	21			
2020-06-06	509	21			
2020-06-07	509	21			
2020-06-08	509	21			
2020-06-09	509	21			
2020-06-10	509	21			
2020-06-11	509	21			
2020-06-12	509	21			
2020-06-13	509	21			
2020-06-14	509	21			
2020-06-15	509	21			
2020-06-16	509	21			
2020-06-17	509	21			
2020-06-18	509	21			
2020-06-19	509	21			
2020-06-20	509	21			
2020-06-21	509	21			
2020-06-22	509	21			
2020-06-23	509	21			
2020-06-24	509	21			
2020-06-25	509	21			
2020-06-26	509	21			
2020-06-27	509	21			
2020-06-28	509	21			
2020-06-29	509	21			
2020-06-30	509	21			
2020-07-01	509	21			
2020-07-02	509	21			
2020-07-03	509	21			
2020-07-04	509	21			
2020-07-05	509	21			
2020-07-06	509	21			
2020-07-07	509	21			
2020-07-08	509	21			
2020-07-09	509	21			
2020-07-10	509	21			
2020-07-11	509	21			
2020-07-12	509	21			
2020-07-13	509	21			
2020-07-14	509	21			
2020-07-15	509	21			
2020-07-16	509	21			
2020-07-17	509	21			
2020-07-18	509	21			
2020-07-19	509	21			
2020-07-20	509	21			
