# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	1	0			
2020-01-14	1	0			
2020-01-15	1	0			
2020-01-16	1	0			
2020-01-17	2	0			
2020-01-18	2	0			
2020-01-19	2	0			
2020-01-20	2	0			
2020-01-21	2	0			
2020-01-22	4	0			
2020-01-23	4	0			
2020-01-24	4	0			
2020-01-25	5	0			
2020-01-26	5	0			
2020-01-27	8	0			
2020-01-28	14	0			
2020-01-29	14	0			
2020-01-30	14	0			
2020-01-31	14	0			
2020-02-01	19	0			
2020-02-02	19	0			
2020-02-03	19	0			
2020-02-04	19	0			
2020-02-05	25	0			
2020-02-06	25	0			
2020-02-07	25	0			
2020-02-08	32	0			
2020-02-09	32	0			
2020-02-10	32	0			
2020-02-11	32	0			
2020-02-12	33	0			
2020-02-13	33	0			
2020-02-14	33	0			
2020-02-15	34	0			
2020-02-16	34	0			
2020-02-17	34	0			
2020-02-18	35	0			
2020-02-19	35	0			
2020-02-20	35	0			
2020-02-21	35	0			
2020-02-22	35	0			
2020-02-23	35	0			
2020-02-24	35	0			
2020-02-25	37	0			
2020-02-26	40	0			
2020-02-27	40	0			
2020-02-28	40	0			
2020-02-29	42	0			
2020-03-01	42	1			
2020-03-02	43	1			
2020-03-05	47	1			
2020-03-07	50	1			
2020-03-11	59	1			
2020-03-12	70	1			
2020-03-14	82	1			
2020-03-15	82	1			
2020-03-16	114	1			
2020-03-17	177	1			
2020-03-18	177	1			
2020-03-19	177	1			
2020-03-20	212	1			
2020-03-21	366	1			
2020-03-22	599	1			
2020-03-23	721	1			
2020-03-24	827	4			
2020-03-25	934	4			
2020-03-26	1045	4			
2020-03-27	1136	5			
2020-03-28	1136	5			
2020-03-29	1245	6			
2020-03-30	1388	7			
2020-03-31	1651	10			
2020-04-01	1651	10			
2020-04-02	1771	12			
2020-04-03	1875	15			
2020-04-04	1978	19			
2020-04-05	2169	23			
2020-04-06	2220	26			
2020-04-07	2258	26			
2020-04-08	2369	30			
2020-04-09	2423	32			
2020-04-10	2473	33			
2020-04-11	2518	35			
2020-04-12	2551	38			
2020-04-13	2579	40			
2020-04-14	2613	41			
2020-04-15	2643	43			
2020-04-16	2672	46			
2020-04-17	2700	47			
2020-04-18	2700	47			
2020-04-19	2733	47			
2020-04-20	2765	47			
2020-04-21	2792	47			
2020-04-22	2811	48			
2020-04-23	2839	50			
2020-04-24	2839	50			
2020-04-25	2854	50			
2020-04-26	2922	51			
2020-04-27	2922	51			
2020-04-28	2938	54			
2020-04-29	2938	54			
2020-04-30	2954	54			
2020-05-01	2960	54			
2020-05-02	2960	54			
2020-05-03	2966	54			
2020-05-04	2969	54			
2020-05-05	2987	54			
2020-05-06	2988	54			
2020-05-07	2989	55			
2020-05-08	2992	55			
2020-05-09	3000	55			
2020-05-10	3004	56			
2020-05-11	3015	56			
2020-05-12	3015	56			
2020-05-13	3017	56			
2020-05-14	3017	56			
2020-05-15	3018	56			
2020-05-16	3025	56			
2020-05-17	3028	56			
2020-05-18	3028	56			
2020-05-19	3031	56			
2020-05-20	3034	56			
2020-05-21	3034	56			
2020-05-22	3037	56			
2020-05-23	3040	56			
2020-05-24	3040	56			
2020-05-25	3042	57			
2020-05-26	3042	57			
2020-05-27	3045	57			
2020-05-28	3054	57			
2020-05-29	3065	57			
2020-05-30	3076	57			
2020-05-31	3081	57			
2020-06-01	3081	57			
2020-06-02	3082	57			
2020-06-03	3083	58			
2020-06-04	3101	58			
2020-06-05	3102	58			
2020-06-06	3104	58			
2020-06-07	3112	58			
2020-06-08	3119	58			
2020-06-09	3119	58			
2020-06-10	3125	58			
2020-06-11	3125	58			
2020-06-12	3125	58			
2020-06-13	3129	58			
2020-06-14	3134	58			
2020-06-15	3135	58			
2020-06-16	3135	58			
2020-06-17	3135	58			
2020-06-18	3141	58			
2020-06-19	3141	58			
2020-06-20	3146	58			
2020-06-21	3147	58			
2020-06-22	3148	58			
2020-06-23	3151	58			
2020-06-24	3156	58			
2020-06-25	3158	58			
2020-06-26	3158	58			
2020-06-27	3162	58			
2020-06-28	3162	58			
2020-06-29	3162	58			
2020-06-30	3171	58			
2020-07-01	3173	58			
2020-07-02	3179	58			
2020-07-03	3180	58			
2020-07-04	3185	58			
2020-07-05	3190	58			
2020-07-06	3195	58			
2020-07-07	3195	58			
2020-07-08	3197	58			
2020-07-09	3202	58			
2020-07-10	3202	58			
2020-07-11	3216	58			
2020-07-12	3217	58			
2020-07-13	3220	58			
2020-07-14	3227	58			
2020-07-15	3232	58			
2020-07-16	3236	58			
2020-07-17	3239	58			
2020-07-18	3246	58			
2020-07-19	3249	58			
2020-07-20	3250	58			
2020-07-21	3255	58			
2020-07-22	3261	58			
2020-07-23	3269	58			
2020-07-24	3279	58			
2020-07-25	3282	58			
2020-07-26	3291	58			
2020-07-27	3295	58			
2020-07-28	3297	58			
2020-07-29	3298	58			
2020-07-30	3304	58			
2020-07-31	3310	58			
2020-08-01	3312	58			
2020-08-02	3317	58			
2020-08-03	3320	58			
2020-08-04	3321	58			
2020-08-05	3328	58			
2020-08-06	3330	58			
2020-08-07	3345	58			
2020-08-08	3348	58			
2020-08-09	3351	58			
2020-08-10	3351	58			
2020-08-11	3351	58			
2020-08-12	3356	58			
2020-08-13	3356	58			
2020-08-14	3376	58			
2020-08-15	3376	58			
2020-08-16	3377	58			
2020-08-17	3378	58			
2020-08-18	3378	58			
2020-08-19	3382	58			
2020-08-20	3389	58			
2020-08-21	3390	58			
2020-08-22	3390	58			
2020-08-23	3395	58			
2020-08-24	3397	58			
2020-08-25	3402	58			
2020-08-26	3403	58			
2020-08-27	3404	58			
2020-08-28	3410	58			
2020-08-29	3411	58			
2020-08-30	3411	58			
2020-08-31	3412	58			
2020-09-01	3417	58			
2020-09-02	3425	58			
2020-09-03	3427	58			
2020-09-04	3431	58			
2020-09-05	3431	58			
2020-09-06	3444	58			
2020-09-07	3445	58			
2020-09-08	3446	58			
2020-09-09	3447	58			
2020-09-10	3454	58			
2020-09-11	3461	58			
2020-09-12	3466	58			
2020-09-13	3473	58			
2020-09-14	3475	58			
2020-09-15	3480	58			
2020-09-16	3490	58			
2020-09-17	3490	58			
2020-09-18	3497	58			
2020-09-19	3500	59			
2020-09-20	3506	59			
2020-09-21	3506	59			
2020-09-22	3511	59			
2020-09-23	3514	59			
2020-09-24	3516	59			
2020-09-25	3519	59			
2020-09-26	3522	59			
2020-09-27	3523	59			
2020-09-28	3545	59			
2020-09-29	3559	59			
