# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	2	0			
2020-02-01	2	0			
2020-02-02	2	0			
2020-02-03	2	0			
2020-02-04	2	0			
2020-02-05	2	0			
2020-02-06	2	0			
2020-02-07	3	0			
2020-02-08	3	0			
2020-02-09	4	0			
2020-02-10	4	0			
2020-02-11	8	0			
2020-02-12	8	0			
2020-02-13	9	0			
2020-02-14	9	0			
2020-02-15	9	0			
2020-02-16	9	0			
2020-02-17	9	0			
2020-02-18	9	0			
2020-02-19	9	0			
2020-02-20	9	0			
2020-02-21	9	0			
2020-02-22	9	0			
2020-02-23	9	0			
2020-02-24	13	0			
2020-02-25	13	0			
2020-02-26	13	0			
2020-02-27	13	0			
2020-02-28	16	0			
2020-02-29	18	0			
2020-03-01	23	0			
2020-03-02	36	0			
2020-03-03	40	0			
2020-03-04	51	0			
2020-03-05	85	0			
2020-03-06	115	1			
2020-03-07	163	1			
2020-03-08	206	2			
2020-03-09	273	3			
2020-03-10	321	5			
2020-03-11	373	6			
2020-03-12	456	6			
2020-03-13	590	10			
2020-03-14	707	10			
2020-03-15	1140	21			
2020-03-16	1391	35			
2020-03-17	1543	55			
2020-03-18	1950	60			
2020-03-19	2630	103			
2020-03-20	3277	144			
2020-03-21	3983	177			
2020-03-22	5018	233			
2020-03-23	5683	281			
2020-03-24	6650	335			
2020-03-25	8077	422			
2020-03-26	9529	463			
2020-03-27	11658	578			
2020-03-28	14543	759			
2020-03-29	17089	1019			
2020-03-30	19522	1228			
2020-03-31	22141	1408			
2020-04-01	25150	1789			
2020-04-02	29474	2532			
2020-04-03	33718	2921			
2020-04-04	38168	3605			
2020-04-05	41903	4313			
2020-04-06	47806	4934			
2020-04-07	51608	5373			
2020-04-08	55242	6159			
2020-04-09	60733	7097			
2020-04-10	65077	7978			
