# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	10	0			
2020-03-16	15	0			
2020-03-17	33	0			
2020-03-18	33	0			
2020-03-19	33	0			
2020-03-20	33	0			
2020-03-21	36	0			
2020-03-22	36	0			
2020-03-23	36	0			
2020-03-24	84	0			
2020-03-25	91	0			
2020-03-26	106	0			
2020-03-27	107	1			
2020-03-28	119	1			
2020-03-29	119	1			
2020-03-30	119	1			
2020-03-31	135	3			
2020-04-01	135	3			
2020-04-02	143	3			
2020-04-03	144	3			
2020-04-04	144	3			
2020-04-05	144	5			
2020-04-06	148	5			
2020-04-07	159	5			
2020-04-08	166	7			
2020-04-09	167	8			
2020-04-10	171	9			
2020-04-11	175	9			
2020-04-12	175	9			
2020-04-13	181	9			
2020-04-14	189	9			
2020-04-15	193	9			
2020-04-16	197	9			
2020-04-17	204	9			
2020-04-18	227	9			
2020-04-19	227	9			
2020-04-20	256	9			
2020-04-21	256	9			
2020-04-22	285	10			
2020-04-23	288	10			
2020-04-24	298	10			
2020-04-25	318	10			
2020-04-26	323	10			
2020-04-27	325	10			
2020-04-28	329	10			
2020-04-29	329	10			
2020-04-30	331	10			
2020-05-01	333	10			
