# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-07	5	0	5		
2020-02-08	5	0	5		
2020-02-10	5	0	5		
2020-02-11	5	0	5		
2020-02-12	5	0	5		
2020-02-20	6	0	6		
2020-02-27	2	0			
2020-02-28	11				
2020-03-02	37	0			
2020-03-03	40	0			
2020-03-04	51	0	47	4	
2020-03-05	64	0			
2020-03-06	87	0			
2020-03-07	125	0			
2020-03-08	146	1			
2020-03-09	182	3			
2020-03-10	227	3			
2020-03-11	264	3			
2020-03-12	333	7			
2020-03-13	416				
2020-03-14	454	12			
2020-03-15	523	18			
2020-03-16	618	20			
2020-03-17	710	24			
2020-03-18	858	27	172	35	
2020-03-19	1014	39	385	79	
2020-03-20	1101	33	463	87	
2020-03-21	1266	57	525	88	
2020-03-22	1431	72	641	106	
2020-03-23	1738	85	853	157	
2020-03-24	1857	86	1000	193	
2020-03-25	2093	107	1239	258	
2020-03-26		134	1437	290	
2020-03-27		166	1652	348	
2020-03-28		196	1943	441	
2020-03-29		227	2115	497	
2020-03-30		264	2333	583	
2020-03-31		295	2487	624	
2020-04-01		349	2635	672	
2020-04-02		404	2706	700	
2020-04-03		448	2838	725	
2020-04-04		478	2874	749	
2020-04-05		508	2983	779	
2020-04-06		555	3030	783	
2020-04-07		600	2959	755	
2020-04-08		654	2908	736	
2020-04-09		685	2962	720	
2020-04-10		721	2950	698	
2020-04-11		755	2985	682	
2020-04-12		773	3025	674	
2020-04-13		794	3055	671	
2020-04-14		836	3044	659	
2020-04-15		885	3004	639	
2020-04-16		927	2970	628	
2020-04-17		954	2965	601	
2020-04-18		992	2942	578	
2020-04-19		1011	2983	573	
2020-04-20		1062	2936	576	
2020-04-21		1103	2872	551	
2020-04-22		1133	2816	516	
2020-04-23		1167	2760	483	
2020-04-24		1192	2713	465	
2020-04-25		1212	2682	444	
2020-04-26		1226	2694	439	
2020-04-27		1255	2663	433	
2020-04-28		1275	2610	406	
2020-04-29		1311	2537	383	
2020-04-30		1331	2489	371	
2020-05-01		1346	2470	359	
2020-05-02		1355	2474	359	
2020-05-03		1364	2482	358	
2020-05-04		1386	2439	345	
2020-05-05		1419	2399	314	
2020-05-06		1437	2299	296	
2020-05-07		1462	2206	276	
2020-05-08		1469	2128	262	
2020-05-09		1473	2122	255	
2020-05-10		1483	2116	253	
2020-05-11		1499	2089	245	
2020-05-12		1517	2026	236	
2020-05-13		1526	1920	224	
2020-05-14		1537	1878	211	
2020-05-15		1548	1833	205	
2020-05-16		1562	1769	189	
2020-05-17		1564	1782	189	
2020-05-18		1571	1740	183	
2020-05-19		1591	1671	171	
2020-05-20		1603	1580	164	
2020-05-21		1608	1542	159	
2020-05-22		1615	1532	152	
2020-05-23		1623	1514	148	
2020-05-24		1623	1525	149	
2020-05-25		1633	1465	145	
2020-05-26		1645	1404	139	
2020-05-27		1652	1334	134	
2020-05-28		1661	1240	117	
2020-05-29		1669	1159	111	
2020-05-30		1670	1156	119	
2020-05-31		1673	1161	127	
2020-06-01		1675	1163	123	
2020-06-02		1685	1128	116	
2020-06-03		1692	1070	100	
2020-06-04		1694	998	94	
2020-06-05		1694	945	85	
2020-06-06		1696	924	83	
2020-06-07		1697	923	83	
2020-06-08		1704	907	81	
2020-06-09		1707	865	67	
2020-06-10		1712	834	64	
2020-06-11		1716	811	50	
2020-06-12		1717	766	45	
2020-06-13		1718	757	41	
2020-06-14		1718	755	41	
2020-06-15		1720	709	39	
2020-06-16		1721	699	38	
2020-06-17		1721	660	37	
2020-06-18		1722	642	34	
2020-06-19		1722	638	35	
2020-06-20		1723	616	35	
2020-06-21		1723	602	35	
2020-06-22		1726	595	32	
2020-06-23		1727	581	32	
2020-06-24		1728	571	32	
2020-06-25		1728	553	31	
2020-06-26		1729	543	30	
2020-06-27		1730	525	29	
2020-06-28		1731	525	29	
2020-06-29		1734	505	29	
2020-06-30		1737	503	27	
2020-07-01		1737	487	25	
2020-07-02		1738	479	25	
2020-07-03		1740	470	24	
2020-07-04		1740	469	25	
2020-07-05		1741	465	25	
2020-07-06		1742	463	26	
2020-07-07		1742	459	28	
2020-07-08		1743	447	31	
2020-07-09		1745	438	28	
2020-07-10		1747	441	25	
2020-07-11		1747	437	24	
2020-07-12		1747	439	23	
2020-07-13		1747	446	24	
2020-07-14		1747	442	23	
2020-07-15		1748	443	21	
2020-07-16		1748	438	22	
2020-07-17		1749	428	22	
2020-07-18		1749	427	23	
2020-07-19		1750	422	21	
2020-07-20		1752	423	19	
2020-07-21		1752	420	18	
2020-07-22		1752	409	19	
2020-07-23		1754	387	19	
2020-07-24		1756	368	21	
2020-07-25		1757	364	20	
2020-07-26		1757	364	20	
2020-07-27		1758	362	16	
2020-07-28		1759	360	15	
2020-07-29		1759	353	17	
2020-07-30		1760	327	16	
2020-07-31		1760	319	16	
2020-08-01		1760	319	16	
2020-08-02		1760	320	16	
2020-08-03		1761	310	16	
2020-08-04		1761	306	16	
2020-08-05		1761	309	17	
2020-08-06		1761	301	18	
2020-08-07		1761	291	19	
2020-08-08		1761	290	19	
2020-08-09		1761	290	19	
2020-08-10		1761	280	19	
2020-08-11		1763	285	17	
2020-08-12		1765	280	19	
2020-08-13		1766	286	20	
2020-08-14		1767	282	21	
2020-08-15		1768	282	21	
2020-08-16		1768	282	21	
2020-08-17		1771	295	21	
2020-08-18		1771	299	22	
2020-08-19		1772	269	20	
2020-08-20		1772	257	19	
2020-08-21		1772	253	19	
2020-08-22		1771	242	19	
2020-08-23		1771	242	19	
2020-08-24		1774	248	20	
2020-08-25		1776	257	19	
2020-08-26		1776	265	19	
2020-08-27		1776	277	18	
2020-08-28		1777	287	21	
2020-08-29		1778	284	25	
2020-08-30		1778	285	26	
2020-08-31		1779	297	31	
2020-09-01		1780	309	36	
2020-09-02		1781	324	39	
2020-09-03		1783	343	39	
2020-09-04		1783	359	43	
2020-09-05		1783	363	43	
2020-09-06		1784	367	43	
2020-09-07		1787	398	47	
2020-09-08		1795	420	54	
2020-09-09		1799	456	60	
2020-09-10		1801	469	68	
2020-09-11		1801	500	67	
2020-09-12		1803	522	70	
2020-09-13		1804	530	72	
2020-09-14		1809	582	80	
2020-09-15		1812	651	88	
2020-09-16		1816	660	93	
2020-09-17		1823	679	96	
2020-09-18		1832	682	100	
2020-09-19		1836	696	106	
2020-09-20		1838	707	107	
2020-09-21		1851	763	123	
2020-09-22		1859	768	127	
2020-09-23		1866	787	133	
2020-09-24		1877	800	128	
2020-09-25		1886	793	130	
2020-09-26		1890	820	126	
2020-09-27		1893	839	131	
2020-09-28		1906	839	143	
2020-09-29		1915	831	141	
2020-09-30		1921	837	147	
2020-10-01		1937	822	143	
2020-10-02		1940	843	149	
2020-10-03		1948	846	152	
2020-10-04		1957	876	159	
2020-10-05		1969	927	168	
2020-10-06		1974	945	170	
2020-10-07		1987	987	174	
2020-10-08		1998	978	178	
2020-10-09		2011	1046	182	
2020-10-10		2019	1083	187	
2020-10-11		2025	1141	198	
