# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-26	2	1			
2020-02-28	9				
2020-03-02	45				
2020-03-03	59				
2020-03-04	65				
2020-03-05	74	4			
2020-03-06	97				
2020-03-07	173				
2020-03-09	181	15			
2020-03-10	222	16			
2020-03-11	263				
2020-03-12	349	20			
2020-03-13	397	26			
2020-03-14	466	29			
2020-03-15	507				
2020-03-16	587	39			
2020-03-17	613	46			
2020-03-18	668	55	313	87	
2020-03-19	719	69	394	105	
2020-03-20	759	81	432	136	
2020-03-21	856	91	424	144	
2020-03-22	943	97	485	151	
2020-03-23	1287	108	612	187	
2020-03-24	1532	123	711	208	
2020-03-25	1753	137	829	247	
2020-03-26	1910	150	919	271	
2020-03-27	2300	169	993	302	
2020-03-28	2498	196	1132	329	
2020-03-29	2653	211	1237	348	
2020-03-30	3011	242	1355	400	
2020-03-31		280	1464	450	
2020-04-01		330	1615	478	
2020-04-02		370	1825	518	
2020-04-03		438	1967	547	
2020-04-04		488	2035	561	
2020-04-05		520	2119	573	
2020-04-06		577	2227	567	
2020-04-07		635	2336	583	
2020-04-08		679	2366	573	
2020-04-09		715	2429	580	
2020-04-10		762	2456	564	
2020-04-11		806	2444	550	
2020-04-12		840	2484	549	
2020-04-13		873	2525	543	
2020-04-14		920	2552	538	
2020-04-15		975	2536	533	
2020-04-16		1006	2536	505	
2020-04-17		1054	2517	494	
2020-04-18		1077	2516	476	
2020-04-19		1094	2539	472	
2020-04-20		1127	2578	473	
2020-04-21		1163	2517	448	
