# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	1				
2020-03-02	2	0			
2020-03-03	2				
2020-03-04	2				
2020-03-05	6				
2020-03-06	11				
2020-03-07	11	1			
2020-03-08	22	1			
2020-03-09	25	1			
2020-03-10	39	1			
2020-03-11	57	1			
2020-03-12	68	1	8		
2020-03-13	97	1	11		
2020-03-14	127	1	12		
2020-03-15	143	1	19		
2020-03-16	156				
2020-03-17	174				
2020-03-18	208	3	45	4	
2020-03-19	241	5	46	6	
2020-03-20	287	7	71	13	
2020-03-21	345	7	98	21	
2020-03-22	462	9	126	25	
2020-03-23	511	10	148	33	
2020-03-24	586	16	170	40	
2020-03-25	688	19	226	56	
2020-03-26	789	20	273	75	
2020-03-27	912	25	314	93	
2020-03-28		26	385	111	
2020-03-29		32	455	122	
2020-03-30		42	479	137	
2020-03-31		62	535	161	
2020-04-01		69	563	164	
2020-04-02		81	630	185	
2020-04-03		93	650	197	
2020-04-04		99	677	209	
2020-04-05		111	710	217	
2020-04-06		127	712	223	
2020-04-07		147	713	225	
2020-04-08		165	680	213	
2020-04-09		179	697	212	
2020-04-10		188	741	210	
2020-04-11		196	726	202	
2020-04-12		201	716	186	
2020-04-13		211	713	189	
2020-04-14		230	705	177	
2020-04-15		242	686	167	
2020-04-16		252	674	166	
2020-04-17		262	660	152	
2020-04-18		267	657	146	
2020-04-19		274	666	149	
2020-04-20		283	663	143	
2020-04-21		292	650	137	
2020-04-22		299	625	133	
2020-04-23		307	614	131	
2020-04-24		312	612	121	
2020-04-25		314	615	116	
2020-04-26		319	608	116	
2020-04-27		324	601	112	
2020-04-28		331	600	112	
2020-04-29		343	582	98	
2020-04-30		346	587	95	
2020-05-01		347	575	90	
2020-05-02		350	574	87	
2020-05-03		351	575	86	
2020-05-04		359	577	81	
2020-05-05		363	578	78	
2020-05-06		365	562	67	
2020-05-07		367	553	60	
2020-05-08		370	526	59	
2020-05-09		370	529	58	
2020-05-10		371	530	58	
2020-05-11		380	530	52	
2020-05-12		383	520	43	
2020-05-13		387	511	43	
2020-05-14		391	496	43	
2020-05-15		393	483	41	
2020-05-16		394	464	36	
2020-05-17		394	470	36	
2020-05-18		397	466	36	
2020-05-19		404	464	35	
2020-05-20		405	452	34	
2020-05-21		407	436	31	
2020-05-22		407	435	33	
2020-05-23		408	429	31	
2020-05-24		408	435	31	
2020-05-25		413	433	27	
2020-05-26		417	419	25	
2020-05-27		418	377	22	
2020-05-28		418	355	20	
2020-05-29		420	339	19	
2020-05-30		420	334	19	
2020-05-31		420	334	20	
2020-06-01		420	335	20	
2020-06-02		420	329	21	
2020-06-03		421	318	19	
2020-06-04		421	310	19	
2020-06-05		422	308	16	
2020-06-06		422	306	14	
2020-06-07		423	303	14	
2020-06-08		425	301	14	
2020-06-09		425	290	14	
2020-06-10		425	285	14	
2020-06-11		425	283	14	
2020-06-12		425	274	13	
2020-06-13		425	271	13	
2020-06-14		425	270	13	
2020-06-15		425	270	13	
2020-06-16		427	272	13	
2020-06-17		428	265	13	
2020-06-18		428	258	13	
2020-06-19		428	258	13	
2020-06-20		428	251	13	
2020-06-21		428	250	13	
2020-06-22		430	245	10	
2020-06-23		430	242	10	
2020-06-24		430	238	10	
2020-06-25		431	237	10	
2020-06-26		431	233	8	
2020-06-27		431	227	8	
2020-06-28		431	225	8	
2020-06-29		432	226	8	
2020-06-30		433	220	7	
2020-07-01		434	216	6	
2020-07-02		434	221	7	
2020-07-03		434	219	7	
2020-07-04		434	217	7	
2020-07-05		434	217	7	
2020-07-06		434	214	7	
2020-07-07		434	215	7	
2020-07-08		434	211	8	
2020-07-09		434	212	8	
2020-07-10		435	212	8	
2020-07-11		435	209	8	
2020-07-12		435	209	7	
2020-07-13		436	206	7	
2020-07-14		436	204	7	
2020-07-15		436	201	5	
2020-07-16		438	193	5	
