# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	1				
2020-03-02	5				
2020-03-03	5				
2020-03-04	7				
2020-03-05	8				
2020-03-06	16				
2020-03-07	18				
2020-03-08	24				
2020-03-10	27				
2020-03-11	34				
2020-03-12	42				
2020-03-13	56				
2020-03-14	82				
2020-03-15	99				
2020-03-16	109	0			
2020-03-17	126	1		13	
2020-03-18	128	1	44	13	
2020-03-19	160	3	58	23	
2020-03-20	190	3	73	25	
2020-03-21	234	3	80	21	
2020-03-22	270	4	99	25	
2020-03-23	293	10	147	51	
2020-03-24	343	14	187	58	
2020-03-25	379	17	236	66	
2020-03-26	459	31	282	60	
2020-03-27	530	42	371	84	
2020-03-28	637	42	441	103	
2020-03-29	780	47	499	107	
2020-03-30	852	58	512	116	
2020-03-31	916	82	510	132	
2020-04-01	1021	100	549	133	
2020-04-02		92	571	141	
2020-04-03		109	608	169	
2020-04-04		118	649	175	
2020-04-05		123	667	181	
2020-04-06	1412	164	685	182	
2020-04-07	1494	182	694	176	
2020-04-08	1630	194	700	178	
2020-04-09		158	741	176	
2020-04-10		169	772	180	
2020-04-11		178	778	164	
2020-04-12		182	810	167	
2020-04-13		192	823	162	
2020-04-14		209	820	155	
2020-04-15		222	794	145	
2020-04-16		235	799	136	
2020-04-17		242	802	131	
2020-04-18		251	787	125	
2020-04-19		258	787	121	
2020-04-20		268	775	123	
2020-04-21		276	760	115	
2020-04-22		285	747	107	
2020-04-23		291	747	105	
2020-04-24		303	722	100	
2020-04-25		307	717	100	
2020-04-26		314	711	98	
2020-04-27		323	705	98	
2020-04-28		326	701	94	
2020-04-29		336	650	80	
2020-04-30		341	629	73	
2020-05-01		343	622	69	
2020-05-02		348	624	70	
2020-05-03		351	629	70	
2020-05-04		357	623	67	
2020-05-05		362	613	67	
2020-05-06		368	602	64	
2020-05-07		372	591	58	
2020-05-08		377	580	56	
2020-05-09		382	568	54	
2020-05-10		383	572	53	
2020-05-11		385	568	54	
2020-05-12		388	552	50	
2020-05-13		388	544	48	
2020-05-14		395	526	42	
2020-05-15		401	509	42	
2020-05-16		407	497	39	
2020-05-17		407	500	39	
2020-05-18		414	489	39	
2020-05-19		415	478	41	
2020-05-20		417	462	36	
2020-05-21		420	451	33	
2020-05-22		422	452	32	
2020-05-23		425	440	30	
2020-05-24		427	444	30	
2020-05-25		429	441	31	
2020-05-26		430	431	29	
2020-05-27		434	417	25	
2020-05-28		434	408	22	
2020-05-29		437	399	21	
2020-05-30		437	388	20	
2020-05-31		439	385	19	
2020-06-01		439	385	20	
2020-06-02		441	376	21	
2020-06-03		443	353	19	
2020-06-04		445	333	19	
2020-06-05		450	321	18	
2020-06-06		450	311	17	
2020-06-07		452	310	17	
2020-06-08		454	311	18	
2020-06-09		455	295	14	
2020-06-10		456	288	14	
2020-06-11		459	279	14	
2020-06-12		460	266	13	
2020-06-13		460	267	14	
2020-06-14		461	267	14	
2020-06-15		461	265	13	
2020-06-16		461	262	11	
2020-06-17		462	237	13	
2020-06-18		464	228	11	
2020-06-19		464	212	8	
2020-06-20		464	208	7	
2020-06-21		465	207	6	
2020-06-22		465	199	7	
2020-06-23		465	198	8	
2020-06-24		467	183	6	
2020-06-25		467	177	6	
2020-06-26		467	167	5	
