# Data source: https://raw.githubusercontent.com/chriswien/COVID19_CaseNumberDE/master/COVID19_Cases_Bundeslaender_DE.csv
# Data provenance: https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Fallzahlen.html
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	1	0			
2020-02-26	3	0			
2020-02-27	6	0			
2020-02-28	10	0			
2020-02-29	14	0			
2020-03-01	15	0			
2020-03-02	19	0			
2020-03-03	26	0			
2020-03-04	44	0			
2020-03-05	73	0			
2020-03-06	96	0			
2020-03-07	170	0			
2020-03-08	182	0			
2020-03-09	204	0			
2020-03-10	237	0			
2020-03-11	277	0			
2020-03-12	454	1			
2020-03-13	454	1			
2020-03-14	569	2			
2020-03-15	827	3			
2020-03-16	1105	3			
2020-03-17	1479	2			
2020-03-18	1609	2			
2020-03-19	2155	6			
2020-03-20	2746	10			
2020-03-21	3668	16			
2020-03-22	3807	21			
2020-03-23	3811	21			
2020-03-24	5348	30			
2020-03-25	6069	37			
2020-03-26	7283	56			
2020-03-27	8161	70			
2020-03-28	9781	101			
2020-03-29	9794	101			
2020-03-30	10943	119			
2020-03-31	12334	165			
2020-04-01	13410	197			
2020-04-02	14662	241			
2020-04-03	16059	285			
2020-04-04	17014	316			
2020-04-05	18614	367			
2020-04-06	19395	387			
2020-04-07	20141	433			
2020-04-08	20680	464			
2020-04-09	21603	519			
2020-04-10	22433	570			
2020-04-11	23617	622			
2020-04-12	24078	649			
2020-04-13	24570	677			
2020-04-14	25040	711			
2020-04-15	25438	767			
2020-04-16	25881	802			
2020-04-17	26543	872			
2020-04-18	27258	919			
2020-04-19	27883	968			
2020-04-20	28253	982			
2020-04-21	28712	1031			
2020-04-22	28898	1063			
2020-04-23	29443	1113			
2020-04-24	29792	1153			
2020-04-25	30169	1189			
2020-04-26	30761	1237			
2020-04-27	31043	1249			
2020-04-28	31196	1269			
2020-04-29	31336	1299			
2020-04-30	31609	1353			
2020-05-01	31919	1385			
2020-05-02	32146	1402			
2020-05-03	32291	1412			
2020-05-04	32411	1421			
2020-05-05	32482	1452			
2020-05-06	32576	1481			
2020-05-07	32762	1497			
2020-05-08	32898	1515			
2020-05-09	33105	1534			
2020-05-10	33287	1542			
2020-05-11	33190	1545			
2020-05-12	33359	1568			
2020-05-13	33518	1594			
2020-05-14	33670	1608			
2020-05-15	33851	1628			
2020-05-16	33893	1644			
2020-05-17	33950	1648			
2020-05-18	34000	1652			
2020-05-19	34034	1653			
2020-05-20	34115	1672			
2020-05-21	34175	1680			
2020-05-22	34174	1680			
2020-05-23	34345	1692			
2020-05-24	34399	1697			
2020-05-25	34431	1698			
2020-05-26	34466	1707			
2020-05-27	34500	1724			
2020-05-28	34129	1724			
2020-05-29	34479	1743			
2020-05-30	34718	1748			
2020-05-31	34718	1748			
2020-06-01	34784	1752			
2020-06-02	34796	1758			
2020-06-03	34813	1760			
2020-06-04	34830	1761			
2020-06-05	34870	1778			
2020-06-06	34898	1790			
2020-06-07	34912	1791			
2020-06-08	34937	1791			
2020-06-09	34958	1795			
2020-06-10	34965	1798			
2020-06-11	35002	1801			
2020-06-12	35057	1802			
2020-06-13	35090	1805			
2020-06-14	35090	1805			
2020-06-15	35090	1805			
2020-06-16	35150	1808			
2020-06-17	35177	1811			
2020-06-18	35218	1816			
2020-06-19	35236	1821			
2020-06-20	35272	1824			
2020-06-21	35272	1824			
2020-06-22	35272	1824			
2020-06-23	35365	1826			
2020-06-24	35409	1826			
2020-06-25	35446	1827			
2020-06-26	35476	1830			
2020-06-27	35530	1829			
2020-06-28	35530	1829			
