# Data source: https://raw.githubusercontent.com/chriswien/COVID19_CaseNumberDE/master/COVID19_Cases_Bundeslaender_DE.csv
# Data provenance: https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Fallzahlen.html
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	14	0			
2020-02-25	14	0			
2020-02-26	14	0			
2020-02-27	14	0			
2020-02-28	15	0			
2020-02-29	15	0			
2020-03-01	19	0			
2020-03-02	25	0			
2020-03-03	35	0			
2020-03-04	48	0			
2020-03-05	70	0			
2020-03-06	117	0			
2020-03-07	134	0			
2020-03-08	172	0			
2020-03-09	256	0			
2020-03-10	314	0			
2020-03-11	366	0			
2020-03-12	500	1			
2020-03-13	558	1			
2020-03-14	681	1			
2020-03-15	886	4			
2020-03-16	1067	5			
2020-03-17	1109	4			
2020-03-18	1243	4			
2020-03-19	1692	8			
2020-03-20	2401	12			
2020-03-21	2960	19			
2020-03-22	3650	21			
2020-03-23	4892	26			
2020-03-24	5754	30			
2020-03-25	6558	37			
2020-03-26	7993	47			
2020-03-27	9481	55			
2020-03-28	11150	77			
2020-03-29	12881	107			
2020-03-30	13989	127			
2020-03-31	14810	162			
2020-04-01	16497	225			
2020-04-02	18496	268			
2020-04-03	20237	307			
2020-04-04	21908	349			
2020-04-05	23846	396			
2020-04-06	24974	437			
2020-04-07	26163	481			
2020-04-08	27564	564			
2020-04-09	28827	635			
2020-04-10	30363	703			
2020-04-11	31453	747			
2020-04-12	32282	786			
2020-04-13	33015	820			
2020-04-14	33569	872			
2020-04-15	34294	954			
2020-04-16	35142	1049			
2020-04-17	36027	1137			
2020-04-18	36881	1198			
2020-04-19	37407	1256			
2020-04-20	37849	1286			
2020-04-21	38310	1336			
2020-04-22	38814	1424			
2020-04-23	39395	1476			
2020-04-24	39939	1525			
2020-04-25	40547	1566			
2020-04-26	40912	1596			
2020-04-27	41070	1621			
2020-04-28	41406	1681			
2020-04-29	41830	1754			
2020-04-30	42080	1799			
2020-05-01	42489	1850			
2020-05-02	42658	1885			
2020-05-03	42792	1910			
2020-05-04	42997	1926			
2020-05-05	43162	1949			
2020-05-06	43371	2001			
2020-05-07	43658	2050			
2020-05-08	43905	2114			
2020-05-09	44169	2147			
2020-05-10	44265	2153			
2020-05-11	44368	2155			
2020-05-12	44593	2182			
2020-05-13	44802	2209			
2020-05-14	44980	2229			
2020-05-15	45143	2260			
2020-05-16	45340	2273			
2020-05-17	45427	2283			
2020-05-18	45507	2287			
2020-05-19	45639	2314			
2020-05-20	45766	2339			
2020-05-21	45929	2348			
2020-05-22	46024	2358			
2020-05-23	46132	2367			
2020-05-24	46206	2377			
2020-05-25	46326	2382			
2020-05-26	46456	2401			
2020-05-27	46458	2404			
2020-05-28	46729	2438			
2020-05-29	46809	2441			
2020-05-30	46854	2450			
2020-05-31	46917	2450			
2020-06-01	47004	2451			
2020-06-02	47029	2456			
2020-06-03	47138	2466			
2020-06-04	47209	2479			
2020-06-05	47268	2481			
2020-06-06	47326	2489			
2020-06-07	47334	2501			
2020-06-08	47371	2505			
2020-06-09	47423	2521			
2020-06-10	47479	2531			
2020-06-11	47536	2536			
2020-06-12	47574	2538			
2020-06-13	47612	2540			
2020-06-14	47626	2541			
2020-06-15	47642	2541			
2020-06-16	47690	2540			
2020-06-17	47710	2546			
2020-06-18	47747	2556			
2020-06-19	47799	2562			
2020-06-20	47827	2566			
2020-06-21	47843	2565			
2020-06-22	47867	2567			
2020-06-23	47894	2571			
2020-06-24	47995	2578			
2020-06-25	48122	2583			
2020-06-26	48202	2594			
2020-06-27	48262	2591			
2020-06-28	48294	2592			
