# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-26	1	0			
2020-03-27	1	0			
2020-03-28	6	0			
2020-03-29	9	0			
2020-03-30	9	0			
2020-03-31	10	0			
2020-04-01	10	0			
2020-04-02	10	0			
2020-04-03	10	0			
2020-04-04	10	0			
2020-04-05	10	0			
2020-04-06	10	0			
2020-04-07	10	0			
2020-04-08	10	0			
2020-04-09	11	0			
2020-04-10	11	0			
2020-04-11	11	0			
2020-04-12	11	0			
2020-04-13	11	0			
2020-04-14	11	0			
2020-04-15	11	0			
2020-04-16	11	0			
2020-04-17	11	0			
2020-04-18	12	0			
2020-04-19	14	0			
2020-04-20	15	0			
2020-04-21	16	0			
2020-04-22	17	0			
2020-04-23	18	0			
2020-04-24	22	0			
2020-04-25	27	0			
2020-04-26	33	0			
2020-04-27	33	0			
2020-04-28	33	0			
2020-04-29	33	0			
2020-04-30	33	0			
2020-05-01	33	0			
2020-05-02	33	0			
2020-05-03	33	0			
2020-05-04	33	0			
2020-05-05	33	0			
2020-05-06	33	0			
2020-05-07	33	0			
2020-05-08	33	0			
2020-05-09	33	0			
2020-05-10	33	0			
2020-05-11	33	0			
2020-05-12	33	0			
2020-05-13	33	0			
2020-05-14	33	0			
2020-05-15	33	0			
2020-05-16	33	0			
2020-05-17	33	0			
2020-05-18	33	0			
2020-05-19	33	0			
2020-05-20	33	0			
2020-05-21	33	0			
2020-05-22	33	0			
2020-05-23	33	0			
2020-05-24	33	0			
2020-05-25	33	0			
2020-05-26	33	0			
2020-05-27	33	0			
2020-05-28	33	0			
2020-05-29	33	0			
2020-05-30	33	0			
2020-05-31	33	0			
2020-06-01	33	0			
2020-06-02	33	0			
2020-06-03	33	0			
2020-06-04	33	0			
2020-06-05	33	0			
2020-06-06	33	0			
2020-06-07	33	0			
2020-06-08	33	0			
2020-06-09	33	0			
2020-06-10	33	0			
2020-06-11	34	0			
2020-06-12	38	0			
2020-06-13	38	0			
2020-06-14	38	0			
2020-06-15	38	0			
2020-06-16	41	0			
2020-06-17	44	0			
