# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	2	0			
2020-03-20	3	0			
2020-03-21	3	0			
2020-03-22	5	0			
2020-03-23	7	0			
2020-03-24	8	0			
2020-03-25	9	0			
2020-03-26	11	0			
2020-03-27	12	0			
2020-03-28	14	0			
2020-03-29	19	0			
2020-03-30	23	0			
2020-03-31	40	0			
2020-04-01	83	0			
2020-04-02	86	1			
2020-04-03	132	1			
2020-04-04	161	1			
2020-04-05	190	1			
2020-04-06	226	3			
2020-04-07	266	3			
2020-04-08	305	4			
2020-04-09	348	4			
2020-04-10	363	6			
2020-04-11	381	6			
2020-04-12	381	6			
2020-04-13	432	7			
2020-04-14	473	9			
2020-04-15	503	9			
2020-04-16	534	14			
2020-04-17	572	14			
2020-04-18	603	15			
2020-04-19	603	15			
2020-04-20	722	20			
2020-04-21	757	22			
2020-04-22	813	24			
2020-04-23	895	27			
2020-04-24	955	29			
2020-04-25	1061	31			
2020-04-26	1097	31			
2020-04-27	1177	31			
2020-04-28	1259	31			
2020-04-29	1332	31			
2020-04-30	1403	31			
2020-05-01	1463	33			
2020-05-02	1463	33			
