# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-04-01	1	0			
2020-04-02	5	0			
2020-04-03	16	0			
2020-04-04	24	0			
2020-04-05	26	0			
2020-04-06	26	0			
2020-04-07	26	0			
2020-04-08	27	0			
2020-04-09	28	0			
2020-04-10	29	0			
2020-04-11	29	1			
2020-04-12	29	1			
2020-04-13	31	1			
2020-04-14	31	1			
2020-04-15	33	1			
2020-04-16	33	1			
2020-04-17	35	1			
2020-04-18	35	1			
2020-04-19	35	1			
2020-04-20	35	1			
2020-04-21	35	1			
2020-04-22	35	1			
2020-04-23	35	1			
2020-04-24	36	1			
2020-04-25	36	1			
2020-04-26	36	1			
2020-04-27	36	1			
2020-04-28	38	1			
2020-04-29	38	1			
2020-04-30	42	1			
2020-05-01	42	1			
2020-05-02	43	1			
2020-05-03	43	1			
2020-05-04	43	1			
2020-05-05	43	1			
2020-05-06	43	1			
2020-05-07	45	1			
2020-05-08	54	1			
2020-05-09	59	1			
2020-05-10	63	2			
2020-05-11	63	2			
2020-05-12	65	2			
2020-05-13	65	2			
2020-05-14	80	2			
2020-05-15	87	2			
2020-05-16	90	2			
2020-05-17	92	2			
2020-05-18	101	2			
2020-05-19	107	2			
2020-05-20	142	4			
2020-05-21	170	4			
2020-05-22	203	4			
2020-05-23	259	4			
2020-05-24	329	4			
2020-05-25	378	4			
2020-05-26	526	4			
2020-05-27	616	4			
2020-05-28	781	4			
2020-05-29	856	4			
2020-05-30	1024	4			
2020-05-31	1185	4			
2020-06-01	1272	4			
2020-06-02	1390	4			
2020-06-03	1513	4			
2020-06-04	1672	4			
2020-06-05	1988	4			
2020-06-06	2153	4			
2020-06-07	2397	4			
2020-06-08	2565	4			
2020-06-09	2776	4			
2020-06-10	2937	4			
2020-06-11	3092	4			
2020-06-12	3319	6			
2020-06-13	3498	8			
2020-06-14	3718	8			
2020-06-15	4049	8			
2020-06-16	4158	8			
2020-06-17	4319	8			
2020-06-18	4605	8			
2020-06-19	4777	9			
2020-06-20	4904	9			
2020-06-21	4904	9			
2020-06-22	5388	9			
2020-06-23	5586	9			
2020-06-24	5831	9			
2020-06-25	6198	9			
2020-06-26	6321	9			
2020-06-27	6607	9			
2020-06-28	6816	9			
2020-06-29	7206	10			
2020-06-30	7752	11			
2020-07-01	8227	12			
2020-07-02	8582	12			
2020-07-03	9013	12			
2020-07-04	9673	14			
2020-07-05	10668	14			
2020-07-06	11388	14			
2020-07-07	12160	14			
2020-07-08	12522	14			
2020-07-09	13336	16			
2020-07-10	14032	22			
2020-07-11	14600	27			
2020-07-12	15536	35			
2020-07-13	16071	35			
2020-07-14	16806	36			
2020-07-15	17807	40			
2020-07-16	18666	46			
2020-07-17	19754	48			
2020-07-18	20646	51			
2020-07-19	22918	53			
2020-07-20	23999	57			
2020-07-21	25382	58			
2020-07-22	25382	58			
2020-07-23	26772	64			
2020-07-24	28791	70			
2020-07-25	29921	76			
2020-07-26	31086	77			
2020-07-27	32228	79			
2020-07-28	33576	86			
2020-07-29	34947	88			
2020-07-30	36295	92			
2020-07-31	38407	94			
2020-08-01	40269	98			
2020-08-02	41726	101			
2020-08-03	42904	105			
2020-08-04	45275	109			
2020-08-05	48161	115			
2020-08-06	50445	121			
2020-08-07	52817	126			
2020-08-08	55496	132			
2020-08-09	57714	140			
2020-08-10	58837	145			
2020-08-11	61737	151			
2020-08-12	64406	155			
2020-08-13	68999	161			
2020-08-14	71795	169			
2020-08-15	74501	175			
2020-08-16	75558	182			
2020-08-17	76875	189			
2020-08-18	79667	197			
2020-08-19	82201	203			
2020-08-20	84317	213			
2020-08-21	86052	221			
2020-08-22	87908	227			
2020-08-23	89468	234			
2020-08-24	90740	242			
2020-08-25	92619	252			
2020-08-26	94592	260			
2020-08-27	96771	274			
2020-08-28	98807	278			
2020-08-29	101367	286			
2020-08-30	103794	289			
2020-08-31	105774	296			
2020-09-01	109040	306			
2020-09-02	111724	315			
2020-09-03	115279	323			
2020-09-04	118333	330			
2020-09-05	121224	345			
2020-09-06	123922	352			
2020-09-07	125459	360			
2020-09-08	128244	370			
2020-09-09	130823	378			
2020-09-10	133066	396			
2020-09-11	135805	414			
2020-09-12	138339	430			
2020-09-13	140471	453			
2020-09-14	141763	469			
2020-09-15	144166	482			
2020-09-16	146575	492			
2020-09-17	148969	511			
2020-09-18	150349	528			
2020-09-19	152858	540			
2020-09-20	155453	548			
2020-09-21	156680	562			
2020-09-22	159320	578			
2020-09-23	161393	586			
2020-09-24	163487	597			
2020-09-25	165582	608			
2020-09-26	167374	625			
