# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	5	0			
2020-03-23	6	0			
2020-03-24	7	0			
2020-03-25	7	0			
2020-03-26	7	0			
2020-03-27	7	0			
2020-03-28	8	0			
2020-03-29	8	0			
2020-03-30	8	0			
2020-03-31	13	0			
2020-04-01	16	0			
2020-04-02	16	0			
2020-04-03	18	0			
2020-04-04	18	0			
2020-04-05	18	0			
2020-04-06	18	0			
2020-04-07	18	0			
2020-04-08	18	0			
2020-04-09	18	0			
2020-04-10	18	0			
2020-04-11	18	0			
2020-04-12	19	0			
2020-04-13	21	0			
2020-04-14	21	0			
2020-04-15	21	0			
2020-04-16	21	0			
2020-04-17	21	0			
2020-04-18	21	0			
2020-04-19	23	0			
2020-04-20	26	0			
2020-04-21	26	0			
2020-04-22	27	0			
2020-04-23	27	0			
2020-04-24	27	0			
2020-04-25	28	0			
2020-04-26	30	0			
2020-04-27	30	0			
2020-04-28	40	0			
2020-04-29	56	0			
2020-04-30	56	0			
2020-05-01	56	0			
2020-05-02	88	0			
2020-05-03	94	0			
2020-05-04	94	0			
2020-05-05	102	1			
2020-05-06	111	1			
2020-05-07	120	1			
2020-05-08	135	1			
2020-05-09	150	1			
2020-05-10	169	2			
2020-05-11	169	2			
2020-05-12	174	2			
2020-05-13	187	3			
2020-05-14	187	3			
2020-05-15	191	3			
2020-05-16	191	3			
2020-05-17	191	3			
2020-05-18	191	3			
2020-05-19	196	3			
2020-05-20	200	3			
2020-05-21	202	3			
2020-05-22	217	3			
2020-05-23	218	3			
2020-05-24	225	3			
2020-05-25	238	3			
2020-05-26	238	3			
2020-05-27	266	4			
2020-05-28	279	4			
2020-05-29	288	4			
2020-05-30	289	4			
2020-05-31	289	4			
2020-06-01	293	4			
2020-06-02	294	4			
2020-06-03	301	5			
2020-06-04	301	5			
2020-06-05	301	5			
2020-06-06	304	5			
2020-06-07	309	5			
2020-06-08	314	5			
2020-06-09	317	5			
2020-06-10	323	5			
2020-06-11	327	5			
2020-06-12	332	5			
2020-06-13	334	5			
2020-06-14	345	5			
2020-06-15	352	5			
2020-06-16	354	6			
2020-06-17	358	6			
2020-06-18	368	6			
2020-06-19	374	6			
2020-06-20	381	6			
2020-06-21	404	6			
2020-06-22	406	6			
2020-06-23	411	6			
2020-06-24	418	6			
2020-06-25	420	6			
2020-06-26	423	6			
2020-06-27	425	6			
2020-06-28	428	6			
2020-06-29	429	6			
2020-06-30	435	6			
2020-07-01	440	6			
2020-07-02	446	6			
2020-07-03	450	6			
2020-07-04	457	6			
2020-07-05	460	6			
2020-07-06	466	6			
2020-07-07	489	6			
2020-07-08	494	7			
2020-07-09	513	7			
2020-07-10	523	7			
2020-07-11	539	7			
2020-07-12	555	7			
2020-07-13	559	8			
2020-07-14	588	8			
2020-07-15	600	10			
2020-07-16	625	11			
2020-07-17	651	11			
2020-07-18	660	11			
2020-07-19	700	12			
2020-07-20	717	12			
2020-07-21	737	12			
2020-07-22	751	12			
2020-07-23	793	13			
2020-07-24	800	13			
2020-07-25	823	13			
2020-07-26	852	13			
2020-07-27	887	13			
2020-07-28	910	14			
2020-07-29	934	14			
2020-07-30	978	14			
2020-07-31	1016	14			
2020-08-01	1051	15			
2020-08-02	1079	18			
2020-08-03	1117	19			
2020-08-04	1159	19			
2020-08-05	1206	20			
2020-08-06	1270	20			
2020-08-07	1327	20			
2020-08-08	1374	23			
2020-08-09	1426	24			
2020-08-10	1515	25			
2020-08-11	1595	25			
2020-08-12	1670	26			
2020-08-13	1751	26			
2020-08-14	1842	27			
2020-08-15	1928	28			
2020-08-16	2009	28			
2020-08-17	2102	29			
2020-08-18	2216	30			
2020-08-19	2305	30			
2020-08-20	2396	31			
2020-08-21	2515	31			
2020-08-22	2631	33			
2020-08-23	2776	33			
2020-08-24	2918	37			
2020-08-25	3035	37			
2020-08-26	3209	40			
2020-08-27	3376	41			
2020-08-28	3564	43			
2020-08-29	3724	45			
2020-08-30	4155	52			
2020-08-31	4155	52			
2020-09-01	4550	57			
2020-09-02	4550	57			
2020-09-03	4789	59			
2020-09-04	5065	63			
2020-09-05	5268	68			
2020-09-06	5502	69			
2020-09-07	5763	71			
2020-09-08	5995	74			
2020-09-09	6372	78			
2020-09-10	6704	80			
