# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	4	0			
2020-03-11	5	0			
2020-03-12	6	0			
2020-03-13	7	1			
2020-03-14	7	1			
2020-03-15	7	1			
2020-03-16	7	1			
2020-03-17	8	1			
2020-03-18	10	1			
2020-03-19	12	1			
2020-03-20	17	1			
2020-03-21	26	1			
2020-03-22	29	1			
2020-03-23	29	1			
2020-03-24	30	2			
2020-03-25	31	1			
2020-03-26	36	1			
2020-03-27	36	1			
2020-03-28	39	1			
2020-03-29	49	2			
2020-03-30	87	2			
2020-03-31	97	2			
2020-04-01	152	2			
2020-04-02	219	4			
2020-04-03	219	4			
2020-04-04	445	6			
2020-04-05	503	7			
2020-04-06	523	7			
2020-04-07	576	7			
2020-04-08	576	9			
2020-04-09	669	9			
2020-04-10	898	13			
2020-04-11	903	14			
2020-04-12	1069	19			
2020-04-13	1154	24			
2020-04-14	1510	28			
2020-04-15	1561	30			
2020-04-16	1578	32			
2020-04-17	1640	38			
2020-04-18	1707	42			
2020-04-19	1893	43			
2020-04-20	2003	45			
2020-04-21	2081	47			
2020-04-22	2156	47			
2020-04-23	2248	48			
2020-04-24	2376	50			
2020-04-25	2514	53			
2020-04-26	2625	54			
2020-04-27	2918	54			
2020-04-28	3108	54			
2020-04-29	3314	54			
2020-04-30	3439	56			
2020-05-01	3515	59			
2020-05-02	3738	61			
2020-05-03	4122	64			
2020-05-04	4549	64			
2020-05-05	4898	64			
2020-05-06	5104	64			
2020-05-07	5532	65			
2020-05-08	5980	66			
2020-05-09	6318	68			
2020-05-10	6542	73			
2020-05-11	6923	73			
2020-05-12	7233	73			
2020-05-13	7639	86			
2020-05-14	7998	106			
2020-05-15	8470	115			
2020-05-16	8895	123			
2020-05-17	9333	129			
2020-05-18	10054	160			
2020-05-19	10054	168			
2020-05-20	10554	168			
2020-05-21	11088	176			
2020-05-22	11659	194			
2020-05-23	12319	208			
2020-05-24	12910	231			
2020-05-25	13418	261			
2020-05-26	14053	276			
2020-05-27	14465	288			
2020-05-28	15257	303			
2020-05-29	16281	316			
2020-05-30	17386	398			
2020-05-31	18549	416			
2020-06-01	19844	473			
2020-06-02	20834	523			
2020-06-03	22132	556			
2020-06-04	23645	606			
2020-06-05	25004	650			
2020-06-06	26334	708			
2020-06-07	27654	761			
2020-06-08	28936	812			
2020-06-09	29943	874			
2020-06-10	31309	905			
2020-06-11	32810	984			
2020-06-12	34687	1085			
2020-06-13	36824	1214			
2020-06-14	38958	1271			
2020-06-15	41182	1327			
2020-06-16	42829	1400			
2020-06-17	44688	1837			
2020-06-18	47102	1904			
2020-06-19	49979	1969			
2020-06-20	53116	2035			
2020-06-21	56746	2112			
2020-06-22	59746	2175			
2020-06-23	62655	2233			
2020-06-24	66602	2301			
2020-06-25	70390	2365			
2020-06-26	73780	2429			
2020-06-27	77240	2492			
2020-06-28	80188	2558			
2020-06-29	83077	2623			
2020-06-30	85161	2680			
2020-07-01	87360	2742			
2020-07-02	89802	2803			
2020-07-03	92175	2864			
2020-07-04	94695	2923			
2020-07-05	97200	3004			
2020-07-06	99444	3067			
2020-07-07	100823	3115			
2020-07-08	102831	3165			
2020-07-09	104864	3213			
2020-07-10	107051	3258			
2020-07-11	109140	3300			
2020-07-12	110921	3334			
2020-07-13	112494	3371			
2020-07-14	113740	3411			
2020-07-15	115346	3446			
2020-07-16	116993	3487			
2020-07-17	118645	3545			
2020-07-18	120107	3571			
2020-07-19	121582	3597			
2020-07-20	122793	3628			
2020-07-21	123747	3663			
2020-07-22	125096	3690			
2020-07-23	126323	3719			
2020-07-24	127364	3745			
2020-07-25	128389	3777			
2020-07-26	129531	3806			
2020-07-27	130606	3827			
2020-07-28	131219	3853			
2020-07-29	132275	3881			
2020-07-30	133310	3907			
2020-07-31	134403	3936			
2020-08-01	135598	3963			
2020-08-02	136716	3989			
2020-08-03	137677	4004			
2020-08-04	138482	4021			
2020-08-05	139156	4033			
2020-08-06	140232	4044			
2020-08-07	141531	4059			
2020-08-08	142723	4082			
2020-08-09	144127	4098			
2020-08-10	145427	4111			
2020-08-11	146134	4131			
2020-08-12	147391	4139			
2020-08-13	148504	4153			
2020-08-14	149460	4167			
2020-08-15	150652	4178			
2020-08-16	151928	4188			
2020-08-17	152580	4196			
2020-08-18	153367	4214			
2020-08-19	154741	4226			
2020-08-20	156139	4235			
2020-08-21	157354	4257			
2020-08-22	158604	4270			
2020-08-23	160016	4284			
2020-08-24	161466	4300			
2020-08-25	162527	4313			
2020-08-26	164071	4330			
2020-08-27	165764	4347			
2020-08-28	167604	4369			
2020-08-29	169412	4389			
2020-08-30	171366	4404			
2020-08-31	173390	4426			
2020-09-01	174748	4444			
2020-09-02	177060	4462			
2020-09-03	179569	4481			
2020-09-04	182306	4500			
2020-09-05	185220	4513			
2020-09-06	188193	4538			
2020-09-07	191449	4567			
2020-09-08	193526	4599			
2020-09-09	197135	4618			
2020-09-10	201174	4638			
2020-09-11	205482	4666			
2020-09-12	209748	4687			
2020-09-13	214069	4715			
2020-09-14	218304	4744			
2020-09-15	221533	4770			
2020-09-16	225796	4806			
2020-09-17	230269	4839			
2020-09-18	234701	4877			
2020-09-19	238828	4907			
2020-09-20	242899	4945			
2020-09-21	246711	4982			
2020-09-22	249259	5014			
2020-09-23	253075	5051			
2020-09-24	256849	5087			
2020-09-25	260623	5123			
2020-09-26	264450	5147			
2020-09-27	267822	5193			
2020-09-28	271114	5235			
2020-09-29	273098	5272			
2020-09-30	276325	5320			
2020-10-01	279538	5360			
2020-10-02	282752	5401			
2020-10-03	285672	5438			
2020-10-04	288142	5474			
2020-10-05	290613	5510			
2020-10-06	292560	5542			
2020-10-07	295333	5579			
2020-10-08	298107	5616			
2020-10-09	300833	5653			
2020-10-10	303693	5692			
2020-10-11	306559	5740			
2020-10-12	309339	5769			
2020-10-13	311188	5809			
2020-10-14	314224	5854			
2020-10-15	317548	5898			
2020-10-16	321031	5924			
2020-10-17	324459	5946			
2020-10-18	327718	5981			
2020-10-19	331017	6009			
2020-10-20	333171	6040			
2020-10-21	336750	6081			
2020-10-22	340436	6128			
2020-10-23	348404	6189			
2020-10-24	348404	6189			
2020-10-25	352520	6225			
2020-10-26	356656	6258			
2020-10-27	359488	6312			
2020-10-28	364341	6356			
2020-10-29	370014	6396			
2020-10-30	375753	6423			
2020-10-31	381644	6470			
2020-11-01	386706	6511			
2020-11-02	392370	6562			
2020-11-03	396371	6604			
2020-11-04	403096	6652			
2020-11-05	416653	6769			
2020-11-06	416653	6769			
2020-11-07	430784	6912			
2020-11-08	430784	6912			
2020-11-09	438529	6989			
2020-11-10	443552	7060			
2020-11-11	451382	7143			
2020-11-12	459975	7228			
2020-11-13	467028	7332			
2020-11-14	474830	7423			
2020-11-15	482170	7519			
2020-11-16	485405	7614			
2020-11-17	489202	7713			
2020-11-18	495598	7812			
2020-11-19	503084	7943			
2020-11-20	510630	8041			
2020-11-21	517238	8159			
2020-11-22	523117	8270			
2020-11-23	529863	8391			
2020-11-24	534317	8512			
2020-11-25	540541	8621			
2020-11-26	551262	8811			
2020-11-27	551262	8811			
2020-11-28	556744	8909			
2020-11-29	561742	8998			
2020-11-30	566648	9066			
2020-12-01	574380	9260			
2020-12-02	574380	9260			
2020-12-03	578324	9342			
2020-12-04	582058	9424			
2020-12-05	586125	9497			
2020-12-06	589544	9574			
2020-12-07	592250	9643			
2020-12-08	593924	9706			
2020-12-09	597112	9763			
2020-12-10	599575	9813			
2020-12-11	603535	9934			
2020-12-12	603535	9934			
2020-12-13	605470	9981			
2020-12-14	607454	10014			
2020-12-15	608830	10074			
2020-12-16	611994	10147			
2020-12-17	613357	10182			
2020-12-18	613357	10182			
2020-12-19	614775	10219			
2020-12-20	615914	10251			
2020-12-21	617808	10304			
2020-12-22	617808	10304			
2020-12-23	618747	10329			
2020-12-24	619618	10347			
2020-12-25	620681	10384			
2020-12-26	621439	10414			
2020-12-27	622094	10437			
2020-12-28	622851	10453			
2020-12-29	623415	10474			
2020-12-30	624118	10502			
2020-12-31	624795	10523			
2021-01-01	625369	10536			
2021-01-02	625954	10557			
2021-01-03	626448	10571			
2021-01-04	626872	10585			
2021-01-05	627256	10597			
2021-01-06	627698	10609			
2021-01-07	628838	10644			
2021-01-08	628838	10644			
2021-01-09	629282	10654			
2021-01-10	629801	10666			
2021-01-11	630506	10691			
2021-01-12	630506	10691			
2021-01-13	630892	10707			
2021-01-14	631249	10718			
2021-01-15	631589	10722			
2021-01-16	632183	10738			
2021-01-17	632183	10738			
2021-01-18	632429	10746			
2021-01-19	632590	10754			
2021-01-20	632821	10764			
2021-01-21	633276	10782			
2021-01-22	633542	10789			
2021-01-23	633542	10789			
2021-01-24	633739	10799			
2021-01-25	633924	10808			
2021-01-26	634072	10813			
2021-01-27	634229	10820			
