# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	14	0			
2020-03-11	14	0			
2020-03-12	14	0			
2020-03-13	14	0			
2020-03-14	14	0			
2020-03-15	14	0			
2020-03-16	14	0			
2020-03-17	15	0			
2020-03-18	17	0			
2020-03-19	17	0			
2020-03-20	17	0			
2020-03-21	17	0			
2020-03-22	21	0			
2020-03-23	26	0			
2020-03-24	28	0			
2020-03-25	28	0			
2020-03-26	30	0			
2020-03-27	30	0			
2020-03-28	33	0			
2020-03-29	33	0			
2020-03-30	36	0			
2020-03-31	40	0			
2020-04-01	43	0			
2020-04-02	43	0			
2020-04-03	49	0			
2020-04-04	49	0			
2020-04-05	59	1			
2020-04-06	84	1			
2020-04-07	90	1			
2020-04-08	147	3			
2020-04-09	169	3			
2020-04-10	169	3			
2020-04-11	177	3			
2020-04-12	185	3			
2020-04-13	185	3			
2020-04-14	199	3			
2020-04-15	199	3			
2020-04-16	205	3			
2020-04-17	205	3			
2020-04-18	225	3			
2020-04-19	233	3			
2020-04-20	233	3			
2020-04-21	254	3			
2020-04-22	254	3			
2020-04-23	262	3			
2020-04-24	272	3			
2020-04-25	272	3			
2020-04-26	289	3			
2020-04-27	289	3			
2020-04-28	296	3			
2020-04-29	310	3			
2020-04-30	310	3			
2020-05-01	313	3			
2020-05-02	360	4			
2020-05-03	394	4			
2020-05-04	442	5			
2020-05-05	517	6			
2020-05-06	548	6			
2020-05-07	594	7			
2020-05-08	625	7			
2020-05-09	647	8			
2020-05-10	675	9			
2020-05-11	703	10			
2020-05-12	730	11			
2020-05-13	780	11			
2020-05-14	793	11			
2020-05-15	818	11			
2020-05-16	818	11			
2020-05-17	887	13			
2020-05-18	910	14			
2020-05-19	928	14			
2020-05-20	964	14			
2020-05-21	993	14			
2020-05-22	1031	15			
2020-05-23	1067	16			
2020-05-24	1131	16			
2020-05-25	1184	16			
2020-05-26	1184	16			
2020-05-27	1305	17			
2020-05-28	1381	18			
2020-05-29	1504	19			
2020-05-30	1721	19			
2020-05-31	1923	20			
2020-06-01	2091	20			
2020-06-02	2356	21			
2020-06-03	2652	23			
2020-06-04	2954	23			
2020-06-05	3281	24			
2020-06-06	3597	24			
2020-06-07	3952	24			
2020-06-08	4448	28			
2020-06-09	4854	39			
2020-06-10	5209	45			
2020-06-11	5579	52			
2020-06-12	5968	64			
2020-06-13	6334	70			
2020-06-14	6749	78			
2020-06-15	7208	88			
2020-06-16	7722	100			
2020-06-17	8272	118			
2020-06-18	8832	130			
2020-06-19	9218	134			
2020-06-20	9743	144			
2020-06-21	10223	149			
2020-06-22	10635	160			
2020-06-23	11025	169			
2020-06-24	11520	178			
2020-06-25	12010	188			
2020-06-26	12463	198			
2020-06-27	12884	211			
2020-06-28	13427	218			
2020-06-29	13829	223			
2020-06-30	14210	232			
2020-07-01	14548	236			
2020-07-02	14941	240			
2020-07-03	15509	251			
2020-07-04	16003	255			
2020-07-05	16548	260			
2020-07-06	17005	265			
2020-07-07	17504	276			
2020-07-08	17999	279			
2020-07-09	18690	282			
2020-07-10	19369	287			
2020-07-11	19934	290			
2020-07-12	20582	297			
2020-07-13	21240	301			
2020-07-14	21894	308			
2020-07-15	22628	312			
2020-07-16	23306	319			
