# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	2	1			
2020-03-20	2	1			
2020-03-21	13	1			
2020-03-22	21	1			
2020-03-23	21	1			
2020-03-24	29	1			
2020-03-25	29	1			
2020-03-26	33	1			
2020-03-27	33	1			
2020-03-28	38	1			
2020-03-29	38	1			
2020-03-30	38	1			
2020-03-31	41	3			
2020-04-01	42	3			
2020-04-02	46	4			
2020-04-03	48	5			
2020-04-04	57	5			
2020-04-05	57	5			
2020-04-06	76	6			
2020-04-07	91	7			
2020-04-08	91	7			
2020-04-09	101	8			
2020-04-10	132	11			
2020-04-11	132	11			
2020-04-12	151	11			
