# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	2	0			
2020-03-20	3	0			
2020-03-21	3	0			
2020-03-22	7	0			
2020-03-23	9	0			
2020-03-24	15	0			
2020-03-25	18	0			
2020-03-26	26	1			
2020-03-27	29	1			
2020-03-28	40	1			
2020-03-29	49	1			
2020-03-30	67	1			
2020-03-31	74	1			
2020-04-01	234	1			
2020-04-02	234	1			
2020-04-03	309	1			
2020-04-04	411	2			
2020-04-05	485	3			
2020-04-06	571	5			
2020-04-07	621	5			
2020-04-08	690	7			
2020-04-09	738	8			
2020-04-10	834	8			
2020-04-11	911	8			
2020-04-12	969	10			
2020-04-13	1075	11			
2020-04-14	1173	11			
2020-04-15	1204	12			
2020-04-16	1242	14			
2020-04-17	1267	15			
2020-04-18	1323	15			
2020-04-19	1372	15			
2020-04-20	1477	15			
2020-04-21	1520	17			
2020-04-22	1596	18			
2020-04-23	1629	18			
2020-04-24	1683	20			
2020-04-25	1755	22			
2020-04-26	1821	23			
2020-04-27	1885	24			
2020-04-28	1937	24			
2020-04-29	2058	25			
2020-04-30	2162	27			
2020-05-01	2323	27			
2020-05-02	2526	28			
