# Data source: https://raw.githubusercontent.com/idandrd/israel-covid19-data/master/IsraelCOVID19.csv
# Data provenance: https://github.com/idandrd/israel-covid19-data
# License: MIT
time	cases	deaths	hospitalized	icu	recovered
2020-02-21	2				
2020-02-22	2				
2020-02-23	2				
2020-02-24	2				
2020-02-25	2				
2020-02-26	3				
2020-02-27	5				
2020-02-28	7				
2020-02-29	10				
2020-03-01	12				
2020-03-02	12				
2020-03-03	15				
2020-03-04	16				
2020-03-05	20				
2020-03-06	22				
2020-03-07	37				
2020-03-08	39	0		0	
2020-03-09	59	0		1	
2020-03-10	77	0		1	
2020-03-11	99	0		1	
2020-03-12	130	0		2	
2020-03-13	164	0		3	
2020-03-14	200	0		2	
2020-03-15	253	0		2	
2020-03-16	318	0		4	
2020-03-17	421	0		5	
2020-03-18	524	0		6	
2020-03-19	677	0		6	
2020-03-20	838	0		10	
2020-03-21	943	1		15	
2020-03-22	1207	1		24	
2020-03-23	1552	1		29	
2020-03-24	2000	3		37	
2020-03-25	2463	5		39	
2020-03-26	3011	8		46	
2020-03-27	3404	12		49	
2020-03-28	3824	12		69	
2020-03-29	4316	15		74	
2020-03-30	4782	16		79	
2020-03-31	5523	20		94	
2020-04-01	6168	21		95	
2020-04-02	6901	29		108	
2020-04-03	7531	36		113	
2020-04-04	7989	42		126	
2020-04-05	8618	46		139	
2020-04-06	8970	51		140	
2020-04-07	9313	59		149	
2020-04-08	9749	71		147	
2020-04-09	10067	79		166	
2020-04-10	10441	92		164	
2020-04-11	10825	96		180	
2020-04-12	11223	103		174	
2020-04-13	11809	110		181	
2020-04-14	12158	117		181	
2020-04-15	12526	126		176	
2020-04-16	12802	140		174	
2020-04-17	13073	148		182	
2020-04-18	13347	158		167	
2020-04-19	13552	171		156	
2020-04-20	13833	173		150	
2020-04-21	13942	181		142	
2020-04-22	14326	187		148	
