# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0	0	0	0
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	1	0	1	0	0
2020-02-28	1	0	1	0	0
2020-02-29	2	0	2	0	0
2020-03-01	5	0	3	0	0
2020-03-02	5	0	3	0	0
2020-03-03	6	0	5	0	0
2020-03-04	7	0	7	0	0
2020-03-05	8	0	8	0	0
2020-03-06	9	0	9	0	0
2020-03-07	11	0	11	0	0
2020-03-08	17	0	14	0	0
2020-03-09	30	0	25	0	0
2020-03-10	38	1	17	9	0
2020-03-11	38	1	17	9	0
2020-03-12	84	2	47	12	4
2020-03-13	89	2	42	14	4
2020-03-14	112	2	51	14	4
2020-03-15	137	3	72	28	6
2020-03-16	176	4	71	37	7
2020-03-17	229	6	94	32	7
2020-03-18	263	7	99	41	7
2020-03-19	385	11	181	47	8
2020-03-20	449	17	190	48	10
2020-03-21	529	22	185	44	13
2020-03-22	587	33	218	49	15
2020-03-23	663	38	228	52	20
2020-03-24	689	46	234	57	21
2020-03-25	813	52	248	59	23
2020-03-26	946	63	280	64	23
2020-03-27	1017	68	289	71	24
2020-03-28	1133	76	311	70	30
2020-03-29	1293	88	329	68	36
2020-03-30	1345	102	322	69	74
2020-03-31	1401	115	335	73	95
2020-04-01	1436	123	342	71	102
2020-04-02	1497	133	341	75	113
2020-04-03	1563	146	361	76	116
2020-04-04	1628	153	354	71	119
2020-04-05	1703	158	347	67	125
2020-04-06	1721	169	340	66	127
2020-04-07	1799	172	337	67	136
2020-04-08	1859	179	331	62	146
2020-04-09	1931	194	306	57	171
2020-04-10	2014	198	305	53	181
2020-04-11	2120	206	315	54	190
2020-04-12	2160	212	346	54	206
2020-04-13	2213	224	351	54	211
2020-04-14	2245	232	345	52	213
2020-04-15	2274	240	341	44	224
2020-04-16	2346	243	324	42	253
2020-04-17	2443	246	319	43	255
2020-04-18	2487	253	321	41	263
2020-04-19	2521	258	317	40	276
2020-04-20	2612	263	320	38	287
2020-04-21	2667	271	318	35	329
2020-04-22	2733	276	309	35	349
2020-04-23	2785	280	322	31	405
2020-04-24	2803	286	327	28	438
2020-04-25	2832	293	323	26	478
2020-04-26	2859	295	324	24	496
2020-04-27	2874	299	328	23	545
2020-04-28	2899	310	312	21	599
2020-04-29	2923	315	309	19	632
2020-04-30	2930	320	306	16	695
2020-05-01	2948	324	297	16	713
2020-05-02	2964	327	303	16	758
2020-05-03	2996	330	300	16	798
2020-05-04	3000	332	301	15	831
2020-05-05	3025	335	289	11	881
2020-05-06	3047	341	285	11	915
2020-05-07	3072	348	263	12	954
2020-05-08	3078	351	250	10	1014
2020-05-09	3086	355	246	10	1055
2020-05-10	3103	359	233	10	1073
2020-05-11	3107	366	231	9	1132
2020-05-12	3115	370	222	8	1197
2020-05-13	3127	375	214	7	1263
2020-05-14	3136	379	215	6	1275
2020-05-15	3148	381	205	6	1313
2020-05-16	3178	383	195	7	1372
2020-05-17	3186	385	193	6	1379
2020-05-18	3193	388	191	6	1392
2020-05-19	3197	389	188	6	1419
2020-05-20	3205	389	185	6	1499
2020-05-21	3212	391	175	5	1549
2020-05-22	3220	394	157	4	1647
2020-05-23	3221	394	156	4	1659
2020-05-24	3226	398	149	3	1736
2020-05-25	3227	400	149	3	1781
2020-05-26	3230	400	142	3	1921
2020-05-27	3235	400	138	3	1969
2020-05-28	3237	402	128	3	2011
2020-05-29	3237	404	122	3	2063
2020-05-30	3237	404	122	3	2063
2020-05-31	3244	405	104	4	2064
2020-06-01	3245	408	113	6	2093
2020-06-02	3249	413	113	6	2093
2020-06-03	3252	414	112	3	2102
2020-06-04	3255	415	109	3	2136
