# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	3	0	2	0	0
2020-02-25	3	0	2	0	0
2020-02-26	3	0	2	0	0
2020-02-27	2	0	2	0	0
2020-02-28	11	0	7	0	0
2020-02-29	11	0	7	0	0
2020-03-01	49	0	11	2	0
2020-03-02	51	0	12	2	0
2020-03-03	56	0	13	3	0
2020-03-04	82	0	26	13	0
2020-03-05	108	2	43	17	0
2020-03-06	143	4	57	30	0
2020-03-07	207	5	110	38	0
2020-03-08	360	5	245	45	0
2020-03-09	350	13	222	50	0
2020-03-10	453	17	306	66	0
2020-03-11	501	21	319	75	0
2020-03-12	580	26	368	97	0
2020-03-13	840	46	556	135	0
2020-03-14	873	59	538	150	0
2020-03-15	1111	81	726	171	0
2020-03-16	1516	111	1045	186	0
2020-03-17	1897	133	1378	206	0
2020-03-18	2341	154	1780	227	0
2020-03-19	2932	175	2279	257	3
2020-03-20	3461	209	1541	280	8
2020-03-21	3752	238	1976	301	8
2020-03-22	4420	283	2118	308	10
2020-03-23	4861	315	2194	343	17
2020-03-24	5515	374	2404	360	17
2020-03-25	6024	449	2544	381	19
2020-03-26	6534	449	2633	408	135
2020-03-27	7092	569	2852	431	176
2020-03-28	7671	617	3094	439	203
2020-03-29	8206	684	2985	443	254
2020-03-30	8712	749	2985	452	308
2020-03-31	9301	854	3174	452	365
2020-04-01	9795	886	3146	453	439
2020-04-02	10353	983	3341	453	571
2020-04-03	10896	1043	3300	452	723
2020-04-04	11709	1128	3441	450	888
2020-04-05	12362	1168	3472	444	1017
2020-04-06	12924	1251	3484	438	1128
2020-04-07	13343	1319	3553	432	1320
2020-04-08	13883	1378	3493	423	1516
2020-04-09	14522	1454	3514	412	1732
2020-04-10	15012	1532	3497	394	1904
2020-04-11	16008	1633	3435	384	2205
2020-04-12	16660	1729	3429	381	2426
2020-04-13	17134	1826	3344	379	2543
2020-04-14	17690	1927	3395	367	2708
2020-04-15	18229	2015	3338	366	3019
2020-04-16	19108	2094	3418	346	3231
2020-04-17	19803	2171	3266	333	3634
2020-04-18	20464	2252	3271	323	3989
2020-04-19	21057	2331	3201	305	4256
2020-04-20	21349	2409	3299	301	4383
2020-04-21	21955	2485	3116	293	4659
2020-04-22	22739	2559	3213	273	5058
2020-04-23	23140	2630	3039	261	5358
2020-04-24	23822	2699	2918	257	5732
2020-04-25	24426	2767	2937	238	6157
2020-04-26	24820	2823	2866	214	6478
2020-04-27	25098	2878	2830	214	6712
2020-04-28	25450	2936	2701	202	7008
2020-04-29	25861	3003	2637	202	7337
2020-04-30	26289	3066	2621	199	7730
2020-05-01	26684	3097	2503	181	8025
2020-05-02	27179	3126	2550	178	8334
2020-05-03	27430	3152	2496	169	8640
2020-05-04	27622	3186	2391	161	8874
2020-05-05	27774	3216	2307	155	9235
2020-05-06	27939	3247	2147	150	9834
2020-05-07	28135	3282	2147	150	10384
2020-05-08	28368	3305	2013	140	10956
2020-05-09	28549	3331	2010	143	11284
2020-05-10	28665	3367	2024	137	11648
2020-05-11	28776	3400	2021	135	12038
2020-05-12	28889	3428	1900	136	12277
2020-05-13	29058	3460	1858	122	13107
2020-05-14	29209	3493	1775	116	13825
2020-05-15	29346	3557	1593	108	14676
2020-05-16	29483	3594	1562	100	15187
2020-05-17	29547	3612	1620	101	15696
2020-05-18	29619	3632	1589	99	16113
2020-05-19	29727	3679	1579	96	16413
2020-05-20	29885	3718	1513	96	17016
2020-05-21	29990	3742	1479	83	17538
2020-05-22	30077	3757	1414	79	17868
2020-05-23	30137	3771	1291	76	18341
2020-05-24	30180	3783	1283	75	18694
2020-05-25	30228	3798	1227	72	18934
2020-05-26	30314	3812	1162	70	19561
2020-05-27	30387	3828	1118	68	20095
2020-05-28	30445	3838	1058	64	20535
2020-05-29	30501	3851	1029	61	20992
2020-05-30	30583	3858	988	60	21435
2020-05-31	30637	3867	973	58	21609
2020-06-01	30658	3876	904	54	21720
2020-06-02	30715	3884	849	46	22003
2020-06-03	30734	3898	841	44	22150
2020-06-04	30758	3910	808	43	22292
2020-06-05	30807	3927	743	40	22511
2020-06-06	30845	3934	684	37	22744
2020-06-07	30855	3941	659	38	22952
2020-06-08	30869	3954	633	36	23049
2020-06-09	30890	3961	599	39	23258
2020-06-10	30916	3976	564	35	23568
2020-06-11	30958	3988	544	33	23787
2020-06-12	30989	3996	527	30	24096
2020-06-13	31029	4006	510	27	24203
2020-06-14	31059	4012	517	26	24399
2020-06-15	31061	4012	517	28	24445
2020-06-16	31090	4018	472	28	24622
2020-06-17	31131	4026	448	25	24720
2020-06-18	31162	4032	397	25	24840
2020-06-19	31188	4039	363	22	24971
2020-06-20	31215	4045	358	17	25082
2020-06-21	31241	4051	356	19	25177
2020-06-22	31248	4055	346	19	25223
2020-06-23	31254	4059	330	18	25325
2020-06-24	31276	4066	334	18	25480
2020-06-25	31296	4071	316	15	25544
2020-06-26	31311	4077	307	14	25649
2020-06-27	31322	4080	303	12	25739
2020-06-28	31336	4085	305	12	25756
