# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0	0	0	0
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	1	0	1	0	0
2020-03-04	2	0	1	0	0
2020-03-05	2	0	2	0	0
2020-03-06	5	0	2	0	0
2020-03-07	5	0	2	0	0
2020-03-08	11	0	5	0	0
2020-03-09	19	0	8	0	0
2020-03-10	20	0	9	0	0
2020-03-11	37	0	10	0	0
2020-03-12	39	0	12	0	0
2020-03-13	43	0	12	0	0
2020-03-14	47	0	14	0	0
2020-03-15	77	2	16	0	0
2020-03-16	107	2	39	0	0
2020-03-17	117	2	36	4	0
2020-03-18	134	2	42	7	0
2020-03-19	206	2	43	9	0
2020-03-20	293	2	56	15	3
2020-03-21	330	4	65	16	5
2020-03-22	339	7	67	16	5
2020-03-23	359	11	76	18	5
2020-03-24	421	15	80	19	11
2020-03-25	442	18	82	19	12
2020-03-26	494	19	92	20	13
2020-03-27	530	21	93	19	13
2020-03-28	624	26	95	22	29
2020-03-29	638	27	105	23	29
2020-03-30	682	28	113	24	32
2020-03-31	722	31	113	28	34
2020-04-01	745	34	119	27	36
2020-04-02	794	40	117	24	36
2020-04-03	825	41	122	24	40
2020-04-04	874	41	123	24	44
2020-04-05	907	43	126	25	49
2020-04-06	922	47	123	26	56
2020-04-07	935	52	122	26	62
2020-04-08	975	59	112	31	76
2020-04-09	1026	64	106	25	86
2020-04-10	1063	69	107	26	118
2020-04-11	1091	73	113	24	130
2020-04-12	1113	73	109	26	137
2020-04-13	1128	75	107	27	139
2020-04-14	1138	80	107	24	158
2020-04-15	1161	83	107	26	208
2020-04-16	1164	85	109	24	214
2020-04-17	1178	86	113	23	220
2020-04-18	1198	86	112	23	231
2020-04-19	1215	86	117	22	265
2020-04-20	1228	86	115	21	288
2020-04-21	1236	93	112	21	306
2020-04-22	1247	96	97	20	318
2020-04-23	1254	98	90	20	339
2020-04-24	1257	102	95	19	351
2020-04-25	1271	103	96	18	374
2020-04-26	1280	109	95	20	388
2020-04-27	1283	109	97	19	398
2020-04-28	1285	109	96	18	404
2020-04-29	1290	116	87	17	413
2020-04-30	1295	116	87	16	435
2020-05-01	1313	117	84	12	452
2020-05-02	1315	119	86	13	466
2020-05-03	1319	119	92	10	511
2020-05-04	1317	119	91	9	545
2020-05-05	1318	119	94	9	557
2020-05-06	1319	119	91	11	577
2020-05-07	1324	119	90	9	622
2020-05-08	1330	119	90	10	658
2020-05-09	1334	119	87	11	665
2020-05-10	1340	120	83	10	705
2020-05-11	1343	120	84	10	712
2020-05-12	1344	120	77	11	718
2020-05-13	1345	120	78	10	734
2020-05-14	1345	125	76	10	755
2020-05-15	1348	125	75	10	762
2020-05-16	1352	125	75	10	812
2020-05-17	1353	125	76	10	823
2020-05-18	1353	126	72	10	847
2020-05-19	1354	126	71	9	887
2020-05-20	1355	126	68	10	898
2020-05-21	1356	127	64	12	911
2020-05-22	1356	128	58	6	922
2020-05-23	1356	129	58	6	940
2020-05-24	1356	129	51	3	982
2020-05-25	1354	129	49	3	994
2020-05-26	1354	130	41	2	1000
2020-05-27	1355	130	41	2	1010
2020-05-28	1355	130	38	2	1025
2020-05-29	1356	130	37	2	1036
2020-05-30	1356	130	34	2	1040
2020-05-31	1356	130	33	2	1041
2020-06-01	1357	131	23	1	1065
2020-06-02	1357	131	21	1	1071
2020-06-03	1357	131	12	1	1080
2020-06-04	1357	131	12	1	1118
2020-06-05	1359	131	11	0	1161
