# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	33	1	12	4	0
2020-02-25	43	1	12	7	0
2020-02-26	71	2	16	8	0
2020-02-27	111	2	19	8	0
2020-02-28	151	2	24	9	0
2020-02-29	191	2	24	11	0
2020-03-01	263	2	51	13	0
2020-03-02	273	2	53	14	0
2020-03-03	307	3	49	19	7
2020-03-04	360	6	76	23	9
2020-03-05	407	10	92	24	17
2020-03-06	488	12	117	27	22
2020-03-07	543	13	123	41	25
2020-03-08	670	18	146	47	29
2020-03-09	744	20	186	51	30
2020-03-10	856	26	204	67	47
2020-03-11	1023	29	262	68	54
2020-03-12	1384	32	360	85	55
2020-03-13	1595	42	366	107	100
2020-03-14	1937	55	366	119	107
2020-03-15	2172	63	426	129	120
2020-03-16	2473	69	498	156	130
2020-03-17	2704	80	548	171	136
2020-03-18	3214	94	646	195	167
2020-03-19	3484	115	771	209	200
2020-03-20	4031	131	843	236	223
2020-03-21	4617	146	942	249	257
2020-03-22	5122	169	1113	255	309
2020-03-23	5505	192	1206	281	327
2020-03-24	5948	216	1318	304	381
2020-03-25	6442	258	1407	316	439
2020-03-26	6935	287	1447	326	508
2020-03-27	7497	313	1536	338	536
2020-03-28	7930	362	1559	344	655
2020-03-29	8358	392	1586	355	715
2020-03-30	8724	413	1633	356	747
2020-03-31	9155	477	1680	356	828
2020-04-01	9625	499	1718	350	902
2020-04-02	10111	532	1670	345	1001
2020-04-03	10464	572	1714	335	1031
2020-04-04	10824	607	1691	324	1124
2020-04-05	11226	631	1674	329	1186
2020-04-06	11588	662	1714	322	1204
2020-04-07	11925	695	1579	297	1265
2020-04-08	12410	736	1554	285	1503
2020-04-09	12933	756	1530	274	1728
2020-04-10	13421	793	1521	257	1981
2020-04-11	13768	831	1465	251	2188
2020-04-12	14077	856	1428	249	2492
