# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	1	0	0		1
2020-03-19	1	0	0		1
2020-03-20	1	0	0		1
2020-03-21	1	0	0		1
2020-03-22	1	0	0		1
2020-03-23	1	0	0		1
2020-03-24	1	0	0		1
2020-03-25	1	0	0		1
2020-03-26	1	0	0		1
2020-03-27	3	0	2		1
2020-03-28	4	0	2		2
2020-03-29	4	0	2		2
2020-03-30	4	0	2		2
2020-03-31	6	0	4		2
2020-04-01	6	0	4		2
2020-04-02	7	0	5		2
2020-04-03	9	0	7		2
2020-04-04	10	0	8		2
2020-04-05	11	0	9		2
2020-04-06	11	0	9		2
2020-04-07	11	0	9		2
2020-04-08	11	0	9		2
2020-04-09	11	0	9		2
2020-04-10	12	0	7		5
2020-04-11	13	0	8		5
2020-04-12	15	0	10		5
2020-04-13	15	0	10		5
2020-04-14	16	0	11		5
2020-04-15	16	0	11		5
2020-04-16	16	0	11		5
2020-04-17	16	0	11		5
2020-04-18	16	0	11		5
2020-04-19	16	0	11		5
2020-04-20	16	0	11		5
2020-04-21	16	0	11		5
2020-04-22	16	0	11		5
2020-04-23	16	0	9		7
2020-04-24	16	0	9		7
2020-04-25	16	0	9		7
2020-04-26	16	0	9		7
