# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	31	0	22		9
2020-03-19	34	0	25		9
2020-03-20	39	0	27		12
2020-03-21	40	0	26		14
2020-03-22	42	0	27		15
2020-03-23	45	0	30		15
2020-03-24	46	0	31		15
2020-03-25	51	0	34		17
2020-03-26	54	0	36		18
2020-03-27	60	0	42		18
2020-03-28	126	1	106		19
2020-03-29	160	1	140		19
2020-03-30	160	1	140		19
2020-03-31	164	1	144		19
2020-04-01	175	1	151		23
2020-04-02	181	1	154		26
2020-04-03	192	1	160		31
2020-04-04	219	1	187		31
2020-04-05	238	1	205		32
2020-04-06	253	1	220		32
2020-04-07	284	1	251		32
2020-04-08	317	1	284		32
2020-04-09	342	1	306		35
2020-04-10	375	2	336		37
2020-04-11	411	4	369		38
2020-04-12	455	4	412		39
2020-04-13	474	4	431		39
2020-04-14	490	5	440		45
2020-04-15	525	5	475		45
2020-04-16	539	6	482		51
2020-04-17	609	6	549		54
2020-04-18	643	7	569		67
2020-04-19	661	8	582		71
2020-04-20	683	8	598		77
2020-04-21	683	8	598		77
2020-04-22	725	11	634		80
2020-04-23	749	16	651		82
2020-04-24	768	18	655		95
2020-04-25	778	19	662		97
2020-04-26	786	19	670		97
