# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	2	0	2		0
2020-03-19	2	0	2		0
2020-03-20	2	0	2		0
2020-03-21	2	0	2		0
2020-03-22	2	0	2		0
2020-03-23	2	0	2		0
2020-03-24	2	0	2		0
2020-03-25	2	0	2		0
2020-03-26	2	0	2		0
2020-03-27	2	0	2		0
2020-03-28	2	0	2		0
2020-03-29	2	0	2		0
2020-03-30	2	0	2		0
2020-03-31	4	0	4		0
2020-04-01	6	0	5		1
2020-04-02	8	0	7		1
2020-04-03	9	0	8		1
2020-04-04	14	0	13		1
2020-04-05	16	0	15		1
2020-04-06	16	0	15		1
2020-04-07	24	0	23		1
2020-04-08	29	0	28		1
2020-04-09	33	0	31		2
2020-04-10	36	0	33		3
2020-04-11	37	0	34		3
2020-04-12	38	0	35		3
2020-04-13	38	0	35		3
2020-04-14	39	0	36		3
2020-04-15	40	0	37		3
2020-04-16	49	0	46		3
2020-04-17	52	0	49		3
2020-04-18	60	0	57		3
2020-04-19	62	0	59		3
2020-04-20	64	0	50		14
2020-04-21	64	0	50		14
2020-04-22	65	0	50		15
2020-04-23	65	0	48		17
2020-04-24	66	0	47		19
2020-04-25	68	0	49		19
2020-04-26	69	0	50		19
