# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	2	nan			nan
2020-03-12	2	nan			nan
2020-03-13	2	nan			nan
2020-03-14	2	nan			nan
2020-03-15	2	nan			nan
2020-03-16	2	nan			nan
2020-03-17	2	nan			nan
2020-03-18	3	0.0			1.0
2020-03-19	3	0.0			1.0
2020-03-20	3	0.0			1.0
2020-03-21	3	0.0			1.0
2020-03-22	5	0.0			1.0
2020-03-23	8	0.0			1.0
2020-03-24	12	0.0			1.0
2020-03-25	13	0.0			1.0
2020-03-26	16	0.0			1.0
2020-03-27	16	0.0			1.0
2020-03-28	16	0.0			1.0
2020-03-29	21	0.0			1.0
2020-03-30	21	0.0			1.0
2020-03-31	23	0.0			2.0
2020-04-01	22	0.0			2.0
2020-04-02	22	0.0			2.0
2020-04-03	39	0.0			2.0
2020-04-04	43	1.0			2.0
2020-04-05	50	1.0			2.0
2020-04-06	51	1.0			2.0
2020-04-07	51	1.0			3.0
2020-04-08	69	1.0			3.0
2020-04-09	76	1.0			5.0
2020-04-10	82	1.0			5.0
2020-04-11	91	1.0			5.0
2020-04-12	105	1.0			5.0
2020-04-13	112	1.0			5.0
2020-04-14	127	1.0			6.0
2020-04-15	128	1.0			12.0
2020-04-16	132	1.0			16.0
2020-04-17	136	2.0			16.0
2020-04-18	137	2.0			16.0
2020-04-19	139	3.0			16.0
2020-04-20	139	3.0			24.0
2020-04-21	140	3.0			24.0
2020-04-22	143	5.0			24.0
2020-04-23	146	5.0			24.0
2020-04-24	146	7.0			24.0
2020-04-25	146	7.0			36.0
2020-04-26	146	7.0			57.0
2020-04-27	146	7.0			57.0
2020-04-28	146	7.0			65.0
2020-04-29	146	7.0			65.0
2020-04-30	146	7.0			65.0
2020-05-01	149	6.0			70.0
2020-05-02	150	6.0			79.0
2020-05-03	150	6.0			79.0
2020-05-04	150	6.0			81.0
2020-05-05	150	6.0			95.0
2020-05-06	150	6.0			106.0
2020-05-07	150	6.0			106.0
2020-05-08	150	6.0			114.0
2020-05-09	150	6.0			114.0
2020-05-10	150	6.0			122.0
2020-05-11	150	6.0			123.0
2020-05-12	150	6.0			127.0
2020-05-13	150	6.0			131.0
