# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	10	0	10		0
2020-03-19	10	0	10		0
2020-03-20	11	0	11		0
2020-03-21	11	0	11		0
2020-03-22	11	1	10		0
2020-03-23	11	1	10		0
2020-03-24	13	1	12		0
2020-03-25	13	1	12		0
2020-03-26	14	1	13		0
2020-03-27	14	1	13		0
2020-03-28	15	1	14		0
2020-03-29	18	1	17		0
2020-03-30	18	1	17		0
2020-03-31	19	1	18		0
2020-04-01	20	1	19		0
2020-04-02	20	1	19		0
2020-04-03	24	1	23		0
2020-04-04	25	1	23		1
2020-04-05	26	1	24		1
2020-04-06	26	1	24		1
2020-04-07	29	1	27		1
2020-04-08	29	1	26		2
2020-04-09	33	1	28		4
2020-04-10	35	1	29		5
2020-04-11	79	2	72		5
2020-04-12	90	2	83		5
2020-04-13	91	2	84		5
2020-04-14	97	2	90		5
2020-04-15	107	4	98		5
2020-04-16	109	4	100		5
2020-04-17	114	4	105		5
2020-04-18	120	4	111		5
2020-04-19	122	5	103		14
2020-04-20	124	5	105		14
2020-04-21	124	5	105		14
2020-04-22	131	9	108		14
2020-04-23	138	9	115		14
2020-04-24	140	9	117		14
2020-04-25	140	9	117		14
2020-04-26	141	9	117		15
