# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	118	nan			nan
2020-03-12	128	nan			nan
2020-03-13	136	nan			nan
2020-03-14	142	nan			nan
2020-03-15	148	nan			nan
2020-03-16	152	nan			nan
2020-03-17	152	nan			nan
2020-03-18	154	6.0			69.0
2020-03-19	157	6.0			69.0
2020-03-20	158	6.0			69.0
2020-03-21	159	6.0			81.0
2020-03-22	162	6.0			83.0
2020-03-23	162	6.0			90.0
2020-03-24	163	6.0			93.0
2020-03-25	167	7.0			98.0
2020-03-26	168	7.0			98.0
2020-03-27	169	7.0			114.0
2020-03-28	172	7.0			121.0
2020-03-29	176	7.0			121.0
2020-03-30	177	7.0			121.0
2020-03-31	177	7.0			124.0
2020-04-01	182	7.0			130.0
2020-04-02	185	8.0			130.0
2020-04-03	190	8.0			130.0
2020-04-04	193	8.0			130.0
2020-04-05	194	8.0			130.0
2020-04-06	194	9.0			141.0
2020-04-07	198	9.0			143.0
2020-04-08	208	9.0			145.0
2020-04-09	226	10.0			145.0
2020-04-10	239	11.0			148.0
2020-04-11	255	11.0			158.0
2020-04-12	267	11.0			158.0
2020-04-13	272	11.0			161.0
2020-04-14	279	12.0			161.0
2020-04-15	302	13.0			161.0
2020-04-16	336	14.0			163.0
2020-04-17	370	14.0			171.0
2020-04-18	407	16.0			171.0
2020-04-19	434	18.0			171.0
2020-04-20	451	18.0			171.0
2020-04-21	473	18.0			171.0
2020-04-22	495	22.0			188.0
2020-04-23	540	25.0			195.0
2020-04-24	562	25.0			196.0
2020-04-25	601	25.0			201.0
2020-04-26	615	25.0			202.0
2020-04-27	650	26.0			202.0
2020-04-28	688	26.0			202.0
2020-04-29	726	26.0			209.0
2020-04-30	767	27.0			209.0
2020-05-01	790	29.0			248.0
2020-05-02	823	29.0			248.0
2020-05-03	847	33.0			248.0
2020-05-04	847	36.0			254.0
2020-05-05	891	43.0			286.0
2020-05-06	914	43.0			286.0
2020-05-07	928	45.0			302.0
2020-05-08	928	47.0			394.0
2020-05-09	934	48.0			424.0
2020-05-10	945	51.0			444.0
2020-05-11	954	56.0			459.0
2020-05-12	966	62.0			472.0
2020-05-13	979	68.0			502.0
