# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	7	nan			nan
2020-03-12	7	nan			nan
2020-03-13	7	nan			nan
2020-03-14	7	nan			nan
2020-03-15	7	nan			nan
2020-03-16	7	nan			nan
2020-03-17	7	nan			nan
2020-03-18	7	0.0			1.0
2020-03-19	7	0.0			2.0
2020-03-20	8	0.0			2.0
2020-03-21	8	0.0			3.0
2020-03-22	8	0.0			3.0
2020-03-23	8	0.0			3.0
2020-03-24	8	0.0			3.0
2020-03-25	8	0.0			3.0
2020-03-26	8	0.0			3.0
2020-03-27	8	0.0			3.0
2020-03-28	9	0.0			5.0
2020-03-29	9	0.0			5.0
2020-03-30	11	0.0			5.0
2020-03-31	13	0.0			5.0
2020-04-01	15	0.0			5.0
2020-04-02	16	0.0			5.0
2020-04-03	24	0.0			5.0
2020-04-04	32	0.0			5.0
2020-04-05	43	0.0			5.0
2020-04-06	45	0.0			5.0
2020-04-07	51	0.0			5.0
2020-04-08	66	0.0			5.0
2020-04-09	72	0.0			5.0
2020-04-10	92	0.0			5.0
2020-04-11	104	0.0			5.0
2020-04-12	113	0.0			5.0
2020-04-13	121	0.0			5.0
2020-04-14	131	1.0			5.0
2020-04-15	140	4.0			5.0
2020-04-16	146	4.0			5.0
2020-04-17	160	4.0			5.0
2020-04-18	173	4.0			5.0
2020-04-19	178	4.0			5.0
2020-04-20	180	4.0			14.0
2020-04-21	190	4.0			14.0
2020-04-22	199	5.0			16.0
2020-04-23	216	5.0			16.0
2020-04-24	222	5.0			16.0
2020-04-25	224	5.0			16.0
2020-04-26	229	5.0			16.0
2020-04-27	236	5.0			16.0
2020-04-28	245	5.0			22.0
2020-04-29	250	6.0			22.0
2020-04-30	251	6.0			22.0
2020-05-01	254	7.0			23.0
2020-05-02	260	13.0			23.0
2020-05-03	264	13.0			23.0
2020-05-04	264	13.0			23.0
2020-05-05	268	13.0			23.0
2020-05-06	271	13.0			46.0
2020-05-07	275	13.0			46.0
2020-05-08	275	16.0			127.0
2020-05-09	277	16.0			130.0
2020-05-10	278	16.0			132.0
2020-05-11	280	17.0			136.0
2020-05-12	283	19.0			150.0
2020-05-13	284	19.0			152.0
