# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	5	0	5		0
2020-03-19	6	0	6		0
2020-03-20	6	0	6		0
2020-03-21	6	0	5		1
2020-03-22	6	0	5		1
2020-03-23	6	0	5		1
2020-03-24	6	0	5		1
2020-03-25	6	0	4		2
2020-03-26	7	0	5		2
2020-03-27	9	0	7		2
2020-03-28	10	0	7		3
2020-03-29	10	0	7		3
2020-03-30	11	0	8		3
2020-03-31	14	0	11		3
2020-04-01	15	0	12		3
2020-04-02	15	0	12		3
2020-04-03	15	0	12		3
2020-04-04	16	0	13		3
2020-04-05	20	0	17		3
2020-04-06	20	0	17		3
2020-04-07	21	0	18		3
2020-04-08	23	0	20		3
2020-04-09	23	0	19		4
2020-04-10	23	1	18		4
2020-04-11	23	1	18		4
2020-04-12	28	1	23		4
2020-04-13	28	1	22		5
2020-04-14	29	1	23		5
2020-04-15	31	1	25		5
2020-04-16	31	1	25		5
2020-04-17	35	1	28		6
2020-04-18	35	1	28		6
2020-04-19	39	1	32		6
2020-04-20	40	1	32		7
2020-04-21	40	1	32		7
2020-04-22	41	1	33		7
2020-04-23	43	1	34		8
2020-04-24	43	1	33		9
2020-04-25	43	1	33		9
2020-04-26	45	1	33		11
