# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	3	0	3		0
2020-03-19	3	0	3		0
2020-03-20	3	0	3		0
2020-03-21	3	0	3		0
2020-03-22	3	0	3		0
2020-03-23	3	0	3		0
2020-03-24	3	0	2		1
2020-03-25	3	0	2		1
2020-03-26	3	0	2		1
2020-03-27	3	0	2		1
2020-03-28	3	0	2		1
2020-03-29	3	0	2		1
2020-03-30	3	0	2		1
2020-03-31	3	0	2		1
2020-04-01	3	0	2		1
2020-04-02	3	0	2		1
2020-04-03	4	0	2		2
2020-04-04	4	0	2		2
2020-04-05	6	0	4		2
2020-04-06	7	0	4		3
2020-04-07	7	0	4		3
2020-04-08	12	0	9		3
2020-04-09	16	0	13		3
2020-04-10	16	0	13		3
2020-04-11	17	0	14		3
2020-04-12	17	0	14		3
2020-04-13	17	0	14		3
2020-04-14	17	0	14		3
2020-04-15	17	0	13		4
2020-04-16	17	0	13		4
2020-04-17	17	0	13		4
2020-04-18	17	0	13		4
2020-04-19	17	0	13		4
2020-04-20	17	0	13		4
2020-04-21	17	0	13		4
2020-04-22	17	0	13		4
2020-04-23	17	0	10		7
2020-04-24	17	0	10		7
2020-04-25	17	0	10		7
2020-04-26	17	0	9		8
