# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	4	0	2		2
2020-03-19	4	0	2		2
2020-03-20	4	0	2		2
2020-03-21	4	0	2		2
2020-03-22	5	0	3		2
2020-03-23	5	0	2		3
2020-03-24	5	0	2		3
2020-03-25	5	0	2		3
2020-03-26	5	0	2		3
2020-03-27	5	0	2		3
2020-03-28	11	0	3		8
2020-03-29	11	0	3		8
2020-03-30	11	0	3		8
2020-03-31	11	0	3		8
2020-04-01	15	0	7		8
2020-04-02	19	0	11		8
2020-04-03	21	0	13		8
2020-04-04	24	0	16		8
2020-04-05	25	0	17		8
2020-04-06	26	0	18		8
2020-04-07	28	0	20		8
2020-04-08	30	0	22		8
2020-04-09	34	0	26		8
2020-04-10	37	0	29		8
2020-04-11	39	0	31		8
2020-04-12	41	0	33		8
2020-04-13	44	0	36		8
2020-04-14	47	0	39		8
2020-04-15	53	1	43		9
2020-04-16	54	1	44		9
2020-04-17	56	1	43		12
2020-04-18	60	1	47		12
2020-04-19	62	1	47		14
2020-04-20	64	1	49		14
2020-04-21	64	1	49		14
2020-04-22	75	1	60		14
2020-04-23	76	1	61		14
2020-04-24	76	1	61		14
2020-04-25	76	1	61		14
2020-04-26	76	1	61		14
