# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	1	0	0		1
2020-03-19	3	0	2		1
2020-03-20	6	0	5		1
2020-03-21	11	0	10		1
2020-03-22	15	0	14		1
2020-03-23	15	0	14		1
2020-03-24	16	0	15		1
2020-03-25	16	0	15		1
2020-03-26	17	0	16		1
2020-03-27	17	0	16		1
2020-03-28	27	0	26		1
2020-03-29	28	0	27		1
2020-03-30	28	0	27		1
2020-03-31	29	0	28		1
2020-04-01	29	0	28		1
2020-04-02	30	0	29		1
2020-04-03	31	0	25		6
2020-04-04	31	0	25		6
2020-04-05	31	0	25		6
2020-04-06	32	0	24		8
2020-04-07	32	0	24		8
2020-04-08	41	0	33		8
2020-04-09	41	0	31		10
2020-04-10	42	0	32		10
2020-04-11	42	0	32		10
2020-04-12	42	0	32		10
2020-04-13	43	0	33		10
2020-04-14	43	0	30		13
2020-04-15	50	0	37		13
2020-04-16	50	1	32		17
2020-04-17	54	1	36		17
2020-04-18	54	1	36		17
2020-04-19	54	1	35		18
2020-04-20	55	1	35		19
2020-04-21	55	1	35		19
2020-04-22	60	1	40		19
2020-04-23	60	1	33		26
2020-04-24	60	1	33		26
2020-04-25	60	1	33		26
2020-04-26	60	1	33		26
