# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	81	nan			nan
2020-03-12	90	nan			nan
2020-03-13	93	nan			nan
2020-03-14	103	nan			nan
2020-03-15	107	nan			nan
2020-03-16	109	nan			nan
2020-03-17	112	nan			nan
2020-03-18	117	0.0			22.0
2020-03-19	119	1.0			22.0
2020-03-20	123	1.0			22.0
2020-03-21	125	1.0			26.0
2020-03-22	131	2.0			26.0
2020-03-23	134	2.0			27.0
2020-03-24	142	2.0			27.0
2020-03-25	150	2.0			37.0
2020-03-26	157	2.0			41.0
2020-03-27	177	2.0			41.0
2020-03-28	192	2.0			48.0
2020-03-29	209	2.0			48.0
2020-03-30	217	2.0			48.0
2020-03-31	245	2.0			70.0
2020-04-01	279	2.0			70.0
2020-04-02	312	2.0			71.0
2020-04-03	347	2.0			73.0
2020-04-04	388	2.0			80.0
2020-04-05	409	3.0			82.0
2020-04-06	429	3.0			83.0
2020-04-07	482	3.0			83.0
2020-04-08	525	6.0			116.0
2020-04-09	589	6.0			118.0
2020-04-10	697	6.0			121.0
2020-04-11	767	6.0			121.0
2020-04-12	812	6.0			127.0
2020-04-13	836	6.0			147.0
2020-04-14	895	7.0			152.0
2020-04-15	969	8.0			155.0
2020-04-16	1021	8.0			175.0
2020-04-17	1076	9.0			182.0
2020-04-18	1164	10.0			220.0
2020-04-19	1212	12.0			233.0
2020-04-20	1297	13.0			233.0
2020-04-21	1351	13.0			233.0
2020-04-22	1382	17.0			246.0
2020-04-23	1417	19.0			246.0
2020-04-24	1448	25.0			246.0
2020-04-25	1477	27.0			246.0
2020-04-26	1493	27.0			252.0
2020-04-27	1523	32.0			260.0
2020-04-28	1555	36.0			274.0
2020-04-29	1599	37.0			281.0
2020-04-30	1627	41.0			551.0
2020-05-01	1641	44.0			555.0
2020-05-02	1658	45.0			557.0
2020-05-03	1669	49.0			575.0
2020-05-04	1669	52.0			576.0
2020-05-05	1689	52.0			576.0
2020-05-06	1704	56.0			629.0
2020-05-07	1713	59.0			674.0
2020-05-08	1716	59.0			978.0
2020-05-09	1732	59.0			990.0
2020-05-10	1743	59.0			1031.0
2020-05-11	1744	61.0			1068.0
2020-05-12	1750	61.0			1101.0
2020-05-13	1750	62.0			1176.0
