# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	4	0	4		0
2020-03-19	4	0	4		0
2020-03-20	4	0	4		0
2020-03-21	4	0	4		0
2020-03-22	4	0	4		0
2020-03-23	5	0	4		1
2020-03-24	5	0	4		1
2020-03-25	5	0	4		1
2020-03-26	6	0	5		1
2020-03-27	6	0	5		1
2020-03-28	6	0	5		1
2020-03-29	6	0	5		1
2020-03-30	6	0	5		1
2020-03-31	7	0	5		2
2020-04-01	8	0	5		3
2020-04-02	8	0	5		3
2020-04-03	14	0	11		3
2020-04-04	17	0	14		3
2020-04-05	18	0	15		3
2020-04-06	18	0	15		3
2020-04-07	18	0	15		3
2020-04-08	24	0	21		3
2020-04-09	26	0	23		3
2020-04-10	34	0	31		3
2020-04-11	38	0	35		3
2020-04-12	38	0	35		3
2020-04-13	40	0	35		5
2020-04-14	51	0	46		5
2020-04-15	52	0	47		5
2020-04-16	57	1	48		8
2020-04-17	68	1	57		10
2020-04-18	70	1	59		10
2020-04-19	71	1	60		10
2020-04-20	72	1	58		13
2020-04-21	72	1	58		13
2020-04-22	88	1	74		13
2020-04-23	92	1	78		13
2020-04-24	93	1	79		13
2020-04-25	94	1	71		22
2020-04-26	94	1	71		22
