# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0	nan			nan
2020-03-12	0	nan			nan
2020-03-13	0	nan			nan
2020-03-14	0	nan			nan
2020-03-15	0	nan			nan
2020-03-16	0	nan			nan
2020-03-17	0	nan			nan
2020-03-18	0	nan			nan
2020-03-19	0	nan			nan
2020-03-20	0	nan			nan
2020-03-21	0	nan			nan
2020-03-22	0	nan			nan
2020-03-23	0	nan			nan
2020-03-24	0	nan			nan
2020-03-25	0	nan			nan
2020-03-26	0	nan			nan
2020-03-27	0	nan			nan
2020-03-28	0	nan			nan
2020-03-29	0	nan			nan
2020-03-30	0	nan			nan
2020-03-31	0	nan			nan
2020-04-01	0	nan			nan
2020-04-02	0	nan			nan
2020-04-03	0	nan			nan
2020-04-04	0	nan			nan
2020-04-05	0	nan			nan
2020-04-06	0	nan			nan
2020-04-07	0	nan			nan
2020-04-08	0	nan			nan
2020-04-09	1	0.0			0.0
2020-04-10	2	0.0			0.0
2020-04-11	6	0.0			0.0
2020-04-12	7	0.0			0.0
2020-04-13	8	0.0			0.0
2020-04-14	10	0.0			0.0
2020-04-15	13	0.0			0.0
2020-04-16	14	0.0			0.0
2020-04-17	15	0.0			0.0
2020-04-18	15	0.0			0.0
2020-04-19	16	0.0			0.0
2020-04-20	16	0.0			0.0
2020-04-21	16	0.0			0.0
2020-04-22	16	0.0			0.0
2020-04-23	16	0.0			2.0
2020-04-24	16	0.0			2.0
2020-04-25	16	0.0			2.0
2020-04-26	22	0.0			2.0
2020-04-27	22	0.0			2.0
2020-04-28	23	0.0			2.0
2020-04-29	23	0.0			3.0
2020-04-30	23	0.0			7.0
2020-05-01	23	0.0			7.0
2020-05-02	23	0.0			7.0
2020-05-03	24	0.0			7.0
2020-05-04	24	0.0			7.0
2020-05-05	24	0.0			9.0
2020-05-06	24	0.0			9.0
2020-05-07	24	0.0			10.0
2020-05-08	24	nan			10.0
2020-05-09	24	nan			11.0
2020-05-10	24	nan			11.0
2020-05-11	24	nan			12.0
2020-05-12	24	0.0			12.0
2020-05-13	24	0.0			14.0
