# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	0	nan			nan
2020-03-12	0	nan			nan
2020-03-13	0	nan			nan
2020-03-14	0	nan			nan
2020-03-15	0	nan			nan
2020-03-16	0	nan			nan
2020-03-17	0	nan			nan
2020-03-18	0	nan			nan
2020-03-19	0	nan			nan
2020-03-20	0	nan			nan
2020-03-21	0	nan			nan
2020-03-22	0	nan			nan
2020-03-23	0	nan			nan
2020-03-24	0	nan			nan
2020-03-25	0	nan			nan
2020-03-26	0	nan			nan
2020-03-27	0	nan			nan
2020-03-28	0	nan			nan
2020-03-29	0	nan			nan
2020-03-30	1	0.0			0.0
2020-03-31	3	0.0			0.0
2020-04-01	5	0.0			0.0
2020-04-02	8	0.0			0.0
2020-04-03	8	0.0			0.0
2020-04-04	10	0.0			0.0
2020-04-05	10	0.0			0.0
2020-04-06	11	0.0			0.0
2020-04-07	12	0.0			0.0
2020-04-08	14	0.0			0.0
2020-04-09	16	0.0			0.0
2020-04-10	23	0.0			0.0
2020-04-11	23	0.0			0.0
2020-04-12	30	0.0			0.0
2020-04-13	49	0.0			1.0
2020-04-14	54	0.0			1.0
2020-04-15	54	0.0			1.0
2020-04-16	65	0.0			2.0
2020-04-17	69	0.0			2.0
2020-04-18	79	0.0			2.0
2020-04-19	92	1.0			4.0
2020-04-20	114	2.0			8.0
2020-04-21	115	2.0			8.0
2020-04-22	115	2.0			8.0
2020-04-23	150	3.0			8.0
2020-04-24	163	3.0			9.0
2020-04-25	175	3.0			9.0
2020-04-26	177	3.0			9.0
2020-04-27	181	3.0			9.0
2020-04-28	190	3.0			9.0
2020-04-29	190	3.0			9.0
2020-04-30	202	7.0			9.0
2020-05-01	201	7.0			9.0
2020-05-02	209	9.0			37.0
2020-05-03	212	10.0			37.0
2020-05-04	212	10.0			37.0
2020-05-05	216	10.0			37.0
2020-05-06	219	10.0			37.0
2020-05-07	220	10.0			38.0
2020-05-08	216	13.0			77.0
2020-05-09	216	13.0			77.0
2020-05-10	216	13.0			77.0
2020-05-11	221	14.0			99.0
2020-05-12	221	15.0			105.0
2020-05-13	222	16.0			122.0
