# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-31	1	0	1		0
2020-04-01	1	0	1		0
2020-04-02	1	0	1		0
2020-04-03	1	0	1		0
2020-04-04	6	0	6		0
2020-04-05	10	0	10		0
2020-04-06	13	0	13		0
2020-04-07	19	0	19		0
2020-04-08	22	0	22		0
2020-04-09	27	0	27		0
2020-04-10	27	0	27		0
2020-04-11	32	0	32		0
2020-04-12	34	0	34		0
2020-04-13	35	0	35		0
2020-04-14	39	0	39		0
2020-04-15	45	0	45		0
2020-04-16	50	0	50		0
2020-04-17	58	0	58		0
2020-04-18	60	0	50		10
2020-04-19	61	0	51		10
2020-04-20	64	0	49		15
2020-04-21	64	0	49		15
2020-04-22	65	0	48		17
2020-04-23	65	0	48		17
2020-04-24	66	0	49		17
2020-04-25	66	0	34		32
2020-04-26	66	0	34		32
