# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	104				
2020-03-12	111				
2020-03-13	114				
2020-03-14	121				
2020-03-15	121				
2020-03-16	123				
2020-03-17	125				
2020-03-18	130	14			3
2020-03-19	134	14			3
2020-03-20	139	16			3
2020-03-21	141	16			8
2020-03-22	143	16			8
2020-03-23	145	17			8
2020-03-24	148	17			9
2020-03-25	154	18			36
2020-03-26	157	18			36
2020-03-27	160	18			42
2020-03-28	164	19			42
2020-03-29	167	19			42
2020-03-30	170	19			42
2020-03-31	176	19			47
2020-04-01	181	19			47
2020-04-02	186	19			47
2020-04-03	198	19			48
2020-04-04	216	19			48
2020-04-05	227	20			48
2020-04-06	237	21			52
2020-04-07	258	21			52
2020-04-08	278	21			52
2020-04-09	299	21			53
2020-04-10	313	22			63
2020-04-11	317	22			63
2020-04-12	319	22			63
2020-04-13	328	23			63
2020-04-14	338	24			63
2020-04-15	350	24			66
2020-04-16	364	24			66
2020-04-17	374	24			66
2020-04-18	391	24			66
2020-04-19	401	25			66
2020-04-20	406	27			66
2020-04-21	422	27			66
2020-04-22	441	29			66
2020-04-23	453	29			66
2020-04-24	474	30			66
2020-04-25	475	30			66
2020-04-26	476	30			66
2020-04-27	477	30			66
2020-04-28	482	31			66
2020-04-29	486	31			67
2020-04-30	488	32			75
2020-05-01	491	32			75
2020-05-02	491	33			75
2020-05-03	492	34			75
2020-05-04	492	34			75
2020-05-05	498	34			75
2020-05-06	498	34			99
2020-05-07	498	34			324
2020-05-08	491	34			328
2020-05-09	491	34			339
2020-05-10	494	34			350
2020-05-11	494	34			352
2020-05-12	495	34			369
2020-05-13	496	34			377
2020-05-14	501	34			388
2020-05-15	503	34			390
2020-05-16	503	34			400
2020-05-17	504	34			404
2020-05-18	506	34			413
2020-05-19	506	34			423
2020-05-20	506	34			428
2020-05-21	506	34			431
2020-05-22	506	34			437
2020-05-23	506	34			442
2020-05-24	506	34			442
2020-05-25	507	34			442
2020-05-26	507	34			444
2020-05-27	507	34			450
2020-05-28	507	34			453
2020-05-29	507	34			453
2020-05-30	507	34			455
2020-05-31	507	34			456
2020-06-01	508	34			457
2020-06-02	508	34			457
2020-06-03	509	34			458
2020-06-04	509	34			460
2020-06-05	509	34			462
2020-06-06	509	34			463
2020-06-07	509	34			463
2020-06-08	511	34			463
2020-06-09	511	34			465
2020-06-10	511	34			465
2020-06-11	513	34			465
2020-06-12	513	34			466
2020-06-13	513	34			467
2020-06-14	513	34			467
2020-06-15	516	34			467
2020-06-16	516	34			468
2020-06-17	518	34			470
2020-06-18	521	34			470
2020-06-19	521	34			471
2020-06-20	521	34			470
2020-06-21	521	34			470
2020-06-22	523	34			470
2020-06-23	523	34			471
2020-06-24	523	34			474
2020-06-25	523	34			474
2020-06-26	523	34			475
2020-06-27	523	34			476
2020-06-28	523	34			477
2020-06-29	523	34			477
2020-06-30	524	34			478
2020-07-01	525	34			478
2020-07-02	525	34			478
2020-07-03	525	34			478
2020-07-04	525	34			478
2020-07-05	525	34			480
2020-07-06	525	34			480
2020-07-07	526	34			480
2020-07-08	526	34			480
2020-07-09	528	34			481
2020-07-10	528	34			481
