# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	25				
2020-03-12	27				
2020-03-13	29				
2020-03-14	31				
2020-03-15	31				
2020-03-16	31				
2020-03-17	31				
2020-03-18	33	0			9
2020-03-19	36	0			9
2020-03-20	41	0			12
2020-03-21	42	0			14
2020-03-22	44	0			15
2020-03-23	47	0			15
2020-03-24	48	0			15
2020-03-25	53	0			17
2020-03-26	56	0			18
2020-03-27	62	0			18
2020-03-28	126	1			19
2020-03-29	160	1			19
2020-03-30	160	1			19
2020-03-31	164	1			19
2020-04-01	175	1			23
2020-04-02	181	1			26
2020-04-03	192	1			31
2020-04-04	219	1			31
2020-04-05	238	1			32
2020-04-06	253	1			32
2020-04-07	284	1			32
2020-04-08	317	1			32
2020-04-09	342	1			35
2020-04-10	375	2			37
2020-04-11	411	4			38
2020-04-12	455	4			39
2020-04-13	474	4			39
2020-04-14	490	5			45
2020-04-15	525	5			45
2020-04-16	539	6			51
2020-04-17	609	6			54
2020-04-18	643	7			67
2020-04-19	661	8			71
2020-04-20	683	8			77
2020-04-21	704	8			77
2020-04-22	725	11			80
2020-04-23	749	16			82
2020-04-24	768	18			95
2020-04-25	778	19			97
2020-04-26	786	19			97
2020-04-27	793	23			98
2020-04-28	801	23			101
2020-04-29	806	23			102
2020-04-30	810	24			103
2020-05-01	816	25			105
2020-05-02	823	25			105
2020-05-03	828	26			105
2020-05-04	828	26			111
2020-05-05	835	27			136
2020-05-06	837	28			179
2020-05-07	842	33			253
2020-05-08	876	38			423
2020-05-09	879	39			448
2020-05-10	880	40			467
2020-05-11	883	40			503
2020-05-12	885	40			542
2020-05-13	888	40			570
2020-05-14	888	40			604
2020-05-15	890	42			627
2020-05-16	898	42			649
2020-05-17	898	42			650
2020-05-18	900	42			662
2020-05-19	900	42			713
2020-05-20	901	42			737
2020-05-21	904	44			746
2020-05-22	904	44			752
2020-05-23	904	44			762
2020-05-24	904	44			765
2020-05-25	904	44			774
2020-05-26	904	44			780
2020-05-27	905	44			787
2020-05-28	906	45			797
2020-05-29	906	45			804
2020-05-30	907	45			805
2020-05-31	909	45			807
2020-06-01	909	45			815
2020-06-02	906	45			824
2020-06-03	907	45			825
2020-06-04	907	45			838
2020-06-05	904	45			839
2020-06-06	904	45			839
2020-06-07	907	45			839
2020-06-08	907	45			841
2020-06-09	910	45			843
2020-06-10	912	45			843
2020-06-11	915	45			846
2020-06-12	918	45			846
2020-06-13	919	45			846
2020-06-14	919	45			846
2020-06-15	919	45			846
2020-06-16	919	45			850
2020-06-17	920	45			853
2020-06-18	922	45			853
2020-06-19	922	45			855
2020-06-20	924	45			855
2020-06-21	924	45			856
2020-06-22	926	45			861
2020-06-23	929	45			863
2020-06-24	933	45			865
2020-06-25	937	45			867
2020-06-26	941	45			867
2020-06-27	946	45			868
2020-06-28	949	45			868
2020-06-29	949	45			868
2020-06-30	960	45			871
2020-07-01	967	45			873
2020-07-02	978	45			874
2020-07-03	987	45			888
2020-07-04	1003	45			891
2020-07-05	1010	45			893
2020-07-06	1019	45			895
2020-07-07	1030	46			899
2020-07-08	1040	46			899
2020-07-09	1062	46			906
2020-07-10	1074	46			910
