# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	3				
2020-03-12	3				
2020-03-13	3				
2020-03-14	3				
2020-03-15	3				
2020-03-16	3				
2020-03-17	4				
2020-03-18	4	0			1
2020-03-19	5	0			2
2020-03-20	5	0			2
2020-03-21	5	0			2
2020-03-22	5	0			2
2020-03-23	6	0			2
2020-03-24	9	0			2
2020-03-25	9	0			2
2020-03-26	11	0			2
2020-03-27	12	0			2
2020-03-28	21	0			2
2020-03-29	22	0			2
2020-03-30	23	0			2
2020-03-31	43	0			2
2020-04-01	52	0			5
2020-04-02	62	0			5
2020-04-03	66	0			5
2020-04-04	67	0			5
2020-04-05	109	0			6
2020-04-06	113	0			6
2020-04-07	136	0			7
2020-04-08	161	0			7
2020-04-09	187	0			7
2020-04-10	224	0			7
2020-04-11	332	0			7
2020-04-12	362	0			7
2020-04-13	373	0			7
2020-04-14	403	0			32
2020-04-15	433	6			45
2020-04-16	459	6			52
2020-04-17	476	9			66
2020-04-18	500	10			66
2020-04-19	516	10			66
2020-04-20	524	13			87
2020-04-21	539	13			87
2020-04-22	560	13			88
2020-04-23	572	13			92
2020-04-24	584	15			136
2020-04-25	595	15			138
2020-04-26	606	15			148
2020-04-27	615	16			161
2020-04-28	619	16			170
2020-04-29	639	17			170
2020-04-30	642	17			170
2020-05-01	645	17			170
2020-05-02	648	17			171
2020-05-03	648	22			173
2020-05-04	648	22			173
2020-05-05	650	22			284
2020-05-06	651	22			284
2020-05-07	652	22			284
2020-05-08	651	24			443
2020-05-09	653	24			451
2020-05-10	654	24			468
2020-05-11	654	24			468
2020-05-12	655	24			477
2020-05-13	656	24			494
2020-05-14	657	25			510
2020-05-15	657	25			522
2020-05-16	657	25			538
2020-05-17	657	25			543
2020-05-18	658	25			550
2020-05-19	658	25			553
2020-05-20	658	25			570
2020-05-21	658	25			573
2020-05-22	658	25			586
2020-05-23	658	25			592
2020-05-24	662	25			593
2020-05-25	666	25			596
2020-05-26	672	25			596
2020-05-27	674	25			607
2020-05-28	682	25			614
2020-05-29	703	26			616
2020-05-30	729	26			619
2020-05-31	746	26			620
2020-06-01	758	26			625
2020-06-02	774	27			626
2020-06-03	780	27			628
2020-06-04	786	27			632
2020-06-05	792	27			633
2020-06-06	797	27			641
2020-06-07	799	27			641
2020-06-08	802	27			642
2020-06-09	805	27			645
2020-06-10	808	27			650
2020-06-11	810	28			671
2020-06-12	812	28			682
2020-06-13	821	28			706
2020-06-14	822	28			737
2020-06-15	825	28			742
2020-06-16	826	28			752
2020-06-17	827	28			759
2020-06-18	830	28			763
2020-06-19	833	28			776
2020-06-20	838	28			781
2020-06-21	838	28			784
2020-06-22	838	28			784
2020-06-23	838	33			783
2020-06-24	841	33			786
2020-06-25	842	33			788
2020-06-26	844	33			789
2020-06-27	844	33			795
2020-06-28	845	33			798
2020-06-29	845	33			799
2020-06-30	846	33			800
2020-07-01	850	33			801
2020-07-02	854	33			802
2020-07-03	858	33			803
2020-07-04	862	33			806
2020-07-05	868	33			807
2020-07-06	877	33			807
2020-07-07	878	33			814
2020-07-08	885	33			814
2020-07-09	898	33			816
2020-07-10	902	33			816
