# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	118				
2020-03-12	128				
2020-03-13	136				
2020-03-14	142				
2020-03-15	148				
2020-03-16	152				
2020-03-17	152				
2020-03-18	154	6			69
2020-03-19	157	6			69
2020-03-20	158	6			69
2020-03-21	159	6			81
2020-03-22	162	6			83
2020-03-23	162	6			90
2020-03-24	163	6			93
2020-03-25	167	7			98
2020-03-26	168	7			98
2020-03-27	169	7			114
2020-03-28	172	7			121
2020-03-29	176	7			121
2020-03-30	177	7			121
2020-03-31	177	7			124
2020-04-01	182	7			130
2020-04-02	185	8			130
2020-04-03	190	8			130
2020-04-04	193	8			130
2020-04-05	194	8			130
2020-04-06	194	9			141
2020-04-07	198	9			143
2020-04-08	208	9			145
2020-04-09	226	10			145
2020-04-10	239	11			148
2020-04-11	255	11			158
2020-04-12	267	11			158
2020-04-13	272	11			161
2020-04-14	279	12			161
2020-04-15	302	13			161
2020-04-16	336	14			163
2020-04-17	370	14			171
2020-04-18	407	16			171
2020-04-19	434	18			171
2020-04-20	451	18			171
2020-04-21	473	18			171
2020-04-22	495	22			188
2020-04-23	540	25			195
2020-04-24	562	25			196
2020-04-25	601	25			201
2020-04-26	615	25			202
2020-04-27	650	26			202
2020-04-28	688	26			202
2020-04-29	726	26			209
2020-04-30	767	27			209
2020-05-01	790	29			248
2020-05-02	823	29			248
2020-05-03	847	33			248
2020-05-04	847	36			254
2020-05-05	891	43			286
2020-05-06	914	43			286
2020-05-07	928	45			302
2020-05-08	928	47			394
2020-05-09	934	48			424
2020-05-10	945	51			444
2020-05-11	954	56			459
2020-05-12	966	62			472
2020-05-13	979	68			502
2020-05-14	983	70			519
2020-05-15	989	72			528
2020-05-16	999	73			560
2020-05-17	1006	74			589
2020-05-18	1014	75			601
2020-05-19	1015	76			620
2020-05-20	1018	77			642
2020-05-21	1019	77			670
2020-05-22	1024	78			687
2020-05-23	1030	78			711
2020-05-24	1039	79			726
2020-05-25	1054	81			734
2020-05-26	1057	83			736
2020-05-27	1066	84			755
2020-05-28	1071	85			763
2020-05-29	1078	86			770
2020-05-30	1081	86			783
2020-05-31	1085	86			799
2020-06-01	1091	86			810
2020-06-02	1096	87			812
2020-06-03	1099	87			821
2020-06-04	1102	88			831
2020-06-05	1105	90			849
2020-06-06	1109	90			863
2020-06-07	1117	90			869
2020-06-08	1121	90			881
2020-06-09	1125	91			888
2020-06-10	1132	91			906
2020-06-11	1137	91			921
2020-06-12	1144	91			931
2020-06-13	1154	91			943
2020-06-14	1163	91			950
2020-06-15	1170	91			956
2020-06-16	1176	91			959
2020-06-17	1178	92			970
2020-06-18	1184	92			977
2020-06-19	1189	93			988
2020-06-20	1192	94			1001
2020-06-21	1195	94			1006
2020-06-22	1197	95			1010
2020-06-23	1199	95			1011
2020-06-24	1200	97			1020
2020-06-25	1210	98			1028
2020-06-26	1216	98			1032
2020-06-27	1221	98			1044
