# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	43				
2020-03-12	43				
2020-03-13	46				
2020-03-14	49				
2020-03-15	54				
2020-03-16	54				
2020-03-17	55				
2020-03-18	59	4			6
2020-03-19	64	4			6
2020-03-20	65	4			6
2020-03-21	68	4			12
2020-03-22	74	4			14
2020-03-23	75	4			17
2020-03-24	80	4			17
2020-03-25	84	4			17
2020-03-26	89	4			18
2020-03-27	95	4			18
2020-03-28	104	5			20
2020-03-29	107	5			20
2020-03-30	115	6			20
2020-03-31	120	6			27
2020-04-01	138	6			28
2020-04-02	153	6			28
2020-04-03	181	6			32
2020-04-04	197	6			32
2020-04-05	226	6			32
2020-04-06	261	6			32
2020-04-07	279	6			35
2020-04-08	327	6			37
2020-04-09	375	6			37
2020-04-10	425	6			44
2020-04-11	465	6			44
2020-04-12	478	7			44
2020-04-13	572	12			55
2020-04-14	594	14			55
2020-04-15	614	15			55
2020-04-16	673	16			55
2020-04-17	710	16			55
2020-04-18	754	16			68
2020-04-19	784	17			73
2020-04-20	802	19			88
2020-04-21	816	19			88
2020-04-22	841	23			111
2020-04-23	880	24			114
2020-04-24	912	24			120
2020-04-25	943	25			120
2020-04-26	959	26			120
2020-04-27	965	27			122
2020-04-28	975	29			150
2020-04-29	1002	31			150
2020-04-30	1028	32			168
2020-05-01	1042	32			172
2020-05-02	1060	33			177
2020-05-03	1101	35			184
2020-05-04	1101	40			185
2020-05-05	1125	41			185
2020-05-06	1132	43			188
2020-05-07	1145	44			188
2020-05-08	1150	47			645
2020-05-09	1150	47			645
2020-05-10	1150	47			645
2020-05-11	1178	50			709
2020-05-12	1193	57			732
2020-05-13	1203	59			768
2020-05-14	1236	62			808
2020-05-15	1251	63			809
2020-05-16	1251	63			809
2020-05-17	1251	63			809
2020-05-18	1276	64			888
2020-05-19	1284	68			904
2020-05-20	1302	68			933
2020-05-21	1315	69			935
2020-05-22	1322	71			965
2020-05-23	1322	71			965
2020-05-24	1322	71			965
2020-05-25	1333	73			991
2020-05-26	1336	76			1012
2020-05-27	1341	78			1034
2020-05-28	1341	78			1034
2020-05-29	1359	82			1080
2020-05-30	1359	82			1080
2020-05-31	1359	82			1080
2020-06-01	1370	84			1102
2020-06-02	1373	86			1123
2020-06-03	1375	86			1130
2020-06-04	1381	87			1151
2020-06-05	1387	87			1163
2020-06-06	1387	87			1163
2020-06-07	1387	87			1163
2020-06-08	1397	87			1181
2020-06-09	1398	88			1185
2020-06-10	1398	89			1194
2020-06-11	1399	89			1202
2020-06-12	1402	89			1213
2020-06-13	1402	89			1213
2020-06-14	1402	89			1213
2020-06-15	1411	90			1183
2020-06-16	1413	91			1249
2020-06-17	1420	93			1255
2020-06-18	1426	93			1271
2020-06-19	1428	93			1265
2020-06-20	1428	93			1265
2020-06-21	1428	93			1265
2020-06-22	1433	93			1276
2020-06-23	1434	94			1283
2020-06-24	1438	94			1283
2020-06-25	1444	94			1290
2020-06-26	1451	96			1291
2020-06-27	1455	96			1295
2020-06-28	1464	96			1304
2020-06-29	1471	96			1306
2020-06-30	1502	96			1338
2020-07-01	1508	96			1326
2020-07-02	1521	96			1321
2020-07-03	1545	96			1342
2020-07-04	1565	96			1362
2020-07-05	1585	96			1382
2020-07-06	1596	96			1364
2020-07-07	1605	96			1382
2020-07-08	1628	96			1378
2020-07-09	1653	97			1409
2020-07-10	1685	97			1430
